City/Town,Ward,Pct,"Peter Shumlin","Brian E. Dubie","Dennis Steele","Cris Ericson","Dan Feliciano","Em Peyton","Ben Mitchell",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,Independent,"U.S. Marijuana",Independent,Independent,"Liberty Union"
Addison,,,198,436,3,3,2,0,0,0,0,642
Albany,,,174,219,2,3,2,0,1,0,0,401
Alburgh,,,299,433,7,9,4,4,0,0,0,756
Andover,,,108,118,2,2,0,0,0,0,0,230
Arlington,,,570,412,4,6,7,7,5,0,0,"1,011"
Athens,,,47,54,1,2,1,2,0,0,0,107
Bakersfield,,,220,288,6,6,4,1,2,0,0,527
Baltimore,,,36,44,3,1,0,1,1,0,0,86
Barnard,,,204,215,5,5,1,1,1,0,0,432
Barnet,,,321,412,12,3,2,2,3,0,0,755
"Barre City",-,"Washington 3-1",563,741,12,17,9,1,3,0,0,"1,346"
"Barre City",-,"Washington 3-2",502,579,9,8,11,3,2,0,0,"1,114"
"Barre City",-,"Washington 3-3",103,111,1,3,2,1,0,0,0,221
"Barre Town",,,"1,090","2,145",28,27,29,6,7,0,0,"3,332"
Barton,,,312,482,14,7,7,2,3,0,0,827
Belvidere,,,45,77,1,0,0,0,0,0,0,123
Bennington,-,"Bennington 2-1","1,707",937,32,48,19,17,12,0,0,"2,772"
Bennington,-,"Bennington 2-2","1,385",933,17,27,22,6,6,0,0,"2,396"
Benson,,,153,205,7,4,6,5,2,0,0,382
Berkshire,,,164,263,5,6,1,2,0,0,0,441
Berlin,,,482,576,14,11,8,5,0,0,0,"1,096"
Bethel,,,393,382,7,3,3,1,3,0,0,792
Bloomfield,,,36,43,0,0,2,0,0,0,0,81
Bolton,,,254,244,1,5,4,1,4,0,0,513
Bradford,,,451,476,6,7,3,6,3,0,0,952
Braintree,,,232,247,7,2,2,3,2,0,0,495
Brandon,,,656,731,12,10,5,4,3,0,0,"1,421"
Brattleboro,-,"Windham 3-1","1,112",570,11,14,1,7,6,0,0,"1,721"
Brattleboro,-,"Windham 3-2",957,327,6,4,7,10,6,0,0,"1,317"
Brattleboro,-,"Windham 3-3","1,004",275,9,9,4,8,6,0,0,"1,315"
Bridgewater,,,175,195,6,7,1,2,0,0,0,386
Bridport,,,190,349,4,7,2,0,1,0,0,553
Brighton,,,176,271,11,5,4,0,0,0,0,467
Bristol,,,773,760,14,11,11,4,1,0,0,"1,574"
Brookfield,,,295,283,5,4,3,1,1,0,0,592
Brookline,,,118,81,0,4,1,1,0,0,0,205
Brownington,,,122,188,6,0,0,2,1,0,0,319
Brunswick,,,22,29,0,1,0,0,0,0,0,52
Burke,,,246,330,13,0,3,0,2,0,0,594
Burlington,-,"Chittenden 3-1","1,652","1,285",14,19,10,2,2,0,0,"2,984"
Burlington,-,"Chittenden 3-2",995,627,11,13,6,4,2,0,0,"1,658"
Burlington,-,"Chittenden 3-3","1,901",382,23,22,13,6,4,0,0,"2,351"
Burlington,-,"Chittenden 3-4","1,566",318,15,23,6,7,5,0,0,"1,940"
Burlington,-,"Chittenden 3-5","2,705",823,18,18,8,4,5,0,0,"3,581"
Burlington,-,"Chittenden 3-6",310,104,6,8,1,1,1,0,0,431
Cabot,,,336,253,18,4,1,1,1,1,2,617
Calais,,,553,284,8,4,4,3,0,2,4,862
Cambridge,,,742,698,11,17,12,3,1,2,10,"1,496"
Canaan,,,105,177,8,3,7,1,1,0,8,310
Castleton,,,477,744,10,7,8,3,5,5,9,"1,268"
Cavendish,,,226,286,2,8,6,2,0,0,3,533
Charleston,,,167,182,7,1,2,1,1,0,1,362
Charlotte,,,"1,112",905,10,7,6,0,1,5,16,"2,062"
Chelsea,,,225,313,9,1,3,3,0,2,3,559
Chester,,,652,507,14,13,8,8,4,1,13,"1,220"
Chittenden,,,231,327,4,9,2,0,2,0,3,578
Clarendon,,,314,602,14,10,5,7,3,3,4,962
Colchester,-,"Chittenden 7-1","1,164","1,417",8,8,17,1,1,6,20,"2,642"
Colchester,-,"Chittenden 7-2","1,327","1,861",12,20,13,6,2,6,11,"3,258"
Concord,,,134,245,12,4,2,1,1,1,6,406
Corinth,,,260,241,5,6,2,3,2,2,5,526
Cornwall,,,356,251,0,2,0,0,0,0,2,611
Coventry,,,154,201,10,2,5,1,3,0,2,378
Craftsbury,,,298,221,8,2,3,1,4,2,3,542
Danby,,,211,281,8,13,2,2,2,1,16,536
Danville,,,398,608,19,6,4,2,0,2,12,"1,051"
Derby,,,660,"1,041",15,13,15,8,3,6,22,"1,783"
