City/Town,Ward,Pct,"Phil Scott","Steve Howard","Peter Garritano","Marjorie Power","Boots Wardinski",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic,Independent,Progressive,"Liberty Union"
Addison,,,438,163,13,9,2,0,0,625
Albany,,,219,138,14,16,2,0,0,389
Alburgh,,,403,269,41,22,7,0,0,742
Andover,,,123,96,7,2,2,0,0,230
Arlington,,,395,503,49,22,7,0,0,976
Athens,,,54,37,6,5,3,0,0,105
Bakersfield,,,278,189,24,11,13,0,0,515
Baltimore,,,43,37,2,0,1,0,0,83
Barnard,,,202,190,19,15,3,0,0,429
Barnet,,,418,273,14,21,10,0,0,736
"Barre City",-,"Washington 3-1",923,340,22,38,12,0,0,"1,335"
"Barre City",-,"Washington 3-2",737,303,22,40,13,0,0,"1,115"
"Barre City",-,"Washington 3-3",155,56,1,7,2,0,0,221
"Barre Town",,,"2,596",633,51,46,16,0,0,"3,342"
Barton,,,501,269,26,14,8,0,0,818
Belvidere,,,73,43,4,1,2,0,0,123
Bennington,-,"Bennington 2-1",809,"1,577",110,99,40,0,0,"2,635"
Bennington,-,"Bennington 2-2",799,"1,273",102,88,35,0,0,"2,297"
Benson,,,181,150,23,12,8,0,0,374
Berkshire,,,259,144,20,11,3,0,0,437
Berlin,,,765,268,28,31,5,0,0,"1,097"
Bethel,,,409,313,19,38,3,0,0,782
Bloomfield,,,37,36,3,2,0,0,0,78
Bolton,,,266,196,18,24,3,0,0,507
Bradford,,,472,366,30,29,43,0,0,940
Braintree,,,282,176,6,18,8,0,0,490
Brandon,,,682,651,39,31,14,0,0,"1,417"
Brattleboro,-,"Windham 3-1",483,"1,005",56,95,27,0,0,"1,666"
Brattleboro,-,"Windham 3-2",269,860,38,79,25,0,0,"1,271"
Brattleboro,-,"Windham 3-3",243,863,36,110,17,0,0,"1,269"
Bridgewater,,,179,168,4,27,2,0,0,380
Bridport,,,332,168,30,8,3,0,0,541
Brighton,,,270,150,15,14,7,0,0,456
Bristol,,,742,646,76,63,16,0,0,"1,543"
Brookfield,,,313,234,8,16,12,0,0,583
Brookline,,,79,88,11,24,2,0,0,204
Brownington,,,181,109,11,7,1,0,0,309
Brunswick,,,28,18,2,0,0,0,0,48
Burke,,,350,193,18,20,11,0,0,592
Burlington,-,"Chittenden 3-1","1,261","1,398",143,105,15,0,0,"2,922"
Burlington,-,"Chittenden 3-2",650,806,64,91,15,0,0,"1,626"
Burlington,-,"Chittenden 3-3",399,"1,380",132,274,47,0,0,"2,232"
Burlington,-,"Chittenden 3-4",317,"1,130",84,231,25,0,0,"1,787"
Burlington,-,"Chittenden 3-5",857,"2,171",160,234,29,0,0,"3,451"
Burlington,-,"Chittenden 3-6",92,265,22,29,9,0,0,417
Cabot,,,327,224,10,33,8,0,0,602
Calais,,,400,387,8,34,7,0,0,836
Cambridge,,,716,634,47,48,14,0,0,"1,459"
Canaan,,,171,95,18,12,4,0,0,300
Castleton,,,679,503,27,13,8,0,0,"1,230"
Cavendish,,,260,214,21,17,6,0,0,518
Charleston,,,198,129,11,11,7,0,0,356
Charlotte,,,865,886,142,55,18,0,0,"1,966"
Chelsea,,,362,149,13,17,9,0,0,550
Chester,,,491,590,58,37,8,0,0,"1,184"
Chittenden,,,291,233,17,8,6,0,0,555
Clarendon,,,560,345,22,11,6,0,0,944
Colchester,-,"Chittenden 7-1","1,427",917,119,68,18,0,0,"2,549"
Colchester,-,"Chittenden 7-2","1,891","1,034",126,92,14,0,0,"3,157"
Concord,,,254,108,16,13,3,0,0,394
Corinth,,,263,202,9,23,23,0,0,520
Cornwall,,,252,310,15,17,0,0,0,594
Coventry,,,198,129,21,12,3,0,0,363
Craftsbury,,,245,219,18,33,9,0,0,524
Danby,,,257,214,14,22,10,0,0,517
Danville,,,636,317,24,27,10,0,0,"1,014"
Derby,,,"1,011",585,67,40,16,0,0,"1,719"
Dorset,,,436,412,28,16,8,0,0,900
Dover,,,276,201,22,19,8,0,0,526
Dummerston,,,249,565,28,51,14,0,0,907
Duxbury,,,379,198,10,21,3,0,0,611
"E. Haven",,,70,30,6,11,2,0,0,119
"E. Montpelier",,,725,491,15,64,6,0,0,"1,301"
Eden,,,226,101,6,14,5,0,0,352
Elmore,,,244,160,12,16,3,0,0,435
Enosburgh,,,560,352,46,42,8,0,0,"1,008"
Essex,-,"Chittenden 6-1","1,953","1,142",142,75,18,0,0,"3,330"
Essex,-,"Chittenden 6-2","2,159","1,342",161,110,14,0,0,"3,786"
Essex,-,"Chittenden 6-3",632,429,35,32,5,0,0,"1,133"
"Fair Haven",,,478,326,26,11,8,0,0,849
Fairfax,,,974,573,86,45,12,0,0,"1,690"
Fairfield,,,416,313,10,18,9,0,0,766
Fairlee,,,154,183,13,16,11,0,0,377
Fayston,,,302,254,21,30,4,0,0,611
Ferrisburgh,,,672,470,50,23,8,0,0,"1,223"
Fletcher,,,260,192,13,16,4,0,0,485
Franklin,,,319,138,14,7,2,0,0,480
Georgia,,,"1,137",487,70,36,17,0,0,"1,747"
Glover,,,248,184,19,29,6,0,0,486
Goshen,,,38,48,1,1,3,0,0,91
Grafton,,,118,144,17,9,1,0,0,289
Granby,,,31,9,0,0,0,0,0,40
"Grand Isle",,,575,342,39,29,9,0,0,994
Granville,,,50,66,4,7,0,0,0,127
Greensboro,,,162,157,3,21,4,0,0,347
Groton,,,246,89,9,9,11,0,0,364
Guildhall,,,81,41,6,4,1,0,0,133
Guilford,,,238,516,41,37,7,0,0,839
Halifax,,,110,152,18,11,2,0,0,293
Hancock,,,70,58,7,3,0,0,0,138
Hardwick,,,662,392,17,42,16,0,0,"1,129"
Hartford,-,"Windsor 6-1",374,348,30,28,7,0,0,787
Hartford,-,"Windsor 6-2",938,"1,261",110,90,24,0,0,"2,423"
Hartland,,,556,726,65,54,17,0,0,"1,418"
Highgate,,,611,321,35,15,6,0,0,988
Hinesburg,-,"Chittenden 1-1",814,807,114,66,13,0,0,"1,814"
Hinesburg,-,"Chittenden 1-2",35,43,6,4,1,0,0,89
Holland,,,124,66,6,10,6,0,0,212
Hubbardton,,,134,111,10,4,1,0,0,260
Huntington,,,373,459,39,48,10,0,0,929
"Hyde Park",,,687,397,20,36,7,0,0,"1,147"
Ira,-,"Rutland 1-1",15,11,0,0,0,0,0,26
Ira,-,"Rutland 1-2",90,69,5,3,1,0,0,168
Irasburg,,,255,135,15,10,6,0,0,421
"Isle La Motte",,,137,105,16,3,3,0,0,264
Jamaica,,,156,154,26,13,8,0,0,357
Jay,,,83,57,4,2,3,0,0,149
Jericho,,,"1,265","1,077",82,78,9,0,0,"2,511"
Johnson,,,480,362,33,44,9,0,0,928
Killington,,,255,174,8,10,1,0,0,448
Kirby,,,112,76,7,7,2,0,0,204
Landgrove,,,37,40,1,7,3,0,0,88
Leicester,,,223,156,12,6,0,0,0,397
Lemington,,,23,12,1,0,1,0,0,37
Lincoln,,,260,340,31,38,2,0,0,671
Londonderry,,,337,282,24,32,5,0,0,680
Lowell,,,172,99,8,4,1,0,0,284
Ludlow,,,459,358,30,19,3,0,0,869
Lunenburg,,,289,123,16,16,7,0,0,451
Lyndon,,,"1,049",478,46,43,16,0,0,"1,632"
Maidstone,,,60,27,3,3,2,0,0,95
Manchester,,,826,733,67,26,10,0,0,"1,662"
Marlboro,,,83,315,18,27,6,0,0,449
Marshfield,,,393,286,9,39,8,0,0,735
Mendon,,,261,197,8,7,3,0,0,476
Middlebury,,,884,"1,580",82,80,16,0,0,"2,642"
Middlesex,,,460,331,29,47,17,0,0,884
"Middletown Springs",,,164,197,8,15,1,0,0,385
Milton,-,"Chittenden 9","2,038",879,111,61,27,0,0,"3,116"
Milton,-,"Grand Isle-Chittenden 1-1",343,132,26,9,6,0,0,516
Monkton,,,432,385,49,36,3,0,0,905
Montgomery,,,196,211,26,30,10,0,0,473
Montpelier,,,"1,576","1,820",43,353,38,0,0,"3,830"
Moretown,,,476,285,18,36,6,0,0,821
Morgan,,,197,77,11,6,2,0,0,293
Morristown,,,"1,223",683,55,63,9,0,0,"2,033"
"Mount Holly",,,285,291,14,8,3,0,0,601
"Mount Tabor",,,28,35,0,1,0,0,0,64
"New Haven",,,458,312,35,18,6,0,0,829
Newark,,,121,69,9,9,8,0,0,216
Newbury,,,404,293,20,22,72,0,0,811
Newfane,,,212,479,31,39,6,0,0,767
"Newport City",,,678,442,47,31,5,0,0,"1,203"
"Newport Town",,,308,156,12,13,10,0,0,499
"N. Hero",,,296,159,17,10,1,0,0,483
Northfield,,,"1,156",431,29,47,13,0,0,"1,676"
Norton,,,54,14,2,1,0,0,0,71
Norwich,,,316,"1,254",36,61,16,0,0,"1,683"
Orange,,,323,88,3,6,1,0,0,421
Orwell,,,318,188,20,11,3,0,0,540
Panton,,,169,84,12,4,3,0,0,272
Pawlet,,,249,251,28,11,3,0,0,542
Peacham,,,177,181,10,21,8,0,0,397
Peru,,,55,85,2,3,0,0,0,145
Pittsfield,,,125,94,4,7,1,0,0,231
Pittsford,,,653,461,23,12,6,0,0,"1,155"
Plainfield,,,261,274,10,36,12,0,0,593
Plymouth,,,132,110,6,6,3,0,0,257
Pomfret,,,177,253,11,18,3,0,0,462
Poultney,,,474,488,36,32,6,0,0,"1,036"
Pownal,,,419,601,75,33,12,0,0,"1,140"
Proctor,,,303,290,19,9,1,0,0,622
Putney,,,182,752,36,55,17,0,0,"1,042"
Randolph,,,977,680,50,58,15,0,0,"1,780"
Reading,,,120,170,22,13,7,0,0,332
Readsboro,,,83,111,12,10,1,0,0,217
Richford,,,311,231,25,15,3,0,0,585
Richmond,,,872,918,70,81,16,0,0,"1,957"
Ripton,,,88,160,11,13,4,0,0,276
Rochester,,,242,254,21,38,6,0,0,561
Rockingham,,,489,937,79,71,22,0,0,"1,598"
Roxbury,,,155,97,9,12,2,0,0,275
Royalton,,,536,416,45,59,20,0,0,"1,076"
Rupert,-,"Bennington 5",23,16,1,1,0,0,0,41
Rupert,-,"Rutland 8",97,119,10,8,1,0,0,235
"Rutland City",-,"Rutland 5-1",866,832,44,15,9,0,0,"1,766"
"Rutland City",-,"Rutland 5-2",660,764,35,19,0,0,0,"1,478"
"Rutland City",-,"Rutland 5-3",376,471,27,13,9,0,0,896
"Rutland City",-,"Rutland 5-4",584,650,39,18,7,0,0,"1,298"
"Rutland Town",,,"1,120",731,37,14,12,0,0,"1,914"
Ryegate,,,247,152,10,10,9,0,0,428
Salisbury,,,221,165,13,5,6,0,0,410
Sandgate,,,63,83,11,6,2,0,0,165
Searsburg,,,17,15,8,2,1,0,0,43
Shaftsbury,,,620,854,85,42,10,0,0,"1,611"
Sharon,,,227,263,6,16,6,0,0,518
Sheffield,,,127,83,10,3,2,0,0,225
Shelburne,-,"Chittenden 5-1",867,921,158,57,6,0,0,"2,009"
Shelburne,-,"Chittenden 5-2",810,624,167,42,8,0,0,"1,651"
Sheldon,,,378,219,22,17,5,0,0,641
Shoreham,,,254,239,25,20,3,0,0,541
Shrewsbury,,,250,236,14,27,4,0,0,531
"S. Burlington",-,"Chittenden 3-10",647,804,79,67,9,0,0,"1,606"
"S. Burlington",-,"Chittenden 3-7",722,793,88,63,6,0,0,"1,672"
"S. Burlington",-,"Chittenden 3-8","1,258","1,020",118,63,3,0,0,"2,462"
"S. Burlington",-,"Chittenden 3-9",813,622,76,47,12,0,0,"1,570"
"S. Hero",,,487,377,27,30,11,0,0,932
Springfield,-,"Windsor 1-1",24,14,1,0,0,0,0,39
Springfield,-,"Windsor 1-2","1,313","1,261",90,71,27,0,0,"2,762"
"St. Albans City",,,982,764,78,53,22,0,0,"1,899"
"St. Albans Town",,,"1,377",703,99,43,16,0,0,"2,238"
"St. George",,,129,99,21,4,0,0,0,253
"St. Johnsbury",,,"1,360",773,66,94,32,0,0,"2,325"
Stamford,,,137,130,20,6,0,0,0,293
Stannard,,,33,40,4,3,2,0,0,82
Starksboro,,,312,328,30,33,8,0,0,711
Stockbridge,,,147,141,12,22,4,0,0,326
Stowe,,,"1,192",639,67,50,21,0,0,"1,969"
Strafford,,,165,300,43,22,12,0,0,542
Stratton,,,68,25,3,2,1,0,0,99
Sudbury,,,132,114,7,5,1,0,0,259
Sunderland,,,152,186,14,10,2,0,0,364
Sutton,,,216,88,9,6,5,0,0,324
Swanton,,,"1,168",649,85,35,9,0,0,"1,946"
Thetford,,,322,708,48,57,17,0,0,"1,152"
Tinmouth,,,116,125,9,3,3,0,0,256
Topsham,,,281,107,4,12,14,0,0,418
Townshend,,,165,254,27,30,5,0,0,481
Troy,,,249,167,8,7,1,0,0,432
Tunbridge,,,326,243,20,31,5,0,0,625
Underhill,,,712,726,45,57,11,0,0,"1,551"
Vergennes,,,492,380,40,28,6,0,0,946
Vernon,,,613,198,27,19,5,0,0,862
Vershire,,,111,112,5,14,10,0,0,252
Victory,,,26,7,0,0,4,0,0,37
Waitsfield,,,416,359,28,41,5,0,0,849
Walden,,,233,160,9,29,9,0,0,440
Wallingford,,,436,426,23,14,7,0,0,906
Waltham,,,102,100,18,9,2,0,0,231
Wardsboro,,,116,153,11,12,7,0,0,299
Warren,,,350,363,36,45,5,0,0,799
Washington,,,280,102,7,11,4,0,0,404
Waterbury,,,"1,352",705,41,76,15,0,0,"2,189"
Waterford,,,373,154,19,10,5,0,0,561
Waterville,,,158,103,3,11,2,0,0,277
Weathersfield,,,511,431,41,39,9,0,0,"1,031"
Wells,,,219,137,16,6,4,0,0,382
"W. Fairlee",,,94,92,8,10,4,0,0,208
"W. Haven",,,61,45,1,2,1,0,0,110
"W. Rutland",,,395,322,13,12,6,1,15,764
"W. Windsor",,,222,279,17,16,6,0,25,565
Westfield,,,121,69,10,13,3,0,7,223
Westford,,,524,382,31,39,9,1,50,"1,036"
Westminster,-,"Windham 4",19,37,6,2,0,0,1,65
Westminster,-,"Windham 5",310,764,48,55,11,0,61,"1,249"
Westmore,,,94,61,2,7,5,0,8,177
Weston,,,154,160,11,10,4,0,5,344
Weybridge,,,190,231,17,10,3,0,17,468
Wheelock,,,160,82,10,10,1,0,6,269
Whiting,,,84,70,7,4,1,0,8,174
Whitingham,,,192,172,20,13,6,0,18,421
Williamstown,,,885,260,15,31,6,1,19,"1,217"
Williston,,,"2,191","1,593",178,92,14,2,156,"4,226"
Wilmington,,,310,333,45,29,13,0,41,771
Windham,,,57,88,10,9,0,0,10,174
Windsor,,,392,554,49,46,12,5,30,"1,088"
Winhall,,,186,169,15,8,2,0,27,407
Winooski,,,745,875,81,109,12,1,78,"1,901"
Wolcott,,,383,243,14,19,8,0,16,683
Woodbury,,,244,175,4,23,1,0,8,455
Woodford,,,47,82,13,1,2,0,9,154
Woodstock,,,579,781,53,40,16,0,72,"1,541"
Worcester,,,230,181,10,33,9,0,11,474
TOTALS,,,"116,198","99,843","8,627","8,287","2,228",11,698,"235,892"
