City/Town,Ward,Pct,"Patrick Leahy","Len Britton","Daniel Freilich","Cris Ericson","Stephen J. Cain","Pete Diamondstone","Johenry Nunes",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,Independent,"U.S. Marijuana",Independent,Socialist,Independent
Addison,,,316,297,4,6,2,1,2,0,0,628
Albany,,,247,120,2,4,1,5,1,0,0,380
Alburgh,,,422,274,4,10,12,2,18,0,0,742
Andover,,,121,97,1,1,1,1,0,0,0,222
Arlington,,,611,314,24,13,13,3,8,0,0,986
Athens,,,55,41,2,5,2,2,1,0,0,108
Bakersfield,,,309,168,8,12,11,4,1,0,0,513
Baltimore,,,46,28,3,4,1,0,2,0,0,84
Barnard,,,263,154,6,7,2,2,1,0,0,435
Barnet,,,384,308,14,8,9,4,2,0,0,729
"Barre City",-,"Washington 3-1",811,442,19,16,14,8,10,0,0,"1,320"
"Barre City",-,"Washington 3-2",682,357,17,19,13,13,3,0,0,"1,104"
"Barre City",-,"Washington 3-3",143,61,0,4,3,3,3,0,0,217
"Barre Town",,,"1,794","1,348",21,35,28,11,10,0,0,"3,247"
Barton,,,492,289,17,9,10,4,1,0,0,822
Belvidere,,,65,54,2,0,0,0,0,0,0,121
Bennington,-,"Bennington 2-1","1,881",548,134,50,38,35,12,0,0,"2,698"
Bennington,-,"Bennington 2-2","1,565",544,131,29,28,15,10,0,0,"2,322"
Benson,,,199,140,10,5,9,5,1,0,0,369
Berkshire,,,253,148,3,4,19,1,1,0,0,429
Berlin,,,660,355,14,10,10,7,5,0,0,"1,061"
Bethel,,,510,225,9,7,3,2,2,0,0,758
Bloomfield,,,48,30,3,0,0,1,1,0,0,83
Bolton,,,342,138,4,9,2,2,4,0,0,501
Bradford,,,545,348,5,9,12,2,5,0,0,926
Braintree,,,300,170,2,4,7,4,1,0,0,488
Brandon,,,828,506,29,14,8,1,6,0,0,"1,392"
Brattleboro,-,"Windham 3-1","1,249",336,35,14,10,24,3,0,0,"1,671"
Brattleboro,-,"Windham 3-2",998,177,29,22,10,32,5,0,0,"1,273"
Brattleboro,-,"Windham 3-3","1,023",156,32,18,5,28,9,0,0,"1,271"
Bridgewater,,,200,160,2,7,2,2,1,0,0,374
Bridport,,,308,205,13,10,3,1,0,0,0,540
Brighton,,,244,183,6,9,7,2,1,0,0,452
Bristol,,,"1,034",450,33,23,11,9,3,0,0,"1,563"
Brookfield,,,362,195,5,6,2,7,3,0,0,580
Brookline,,,123,61,4,6,2,3,0,0,0,199
Brownington,,,166,121,0,4,3,2,2,0,0,298
Brunswick,,,34,15,0,2,1,0,0,0,0,52
Burke,,,321,232,5,2,4,2,1,0,0,567
Burlington,-,"Chittenden 3-1","2,075",703,24,22,37,16,5,0,0,"2,882"
Burlington,-,"Chittenden 3-2","1,189",355,23,13,16,15,10,0,0,"1,621"
Burlington,-,"Chittenden 3-3","1,913",209,48,52,25,27,8,0,0,"2,282"
Burlington,-,"Chittenden 3-4","1,530",171,40,70,23,22,13,2,83,"1,954"
Burlington,-,"Chittenden 3-5","2,824",477,51,39,28,33,11,3,148,"3,614"
Burlington,-,"Chittenden 3-6",360,45,6,10,3,6,0,0,13,443
Cabot,,,388,168,9,13,6,5,5,0,23,617
Calais,,,603,177,18,9,4,8,0,0,42,861
Cambridge,,,994,389,24,20,13,5,4,0,47,"1,496"
Canaan,,,185,102,2,1,3,2,1,0,15,311
Castleton,,,639,540,15,13,13,6,4,0,37,"1,267"
Cavendish,,,281,194,6,11,11,7,3,0,20,533
Charleston,,,199,124,5,6,4,3,3,0,18,362
Charlotte,,,"1,364",521,31,9,16,3,6,0,111,"2,061"
Chelsea,,,283,223,5,8,4,1,5,0,30,559
Chester,,,753,346,22,27,11,16,11,0,35,"1,221"
Chittenden,,,268,258,13,8,7,1,4,0,19,578
Clarendon,,,423,461,11,11,9,4,2,0,40,961
Colchester,-,"Chittenden 7-1","1,724",787,22,16,18,12,13,0,50,"2,642"
Colchester,-,"Chittenden 7-2","1,989","1,080",20,22,52,10,5,1,79,"3,258"
Concord,,,186,169,11,10,7,4,3,0,15,405
Corinth,,,288,201,3,7,3,6,2,0,16,526
Cornwall,,,419,163,6,2,0,2,0,1,17,610
Coventry,,,235,113,5,4,8,0,4,0,9,378
Craftsbury,,,369,123,4,7,4,6,4,0,25,542
Danby,,,250,221,14,10,5,6,3,0,28,537
Danville,,,549,385,12,5,12,7,4,1,75,"1,050"
Derby,,,"1,016",626,22,16,16,10,11,2,67,"1,786"
Dorset,,,534,325,16,12,7,7,2,0,23,926
Dover,,,278,210,33,11,2,1,3,0,18,556
Dummerston,,,697,185,5,7,8,12,2,0,31,947
Duxbury,,,413,172,8,9,9,5,2,0,19,637
"E. Haven",,,68,36,3,4,4,1,1,1,10,128
"E. Montpelier",,,936,324,18,5,4,5,5,0,33,"1,330"
Eden,,,222,115,1,3,2,1,2,0,15,361
Elmore,,,317,104,2,5,4,1,2,0,9,444
Enosburgh,,,688,269,15,15,3,10,7,0,53,"1,060"
Essex,-,"Chittenden 6-1","2,033","1,217",25,17,26,6,8,0,107,"3,439"
Essex,-,"Chittenden 6-2","2,362","1,331",28,26,33,10,11,0,130,"3,931"
Essex,-,"Chittenden 6-3",697,421,9,0,5,3,3,0,39,"1,177"
"Fair Haven",,,450,348,17,12,8,4,4,3,24,870
Fairfax,,,956,666,26,17,19,6,8,1,53,"1,752"
Fairfield,,,514,203,9,6,4,4,3,0,46,789
Fairlee,,,252,107,5,4,4,3,4,0,12,391
Fayston,,,441,147,6,4,7,3,5,0,19,632
Ferrisburgh,,,793,395,13,5,7,2,1,0,49,"1,265"
Fletcher,,,305,157,9,2,9,4,2,0,13,501
Franklin,,,241,227,8,3,2,3,2,0,14,500
Georgia,,,967,733,13,18,12,6,19,0,29,"1,797"
Glover,,,305,147,5,11,3,7,1,0,24,503
Goshen,,,63,23,1,4,1,0,0,0,1,93
Grafton,,,164,99,6,6,6,3,3,0,18,305
Granby,,,20,18,0,0,0,0,1,0,2,41
"Grand Isle",,,603,341,15,12,11,2,16,0,18,"1,018"
Granville,,,94,28,0,4,1,1,1,0,3,132
Greensboro,,,235,95,4,6,0,3,3,0,9,355
Groton,,,162,182,5,7,4,4,0,0,15,379
Guildhall,,,70,47,2,2,6,0,1,0,12,140
Guilford,,,631,172,23,7,1,11,4,1,28,878
Halifax,,,172,95,12,4,1,3,3,0,18,308
Hancock,,,86,44,3,0,3,2,1,0,3,142
Hardwick,,,767,301,12,15,12,12,7,0,52,"1,178"
Hartford,-,"Windsor 6-1",444,306,5,9,8,4,3,0,32,811
Hartford,-,"Windsor 6-2","1,661",693,34,29,19,8,9,0,76,"2,529"
Hartland,,,927,453,12,13,15,10,1,0,55,"1,486"
Highgate,,,516,405,15,8,8,6,14,1,38,"1,011"
Hinesburg,-,"Chittenden 1-1","1,294",492,18,11,13,13,8,1,51,"1,901"
Hinesburg,-,"Chittenden 1-2",68,20,0,0,1,0,0,0,3,92
Holland,,,118,81,3,6,4,2,0,0,10,224
Hubbardton,,,147,94,4,4,4,1,0,0,16,270
Huntington,,,682,206,13,17,10,3,2,0,34,967
"Hyde Park",,,757,362,6,8,13,5,1,0,29,"1,181"
Ira,-,"Rutland 1-1",12,13,0,1,0,0,0,0,0,26
Ira,-,"Rutland 1-2",87,72,0,3,1,0,0,0,10,173
Irasburg,,,224,174,2,5,6,0,2,0,16,429
"Isle La Motte",,,151,84,4,4,1,1,23,0,7,275
Jamaica,,,246,91,15,9,9,2,0,0,10,382
Jay,,,98,42,1,2,1,1,5,0,7,157
Jericho,,,"1,620",835,29,15,21,12,7,1,55,"2,595"
Johnson,,,622,275,6,13,13,5,5,0,28,967
Killington,,,240,198,5,9,4,1,1,0,13,471
Kirby,,,116,77,6,0,1,0,2,0,9,211
Landgrove,,,62,28,0,0,0,0,0,0,2,92
Leicester,,,219,159,1,5,4,1,0,0,13,402
Lemington,,,15,23,1,0,0,0,0,0,0,39
Lincoln,,,482,166,9,5,4,5,2,1,21,695
Londonderry,,,394,259,4,16,7,6,5,0,19,710
Lowell,,,167,107,0,5,1,1,2,22,0,305
Ludlow,,,485,346,9,26,9,9,4,1,21,910
Lunenburg,,,214,217,3,8,7,2,3,0,22,476
Lyndon,,,832,706,26,16,23,9,7,0,56,"1,675"
Maidstone,,,46,44,1,1,1,0,1,2,7,103
Manchester,,,904,666,43,15,16,7,7,0,55,"1,713"
Marlboro,,,359,55,26,3,2,6,0,0,22,473
Marshfield,,,463,220,10,9,4,11,5,0,27,749
Mendon,,,240,218,7,6,6,3,0,0,16,496
Middlebury,,,"2,002",560,36,25,16,16,10,1,50,"2,716"
Middlesex,,,668,177,7,4,9,6,3,0,29,903
"Middletown Springs",,,234,130,2,2,4,3,0,0,22,397
Milton,-,"Chittenden 9","1,768","1,235",34,31,41,7,4,1,99,"3,220"
Milton,-,"Grand Isle-Chittenden 1-1",254,232,5,7,11,3,2,0,16,530
Monkton,,,635,253,15,3,6,2,1,0,24,939
Montgomery,,,327,132,6,7,4,2,4,0,10,492
Montpelier,,,"3,024",566,70,35,20,38,13,1,170,"3,937"
Moretown,,,552,216,12,21,6,8,3,0,24,842
Morgan,,,142,138,5,1,2,2,0,0,12,302
Morristown,,,"1,344",599,17,28,18,16,8,2,51,"2,083"
"Mount Holly",,,363,207,8,12,8,1,5,0,22,626
"Mount Tabor",,,33,25,4,1,0,1,0,0,0,64
"New Haven",,,534,263,6,4,6,1,7,1,25,847
Newark,,,111,88,2,5,2,3,3,0,9,223
Newbury,,,467,300,2,14,9,4,6,2,30,834
Newfane,,,579,154,25,14,5,6,4,0,27,814
"Newport City",,,747,400,12,8,16,7,5,0,59,"1,254"
"Newport Town",,,287,177,8,6,7,6,0,0,26,517
"N. Hero",,,265,201,9,4,2,2,7,0,9,499
Northfield,,,"1,072",512,21,22,15,9,8,1,54,"1,714"
Norton,,,29,37,0,1,1,1,0,0,4,73
Norwich,,,"1,456",241,8,9,8,5,2,0,37,"1,766"
Orange,,,209,185,2,6,6,3,0,0,25,436
Orwell,,,262,228,17,3,9,2,3,0,40,564
Panton,,,153,106,2,4,5,0,0,1,10,281
Pawlet,,,308,200,8,13,12,4,3,0,14,562
Peacham,,,268,108,6,5,1,3,1,0,18,410
Peru,,,99,40,0,3,1,1,1,0,8,153
Pittsfield,,,131,86,3,2,2,2,0,0,8,234
Pittsford,,,630,482,21,8,14,1,3,0,27,"1,186"
Plainfield,,,418,125,10,10,6,10,0,0,27,606
Plymouth,,,121,119,2,4,3,0,2,0,18,269
Pomfret,,,313,139,1,1,4,4,1,0,13,476
Poultney,,,595,359,18,13,13,14,8,1,35,"1,056"
