City/Town,Ward,Pct,"Jim Condos","Jason Gibbs","Leslie Marmorale",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,"Liberty Union"
Addison,,,194,406,6,0,0,606
Albany,,,184,183,12,0,0,379
Alburgh,,,325,370,33,0,0,728
Andover,,,102,119,3,0,0,224
Arlington,,,488,437,32,0,0,957
Athens,,,43,54,5,0,0,102
Bakersfield,,,242,238,15,0,0,495
Baltimore,,,30,48,5,0,0,83
Barnard,,,211,191,11,0,0,413
Barnet,,,325,382,12,0,0,719
"Barre City",-,"Washington 3-1",588,679,33,0,0,"1,300"
"Barre City",-,"Washington 3-2",528,521,28,0,0,"1,077"
"Barre City",-,"Washington 3-3",97,108,11,0,0,216
"Barre Town",,,"1,232","1,947",63,0,0,"3,242"
Barton,,,340,432,28,0,0,800
Belvidere,,,42,73,3,0,0,118
Bennington,-,"Bennington 2-1","1,633",874,72,0,0,"2,579"
Bennington,-,"Bennington 2-2","1,287",856,69,0,0,"2,212"
Benson,,,152,196,19,0,0,367
Berkshire,,,183,224,8,0,0,415
Berlin,,,526,507,22,0,0,"1,055"
Bethel,,,390,338,19,0,0,747
Bloomfield,,,39,35,1,0,0,75
Bolton,,,272,211,14,0,0,497
Bradford,,,448,419,37,0,0,904
Braintree,,,227,233,16,0,0,476
Brandon,,,575,772,26,0,0,"1,373"
Brattleboro,-,"Windham 3-1","1,108",459,34,0,0,"1,601"
Brattleboro,-,"Windham 3-2",928,253,44,0,0,"1,225"
Brattleboro,-,"Windham 3-3",961,239,37,0,0,"1,237"
Bridgewater,,,165,172,27,0,0,364
Bridport,,,196,318,15,0,0,529
Brighton,,,188,246,13,0,0,447
Bristol,,,792,702,40,0,0,"1,534"
Brookfield,,,301,252,10,0,0,563
Brookline,,,115,75,5,0,0,195
Brownington,,,123,171,4,0,0,298
Brunswick,,,18,24,0,0,0,42
Burke,,,254,307,10,0,0,571
Burlington,-,"Chittenden 3-1","1,861",983,35,0,0,"2,879"
Burlington,-,"Chittenden 3-2","1,085",486,21,0,0,"1,592"
Burlington,-,"Chittenden 3-3","1,805",321,77,0,0,"2,203"
Burlington,-,"Chittenden 3-4","1,438",268,44,0,0,"1,750"
Burlington,-,"Chittenden 3-5","2,671",663,56,0,0,"3,390"
Burlington,-,"Chittenden 3-6",330,68,14,0,0,412
Cabot,,,328,222,21,0,0,571
Calais,,,553,263,10,0,0,826
Cambridge,,,777,618,23,0,0,"1,418"
Canaan,,,127,156,6,0,0,289
Castleton,,,464,692,29,0,0,"1,185"
Cavendish,,,233,264,10,0,0,507
Charleston,,,153,183,8,0,0,344
Charlotte,,,"1,187",697,30,0,0,"1,914"
Chelsea,,,199,305,22,0,0,526
Chester,,,634,475,40,0,0,"1,149"
Chittenden,,,216,304,11,0,0,531
Clarendon,,,288,608,14,0,0,910
Colchester,-,"Chittenden 7-1","1,408","1,055",35,0,0,"2,498"
Colchester,-,"Chittenden 7-2","1,662","1,379",46,0,0,"3,087"
Concord,,,141,221,13,0,0,375
Corinth,,,245,232,27,0,0,504
