City/Town,Ward,Pct,"Jeb Spaulding","Don Schramm","Murray Ngoima",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic/Republican,Progressive,"Liberty Union"
Addison,,,564,25,8,0,0,597
Albany,,,346,27,5,0,0,378
Alburgh,,,659,47,17,0,0,723
Andover,,,199,16,3,0,0,218
Arlington,,,833,75,20,0,0,928
Athens,,,91,7,6,0,0,104
Bakersfield,,,445,34,21,0,0,500
Baltimore,,,76,2,4,0,0,82
Barnard,,,361,26,30,0,0,417
Barnet,,,639,65,12,0,0,716
"Barre City",-,"Washington 3-1","1,235",56,25,0,0,"1,316"
"Barre City",-,"Washington 3-2",995,63,22,0,0,"1,080"
"Barre City",-,"Washington 3-3",200,6,8,0,0,214
"Barre Town",,,"3,064",125,40,0,0,"3,229"
Barton,,,739,42,19,0,0,800
Belvidere,,,111,4,3,0,0,118
Bennington,-,"Bennington 2-1","2,179",249,72,0,0,"2,500"
Bennington,-,"Bennington 2-2","1,948",183,63,0,0,"2,194"
Benson,,,312,30,15,0,0,357
Berkshire,,,392,20,2,0,0,414
Berlin,,,968,61,18,0,0,"1,047"
Bethel,,,677,62,22,0,0,761
Bloomfield,,,68,8,1,0,0,77
Bolton,,,440,39,8,0,0,487
Bradford,,,807,53,33,0,0,893
Braintree,,,432,31,11,0,0,474
Brandon,,,"1,262",68,30,0,0,"1,360"
Brattleboro,-,"Windham 3-1","1,375",171,68,0,0,"1,614"
Brattleboro,-,"Windham 3-2",969,188,38,0,0,"1,195"
Brattleboro,-,"Windham 3-3",936,232,30,0,0,"1,198"
Bridgewater,,,309,21,37,0,0,367
Bridport,,,478,30,12,0,0,520
Brighton,,,401,24,14,0,0,439
Bristol,,,"1,337",137,33,0,0,"1,507"
Brookfield,,,523,24,12,0,0,559
Brookline,,,172,18,4,0,0,194
Brownington,,,262,24,9,0,0,295
Brunswick,,,44,2,2,0,0,48
Burke,,,522,27,13,0,0,562
Burlington,-,"Chittenden 3-1","2,542",256,28,0,0,"2,826"
Burlington,-,"Chittenden 3-2","1,300",230,24,0,0,"1,554"
Burlington,-,"Chittenden 3-3","1,419",641,45,0,0,"2,105"
Burlington,-,"Chittenden 3-4","1,177",474,23,0,0,"1,674"
Burlington,-,"Chittenden 3-5","2,696",573,43,0,0,"3,312"
Burlington,-,"Chittenden 3-6",325,71,8,0,0,404
Cabot,,,517,53,9,0,0,579
Calais,,,724,67,12,0,0,803
Cambridge,,,"1,300",98,20,0,0,"1,418"
Canaan,,,253,16,6,0,0,275
Castleton,,,"1,101",71,27,0,0,"1,199"
Cavendish,,,455,25,16,0,0,496
Charleston,,,307,24,12,0,0,343
Charlotte,,,"1,684",145,29,0,0,"1,858"
Chelsea,,,478,21,18,0,0,517
Chester,,,"1,027",95,20,0,0,"1,142"
Chittenden,,,504,18,10,0,0,532
Clarendon,,,827,48,26,0,0,901
Colchester,-,"Chittenden 7-1","2,274",141,34,0,0,"2,449"
Colchester,-,"Chittenden 7-2","2,820",173,34,0,0,"3,027"
Concord,,,334,22,17,0,0,373
Corinth,,,421,38,26,0,0,485
Cornwall,,,538,30,6,0,0,574
Coventry,,,326,26,6,0,0,358
Craftsbury,,,440,54,9,0,0,503
Danby,,,444,38,14,0,0,496
Danville,,,924,47,15,0,0,986
Derby,,,"1,551",100,27,0,0,"1,678"
Dorset,,,791,55,16,0,0,862
Dover,,,448,29,26,0,0,503
Dummerston,,,749,96,22,0,0,867
Duxbury,,,537,47,7,0,0,591
"E. Haven",,,95,12,5,0,0,112
"E. Montpelier",,,"1,171",66,22,0,0,"1,259"
Eden,,,301,23,8,0,0,332
Elmore,,,379,29,8,0,0,416
Enosburgh,,,873,94,23,0,0,990
Essex,-,"Chittenden 6-1","2,959",187,37,0,0,"3,183"
Essex,-,"Chittenden 6-2","3,378",212,39,0,0,"3,629"
Essex,-,"Chittenden 6-3","1,018",61,11,0,0,"1,090"
"Fair Haven",,,771,38,20,0,0,829
Fairfax,,,"1,513",94,36,0,0,"1,643"
Fairfield,,,688,57,5,0,0,750
Fairlee,,,325,34,14,0,0,373
Fayston,,,544,35,12,0,0,591
Ferrisburgh,,,"1,098",66,18,0,0,"1,182"
Fletcher,,,411,56,7,0,0,474
Franklin,,,442,27,6,0,0,475
Georgia,,,"1,596",84,25,0,0,"1,705"
Glover,,,417,42,12,1,32,504
Goshen,,,75,11,2,0,5,93
Grafton,,,244,23,11,0,28,306
Granby,,,33,4,1,0,3,41
"Grand Isle",,,898,51,14,5,46,"1,014"
Granville,,,104,15,2,0,11,132
Greensboro,,,307,27,5,1,15,355
Groton,,,319,22,10,0,28,379
Guildhall,,,121,9,0,1,9,140
Guilford,,,688,85,21,6,78,878
Halifax,,,216,44,9,0,39,308
Hancock,,,121,9,4,0,8,142
Hardwick,,,"1,012",70,20,0,76,"1,178"
Hartford,-,"Windsor 6-1",679,72,16,1,43,811
Hartford,-,"Windsor 6-2","2,076",187,69,5,190,"2,527"
Hartland,,,"1,201",113,62,1,108,"1,485"
Highgate,,,914,45,12,0,40,"1,011"
Hinesburg,-,"Chittenden 1-1","1,573",150,25,5,149,"1,902"
Hinesburg,-,"Chittenden 1-2",79,8,0,0,5,92
Holland,,,191,19,2,2,11,225
Hubbardton,,,228,22,1,0,19,270
Huntington,,,786,89,15,2,72,964
"Hyde Park",,,"1,033",56,16,9,68,"1,182"
Ira,-,"Rutland 1-1",24,0,1,0,0,25
Ira,-,"Rutland 1-2",147,12,2,0,12,173
Irasburg,,,383,21,6,0,18,428
"Isle La Motte",,,244,18,3,0,10,275
Jamaica,,,305,33,15,1,28,382
Jay,,,132,10,5,0,10,157
Jericho,,,"2,218",154,30,3,189,"2,594"
Johnson,,,803,76,18,1,66,964
Killington,,,379,22,11,1,58,471
Kirby,,,180,12,6,0,13,211
Landgrove,,,86,2,0,0,4,92
Leicester,,,339,33,4,0,25,401
Lemington,,,36,0,0,0,3,39
Lincoln,,,557,75,16,1,45,694
Londonderry,,,590,54,15,4,47,710
Lowell,,,250,17,8,0,29,304
Ludlow,,,765,45,11,7,82,910
Lunenburg,,,411,21,8,1,35,476
Lyndon,,,"1,462",77,37,8,91,"1,675"
Maidstone,,,74,4,2,0,23,103
Manchester,,,"1,439",103,25,2,146,"1,715"
Marlboro,,,340,66,8,0,59,473
Marshfield,,,617,71,17,3,41,749
Mendon,,,429,24,9,2,33,497
Middlebury,,,"2,282",199,36,13,187,"2,717"
Middlesex,,,773,53,21,2,54,903
"Middletown Springs",,,301,55,10,0,31,397
Milton,-,"Chittenden 9","2,772",143,47,4,252,"3,218"
Milton,-,"Grand Isle-Chittenden 1-1",460,24,11,0,35,530
Monkton,,,798,69,15,3,53,938
Montgomery,,,378,63,11,0,40,492
Montpelier,,,"3,270",346,71,5,248,"3,940"
Moretown,,,732,47,13,1,47,840
Morgan,,,257,17,7,1,19,301
Morristown,,,"1,828",113,31,5,106,"2,083"
"Mount Holly",,,511,49,9,0,57,626
"Mount Tabor",,,58,5,1,0,0,64
