City/Town,Ward,Pct,"Thomas M. Salmon",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,98,0,15,113
Albany,,,89,0,13,102
Alburgh,,,78,4,7,89
Andover,,,30,0,2,32
Arlington,,,88,0,5,93
Athens,,,11,0,1,12
Bakersfield,,,43,1,9,53
Baltimore,,,16,0,1,17
Barnard,,,43,0,4,47
Barnet,,,119,0,13,132
"Barre City",-,"Washington 3-1",214,3,27,244
"Barre City",-,"Washington 3-2",164,0,28,192
"Barre City",-,"Washington 3-3",19,0,5,24
"Barre Town",,,686,9,94,789
Barton,,,165,2,14,181
Belvidere,,,18,0,4,22
Bennington,-,"Bennington 2-1",115,0,34,149
Bennington,-,"Bennington 2-2",149,0,43,192
Benson,,,45,1,8,54
Berkshire,,,57,2,8,67
Berlin,,,133,2,35,170
Bethel,,,83,1,8,92
Bloomfield,,,13,2,2,17
Bolton,,,53,1,10,64
Bradford,,,145,2,25,172
Braintree,,,92,0,8,100
Brandon,,,189,2,25,216
Brattleboro,-,"Windham 3-1",116,0,15,131
Brattleboro,-,"Windham 3-2",58,0,11,69
Brattleboro,-,"Windham 3-3",51,0,9,60
Bridgewater,,,40,0,6,46
Bridport,,,108,2,11,121
Brighton,,,88,0,20,108
Bristol,,,215,2,12,229
Brookfield,,,70,1,5,76
Brookline,,,21,0,5,26
Brownington,,,32,0,8,40
Brunswick,,,11,0,2,13
Burke,,,72,0,8,80
Burlington,-,"Chittenden 3-1",260,3,45,308
Burlington,-,"Chittenden 3-2",121,1,28,150
Burlington,-,"Chittenden 3-3",78,1,9,88
Burlington,-,"Chittenden 3-4",42,2,12,56
Burlington,-,"Chittenden 3-5",159,0,33,192
Burlington,-,"Chittenden 3-6",15,2,2,19
Cabot,,,47,0,10,57
Calais,,,96,0,22,118
Cambridge,,,143,0,20,163
Canaan,,,25,0,48,73
Castleton,,,172,0,22,194
Cavendish,,,70,0,7,77
Charleston,,,49,0,3,52
Charlotte,,,140,1,48,189
Chelsea,,,76,0,15,91
Chester,,,114,0,19,133
Chittenden,,,125,0,34,159
Clarendon,,,147,2,16,165
Colchester,-,"Chittenden 7-1",231,0,49,280
Colchester,-,"Chittenden 7-2",299,1,71,371
Concord,,,61,4,8,73
Corinth,,,62,0,15,77
Cornwall,,,57,1,7,65
Coventry,,,41,0,7,48
Craftsbury,,,57,0,16,73
Danby,,,69,0,11,80
Danville,,,158,0,24,182
Derby,,,249,1,23,273
Dorset,,,97,0,7,104
Dover,,,47,0,7,54
Dummerston,,,62,0,6,68
Duxbury,,,68,0,9,77
"E. Haven",,,51,0,13,64
"E. Montpelier",,,156,0,25,181
Eden,,,37,0,8,45
Elmore,,,30,0,15,45
Enosburgh,,,89,5,21,115
Essex,-,"Chittenden 6-1",310,0,73,383
Essex,-,"Chittenden 6-2",340,4,88,432
Essex,-,"Chittenden 6-3",96,0,21,117
"Fair Haven",,,137,1,16,154
