City/Town,Ward,Pct,"Aaron Michael Toscano",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,90,0,23,113
Albany,,,75,5,22,102
Alburgh,,,62,3,24,89
Andover,,,27,0,5,32
Arlington,,,73,1,19,93
Athens,,,8,1,3,12
Bakersfield,,,32,3,18,53
Baltimore,,,14,0,3,17
Barnard,,,35,1,11,47
Barnet,,,101,4,27,132
"Barre City",-,"Washington 3-1",181,3,60,244
"Barre City",-,"Washington 3-2",131,4,57,192
"Barre City",-,"Washington 3-3",13,1,10,24
"Barre Town",,,589,25,175,789
Barton,,,137,6,38,181
Belvidere,,,14,0,8,22
Bennington,-,"Bennington 2-1",107,2,40,149
Bennington,-,"Bennington 2-2",137,0,55,192
Benson,,,37,0,17,54
Berkshire,,,38,10,19,67
Berlin,,,92,2,76,170
Bethel,,,70,1,21,92
Bloomfield,,,14,1,2,17
Bolton,,,47,0,17,64
Bradford,,,121,4,48,173
Braintree,,,86,1,13,100
Brandon,,,160,4,52,216
Brattleboro,-,"Windham 3-1",100,1,30,131
Brattleboro,-,"Windham 3-2",53,2,14,69
Brattleboro,-,"Windham 3-3",41,1,18,60
Bridgewater,,,36,2,10,48
Bridport,,,87,8,26,121
Brighton,,,71,8,28,107
Bristol,,,164,28,37,229
Brookfield,,,59,1,17,77
Brookline,,,20,1,5,26
Brownington,,,25,1,14,40
Brunswick,,,7,3,3,13
Burke,,,67,0,13,80
Burlington,-,"Chittenden 3-1",225,5,78,308
Burlington,-,"Chittenden 3-2",113,3,34,150
Burlington,-,"Chittenden 3-3",68,1,19,88
Burlington,-,"Chittenden 3-4",40,2,14,56
Burlington,-,"Chittenden 3-5",129,2,61,192
Burlington,-,"Chittenden 3-6",14,0,5,19
Cabot,,,43,0,14,57
Calais,,,70,5,43,118
Cambridge,,,107,20,36,163
Canaan,,,17,5,51,73
Castleton,,,161,1,32,194
Cavendish,,,61,2,13,76
Charleston,,,39,0,12,51
Charlotte,,,122,1,66,189
Chelsea,,,47,1,43,91
Chester,,,101,0,32,133
Chittenden,,,106,2,50,158
Clarendon,,,131,3,31,165
Colchester,-,"Chittenden 7-1",183,2,95,280
Colchester,-,"Chittenden 7-2",259,4,108,371
Concord,,,46,8,19,73
Corinth,,,52,2,23,77
Cornwall,,,50,1,14,65
Coventry,,,33,4,11,48
Craftsbury,,,41,4,28,73
Danby,,,60,2,18,80
Danville,,,128,0,54,182
Derby,,,205,7,61,273
Dorset,,,91,0,13,104
Dover,,,39,0,15,54
Dummerston,,,51,0,16,67
Duxbury,,,50,0,27,77
"E. Haven",,,44,0,20,64
"E. Montpelier",,,124,0,57,181
Eden,,,24,4,17,45
Elmore,,,29,0,16,45
Enosburgh,,,56,25,33,114
Essex,-,"Chittenden 6-1",268,3,112,383
Essex,-,"Chittenden 6-2",302,6,124,432
Essex,-,"Chittenden 6-3",79,0,58,137
"Fair Haven",,,117,6,32,155
Fairfax,,,118,2,44,164
Fairfield,,,62,21,40,123
Fairlee,,,26,1,8,35
Fayston,,,42,0,17,59
Ferrisburgh,,,113,0,23,136
Fletcher,,,41,0,15,56
Franklin,,,63,9,26,98
Georgia,,,139,5,51,195
Glover,,,68,4,36,108
Goshen,,,23,1,3,27
Grafton,,,34,0,5,39
Granby,,,15,0,6,21
"Grand Isle",,,86,19,29,134
Granville,,,9,0,2,11
Greensboro,,,38,0,11,49
Groton,,,64,5,15,84
Guildhall,,,20,2,27,49
Guilford,,,34,0,13,47
Halifax,,,16,1,10,27
Hancock,,,11,0,6,17
Hardwick,,,72,2,31,105
Hartford,-,"Windsor 6-1",62,1,14,77
Hartford,-,"Windsor 6-2",152,4,37,193
Hartland,,,102,1,43,146
Highgate,,,99,9,36,144
Hinesburg,-,"Chittenden 1-1",108,1,49,158
Hinesburg,-,"Chittenden 1-2",5,0,1,6
Holland,,,24,0,10,34
Hubbardton,,,21,0,6,27
Huntington,,,43,1,27,71
"Hyde Park",,,113,6,48,167
Ira,-,"Rutland 1-1",3,0,3,6
Ira,-,"Rutland 1-2",28,0,10,38
Irasburg,,,51,1,14,66
"Isle La Motte",,,16,1,12,29
Jamaica,,,37,2,20,59
Jay,,,10,2,6,18
Jericho,,,219,5,60,284
Johnson,,,66,2,22,90
Killington,,,77,0,24,101
Kirby,,,29,0,4,33
Landgrove,,,8,0,2,10
Leicester,,,34,0,19,53
Lemington,,,7,0,3,10
Lincoln,,,51,0,20,71
Londonderry,,,84,0,23,107
Lowell,,,23,2,13,38
Ludlow,,,60,0,24,84
Lunenburg,,,111,11,61,183
Lyndon,,,197,8,48,253
Maidstone,,,21,3,13,37
Manchester,,,160,0,34,194
Marlboro,,,19,0,3,22
Marshfield,,,65,0,21,86
Mendon,,,86,5,33,124
Middlebury,,,130,3,51,184
Middlesex,,,54,2,48,104
"Middletown Springs",,,36,0,6,42
Milton,-,"Chittenden 9",341,3,132,476
Milton,-,"Grand Isle-Chittenden 1-1",59,0,20,79
Monkton,,,42,3,15,60
Montgomery,,,27,2,8,37
Montpelier,,,223,4,155,382
Moretown,,,85,1,43,129
Morgan,,,53,0,14,67
Morristown,,,191,6,88,285
"Mount Holly",,,73,0,23,96
"Mount Tabor",,,7,0,3,10
"New Haven",,,83,2,24,109
Newark,,,28,0,9,37
Newbury,,,96,1,37,134
Newfane,,,28,0,14,42
"Newport City",,,136,16,46,198
"Newport Town",,,49,3,17,69
"N. Hero",,,50,2,15,67
Northfield,,,175,9,102,286
Norton,,,13,2,2,17
Norwich,,,42,0,19,61
Orange,,,72,4,17,93
Orwell,,,120,3,39,162
Panton,,,34,1,11,46
Pawlet,,,51,3,10,64
Peacham,,,28,0,19,47
Peru,,,20,0,2,22
Pittsfield,,,30,4,11,45
Pittsford,,,146,3,77,226
Plainfield,,,37,0,29,66
Plymouth,,,33,0,12,45
Pomfret,,,36,1,7,44
Poultney,,,99,2,38,139
Pownal,,,65,0,25,90
Proctor,,,109,2,39,150
Putney,,,30,1,14,45
Randolph,,,242,5,76,323
Reading,,,20,0,9,29
Readsboro,,,24,0,6,30
Richford,,,56,3,9,68
Richmond,,,132,0,42,174
Ripton,,,11,0,2,13
Rochester,,,53,7,16,76
Rockingham,,,135,6,60,201
Roxbury,,,18,0,13,31
Royalton,,,67,3,31,101
Rupert,-,"Bennington 5",4,0,3,7
Rupert,-,"Rutland 8",14,0,4,18
"Rutland City",-,"Rutland 5-1",212,13,122,347
"Rutland City",-,"Rutland 5-2",168,5,69,242
"Rutland City",-,"Rutland 5-3",84,3,44,131
"Rutland City",-,"Rutland 5-4",135,7,66,208
"Rutland Town",,,274,6,114,394
Ryegate,,,48,3,12,63
Salisbury,,,31,1,13,45
Sandgate,,,23,0,2,25
Searsburg,,,9,0,1,10
Shaftsbury,,,89,5,39,133
Sharon,,,32,0,12,44
Sheffield,,,24,4,7,35
Shelburne,-,"Chittenden 5-1",177,3,93,273
Shelburne,-,"Chittenden 5-2",132,6,50,188
Sheldon,,,61,26,21,108
Shoreham,,,66,4,16,86
Shrewsbury,,,55,1,20,76
"S. Burlington",-,"Chittenden 3-10",118,3,54,175
"S. Burlington",-,"Chittenden 3-7",103,6,50,159
"S. Burlington",-,"Chittenden 3-8",171,10,63,244
"S. Burlington",-,"Chittenden 3-9",157,3,54,214
"S. Hero",,,67,14,40,121
Springfield,-,"Windsor 1-1",4,0,3,7
Springfield,-,"Windsor 1-2",305,9,79,393
"St. Albans City",,,204,50,52,306
"St. Albans Town",,,317,77,126,520
"St. George",,,14,0,8,22
"St. Johnsbury",,,358,0,95,453
Stamford,,,25,0,6,31
Stannard,,,10,2,1,13
Starksboro,,,67,0,38,105
Stockbridge,,,30,2,6,38
Stowe,,,173,3,50,226
Strafford,,,25,0,14,39
Stratton,,,12,0,5,17
Sudbury,,,28,0,9,37
Sunderland,,,26,0,10,36
Sutton,,,32,2,17,51
Swanton,,,286,30,68,384
Thetford,,,49,1,14,64
Tinmouth,,,23,0,12,35
Topsham,,,60,0,19,79
Townshend,,,35,1,11,47
Troy,,,40,0,11,51
Tunbridge,,,56,5,24,85
Underhill,,,101,2,42,145
Vergennes,,,112,4,21,137
Vernon,,,140,1,43,184
Vershire,,,16,0,6,22
Victory,,,8,2,1,11
Waitsfield,,,69,2,23,94
Walden,,,37,0,21,58
Wallingford,,,93,2,44,139
Waltham,,,11,1,6,18
Wardsboro,,,19,0,8,27
Warren,,,47,0,16,63
Washington,,,26,1,14,41
Waterbury,,,158,5,97,260
Waterford,,,74,0,18,92
Waterville,,,32,2,13,47
Weathersfield,,,94,2,21,117
Wells,,,38,0,9,47
"W. Fairlee",,,22,0,6,28
"W. Haven",,,13,1,3,17
"W. Rutland",,,113,2,30,145
"W. Windsor",,,35,3,15,53
Westfield,,,24,4,5,33
Westford,,,127,0,69,196
Westminster,-,"Windham 4",3,1,1,5
Westminster,-,"Windham 5",53,1,10,64
Westmore,,,12,0,6,18
Weston,,,29,0,11,40
Weybridge,,,38,1,8,47
Wheelock,,,43,1,12,56
Whiting,,,21,0,4,25
Whitingham,,,29,1,9,39
Williamstown,,,116,8,34,158
Williston,,,346,7,108,461
Wilmington,,,53,1,10,64
Windham,,,9,0,3,12
Windsor,,,71,0,18,89
Winhall,,,37,0,11,48
Winooski,,,114,1,47,162
Wolcott,,,48,5,20,73
Woodbury,,,50,2,24,76
Woodford,,,7,1,4,12
Woodstock,,,129,6,49,184
Worcester,,,38,0,14,52
TOTALS,,,"21,208",888,"7,950","30,046"
