City/Town,Ward,Pct,"Peter Shumlin","Doug Racine","Deb Markowitz","Matt Dunne","Susan Bartlett",Write-Ins,Blanks,"Total Votes Cast"
,,,,,,,
Addison,,,39,22,45,26,15,0,3,150
Albany,,,23,30,26,10,7,0,0,96
Alburgh,,,25,50,52,17,19,0,6,169
Andover,,,18,9,18,11,4,0,0,60
Arlington,,,53,42,75,24,10,0,2,206
Athens,,,8,6,9,4,0,0,0,27
Bakersfield,,,32,47,35,27,8,2,6,157
Baltimore,,,2,3,2,6,0,0,0,13
Barnard,,,22,15,26,80,8,3,2,156
Barnet,,,33,39,61,37,12,2,1,185
"Barre City",-,"Washington 3-1",77,114,87,62,23,2,4,369
"Barre City",-,"Washington 3-2",74,99,87,32,10,5,5,312
"Barre City",-,"Washington 3-3",16,19,17,4,5,0,0,61
"Barre Town",,,152,229,185,122,38,4,7,737
Barton,,,27,48,42,17,11,3,4,152
Belvidere,,,5,11,1,2,7,0,0,26
Bennington,-,"Bennington 2-1",306,108,290,115,26,3,91,939
Bennington,-,"Bennington 2-2",183,83,181,108,16,1,13,585
Benson,,,18,21,31,10,4,0,1,85
Berkshire,,,18,30,31,5,7,6,2,99
Berlin,,,59,92,91,58,17,1,3,321
Bethel,,,38,91,37,81,12,1,4,264
Bloomfield,,,3,2,2,8,0,0,3,18
Bolton,,,26,42,48,26,5,0,1,148
Bradford,,,65,46,71,104,23,4,12,325
Braintree,,,21,40,20,34,2,2,1,120
Brandon,,,60,89,131,72,19,3,5,379
Brattleboro,-,"Windham 3-1",409,83,115,130,13,4,5,759
Brattleboro,-,"Windham 3-2",326,79,80,105,11,6,3,610
Brattleboro,-,"Windham 3-3",398,57,60,99,14,3,2,633
Bridgewater,,,19,19,15,45,9,3,2,112
Bridport,,,36,51,26,24,8,0,5,150
Brighton,,,27,33,32,27,3,3,4,129
Bristol,,,76,143,79,98,19,10,1,426
Brookfield,,,44,42,46,49,4,2,3,190
Brookline,,,37,11,13,6,2,0,0,69
Brownington,,,9,18,16,9,4,2,2,60
Brunswick,,,6,11,3,0,2,0,1,23
Burke,,,23,35,22,23,14,0,3,120
Burlington,-,"Chittenden 3-1",275,350,282,177,58,4,15,"1,161"
Burlington,-,"Chittenden 3-2",167,216,139,125,42,0,8,697
Burlington,-,"Chittenden 3-3",245,287,161,189,34,4,13,933
Burlington,-,"Chittenden 3-4",162,233,152,133,25,3,6,714
Burlington,-,"Chittenden 3-5",459,543,361,320,53,4,8,"1,748"
Burlington,-,"Chittenden 3-6",43,60,52,25,9,4,2,195
Cabot,,,32,48,50,18,8,0,1,157
Calais,,,103,124,88,55,14,0,4,388
Cambridge,,,86,78,54,69,68,5,2,362
Canaan,,,5,24,21,10,5,5,5,75
Castleton,,,53,60,72,31,11,2,2,231
Cavendish,,,28,23,40,21,8,1,2,123
Charleston,,,18,19,24,13,6,1,0,81
Charlotte,,,168,192,200,204,42,10,13,829
Chelsea,,,22,28,37,55,7,0,1,150
Chester,,,98,69,87,104,16,0,4,378
Chittenden,,,38,34,33,38,7,0,2,152
Clarendon,,,39,39,53,28,10,1,5,175
Colchester,-,"Chittenden 7-1",125,234,168,115,44,1,6,693
Colchester,-,"Chittenden 7-2",207,223,209,108,54,2,8,811
Concord,,,13,26,25,10,5,4,0,83
Corinth,,,44,39,33,50,4,1,6,177
Cornwall,,,80,39,46,94,8,1,1,269
Coventry,,,18,21,27,13,3,0,1,83
Craftsbury,,,57,52,40,27,16,2,1,195
Danby,,,16,15,49,17,8,1,5,111
