City/Town,Ward,Pct,"Brian E. Dubie",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,111,0,2,113
Albany,,,97,2,3,102
Alburgh,,,87,1,1,89
Andover,,,32,0,0,32
Arlington,,,89,2,2,93
Athens,,,10,1,1,12
Bakersfield,,,51,1,1,53
Baltimore,,,14,1,1,16
Barnard,,,45,0,2,47
Barnet,,,127,2,3,132
"Barre City",-,"Washington 3-1",237,2,5,244
"Barre City",-,"Washington 3-2",182,1,9,192
"Barre City",-,"Washington 3-3",21,1,2,24
"Barre Town",,,758,11,20,789
Barton,,,171,6,4,181
Belvidere,,,21,1,0,22
Bennington,-,"Bennington 2-1",139,3,7,149
Bennington,-,"Bennington 2-2",182,0,10,192
Benson,,,51,1,2,54
Berkshire,,,63,2,2,67
Berlin,,,158,2,10,170
Bethel,,,84,2,6,92
Bloomfield,,,16,1,0,17
Bolton,,,58,0,6,64
Bradford,,,160,4,9,173
Braintree,,,96,1,3,100
Brandon,,,206,2,8,216
Brattleboro,-,"Windham 3-1",128,1,2,131
Brattleboro,-,"Windham 3-2",64,3,2,69
Brattleboro,-,"Windham 3-3",55,1,4,60
Bridgewater,,,45,0,1,46
Bridport,,,120,0,1,121
Brighton,,,96,4,7,107
Bristol,,,213,12,4,229
Brookfield,,,74,1,2,77
Brookline,,,25,0,1,26
Brownington,,,35,1,4,40
Brunswick,,,11,1,1,13
Burke,,,74,2,4,80
Burlington,-,"Chittenden 3-1",300,1,7,308
Burlington,-,"Chittenden 3-2",144,0,5,149
Burlington,-,"Chittenden 3-3",84,3,1,88
Burlington,-,"Chittenden 3-4",49,3,4,56
Burlington,-,"Chittenden 3-5",181,3,8,192
Burlington,-,"Chittenden 3-6",17,1,1,19
Cabot,,,56,0,1,57
Calais,,,112,0,6,118
Cambridge,,,152,8,3,163
Canaan,,,24,4,45,73
Castleton,,,186,4,4,194
Cavendish,,,75,0,2,77
Charleston,,,51,1,0,52
Charlotte,,,177,1,10,188
Chelsea,,,83,1,7,91
Chester,,,128,2,3,133
Chittenden,,,148,1,10,159
Clarendon,,,157,0,4,161
Colchester,-,"Chittenden 7-1",272,1,7,280
Colchester,-,"Chittenden 7-2",363,0,8,371
Concord,,,62,7,4,73
Corinth,,,69,0,8,77
Cornwall,,,64,0,1,65
Coventry,,,46,1,1,48
Craftsbury,,,70,0,2,72
Danby,,,73,0,7,80
Danville,,,171,1,10,182
Derby,,,260,3,10,273
Dorset,,,100,0,4,104
Dover,,,54,0,0,54
Dummerston,,,63,2,3,68
Duxbury,,,70,1,6,77
"E. Haven",,,54,5,5,64
"E. Montpelier",,,173,0,8,181
Eden,,,42,2,1,45
Elmore,,,42,0,3,45
Enosburgh,,,102,5,8,115
Essex,-,"Chittenden 6-1",372,0,9,381
Essex,-,"Chittenden 6-2",424,2,6,432
Essex,-,"Chittenden 6-3",114,1,2,117
"Fair Haven",,,148,1,6,155
Fairfax,,,161,2,1,164
Fairfield,,,116,3,4,123
Fairlee,,,33,2,0,35
Fayston,,,54,0,5,59
Ferrisburgh,,,134,0,2,136
Fletcher,,,52,0,4,56
Franklin,,,89,4,5,98
Georgia,,,188,1,7,196
Glover,,,96,6,6,108
Goshen,,,24,2,1,27
Grafton,,,38,0,1,39
Granby,,,17,0,4,21
"Grand Isle",,,128,5,1,134
Granville,,,10,0,1,11
Greensboro,,,43,1,5,49
Groton,,,80,1,2,83
Guildhall,,,36,0,13,49
Guilford,,,46,0,1,47
Halifax,,,22,2,3,27
Hancock,,,14,1,2,17
Hardwick,,,96,3,6,105
Hartford,-,"Windsor 6-1",74,1,2,77
Hartford,-,"Windsor 6-2",190,0,3,193
Hartland,,,132,2,9,143
Highgate,,,133,2,9,144
Hinesburg,-,"Chittenden 1-1",151,2,5,158
Hinesburg,-,"Chittenden 1-2",6,0,0,6
Holland,,,34,0,0,34
Hubbardton,,,27,0,0,27
Huntington,,,63,0,8,71
"Hyde Park",,,162,2,3,167
Ira,-,"Rutland 1-1",5,0,1,6
Ira,-,"Rutland 1-2",36,0,2,38
Irasburg,,,61,1,4,66
"Isle La Motte",,,27,0,2,29
Jamaica,,,49,2,8,59
Jay,,,17,1,0,18
Jericho,,,274,4,6,284
Johnson,,,89,0,1,90
Killington,,,91,4,6,101
Kirby,,,32,1,0,33
Landgrove,,,10,0,0,10
Leicester,,,51,0,2,53
Lemington,,,8,1,1,10
Lincoln,,,71,0,0,71
Londonderry,,,101,1,5,107
Lowell,,,32,1,5,38
Ludlow,,,82,1,1,84
Lunenburg,,,159,8,16,183
Lyndon,,,251,0,3,254
Maidstone,,,26,5,6,37
Manchester,,,189,0,8,197
Marlboro,,,21,0,1,22
Marshfield,,,84,0,1,85
Mendon,,,119,2,3,124
Middlebury,,,179,1,4,184
Middlesex,,,95,1,8,104
"Middletown Springs",,,41,0,1,42
Milton,-,"Chittenden 9",460,0,15,475
Milton,-,"Grand Isle-Chittenden 1-1",77,0,2,79
Monkton,,,59,0,1,60
Montgomery,,,35,0,2,37
Montpelier,,,347,3,32,382
Moretown,,,121,2,6,129
Morgan,,,55,0,12,67
Morristown,,,274,4,6,284
"Mount Holly",,,92,0,4,96
"Mount Tabor",,,9,1,0,10
"New Haven",,,106,0,3,109
Newark,,,35,0,2,37
Newbury,,,125,1,8,134
Newfane,,,42,0,1,43
"Newport City",,,181,12,5,198
"Newport Town",,,66,1,3,70
"N. Hero",,,66,0,1,67
Northfield,,,273,1,12,286
Norton,,,16,0,1,17
Norwich,,,57,0,0,57
Orange,,,87,2,4,93
Orwell,,,151,5,6,162
Panton,,,45,0,1,46
Pawlet,,,60,3,1,64
Peacham,,,42,0,5,47
Peru,,,20,1,1,22
Pittsfield,,,40,5,0,45
Pittsford,,,211,5,10,226
Plainfield,,,66,0,0,66
Plymouth,,,40,0,5,45
Pomfret,,,43,1,0,44
Poultney,,,134,0,5,139
Pownal,,,80,0,10,90
Proctor,,,137,2,11,150
Putney,,,44,0,1,45
Randolph,,,312,1,10,323
Reading,,,26,0,3,29
Readsboro,,,29,0,1,30
Richford,,,66,2,0,68
Richmond,,,169,3,3,175
Ripton,,,12,0,1,13
Rochester,,,73,2,1,76
Rockingham,,,186,4,11,201
Roxbury,,,28,2,1,31
Royalton,,,94,0,7,101
Rupert,-,"Bennington 5",7,0,0,7
Rupert,-,"Rutland 8",16,0,2,18
"Rutland City",-,"Rutland 5-1",322,4,21,347
"Rutland City",-,"Rutland 5-2",225,2,15,242
"Rutland City",-,"Rutland 5-3",121,1,7,129
"Rutland City",-,"Rutland 5-4",195,4,7,206
"Rutland Town",,,365,6,23,394
Ryegate,,,61,0,2,63
Salisbury,,,44,0,1,45
Sandgate,,,24,0,1,25
Searsburg,,,7,2,1,10
Shaftsbury,,,127,0,4,131
Sharon,,,43,1,1,45
Sheffield,,,31,1,3,35
