City/Town,Ward,Pct,"Steve Howard","Christopher A. Bray",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Addison,,,24,109,2,15,150
Albany,,,26,46,3,21,96
Alburgh,,,61,60,4,44,169
Andover,,,28,22,0,10,60
Arlington,,,97,65,0,44,206
Athens,,,10,8,1,8,27
Bakersfield,,,55,59,5,38,157
Baltimore,,,8,4,0,1,13
Barnard,,,61,48,3,43,155
Barnet,,,80,55,5,45,185
"Barre City",-,"Washington 3-1",162,116,9,82,369
"Barre City",-,"Washington 3-2",142,101,6,63,312
"Barre City",-,"Washington 3-3",18,30,5,8,61
"Barre Town",,,298,242,59,138,737
Barton,,,50,52,17,33,152
Belvidere,,,12,4,1,9,26
Bennington,-,"Bennington 2-1",412,228,4,295,939
Bennington,-,"Bennington 2-2",303,155,4,123,585
Benson,,,48,24,0,13,85
Berkshire,,,29,29,18,23,99
Berlin,,,113,99,15,94,321
Bethel,,,108,87,6,63,264
Bloomfield,,,9,5,1,3,18
Bolton,,,53,60,0,36,149
Bradford,,,110,111,4,99,324
Braintree,,,53,41,0,24,118
Brandon,,,151,183,5,40,379
Brattleboro,-,"Windham 3-1",318,187,7,247,759
Brattleboro,-,"Windham 3-2",291,125,16,178,610
Brattleboro,-,"Windham 3-3",252,154,10,217,633
Bridgewater,,,62,14,7,29,112
Bridport,,,19,113,7,11,150
Brighton,,,50,44,7,28,129
Bristol,,,52,303,26,45,426
Brookfield,,,63,82,4,40,189
Brookline,,,31,16,0,22,69
Brownington,,,25,21,3,11,60
Brunswick,,,6,8,2,7,23
Burke,,,43,39,3,35,120
Burlington,-,"Chittenden 3-1",493,391,9,268,"1,161"
Burlington,-,"Chittenden 3-2",282,246,5,164,697
Burlington,-,"Chittenden 3-3",347,326,12,248,933
Burlington,-,"Chittenden 3-4",260,224,11,218,713
Burlington,-,"Chittenden 3-5",671,595,15,467,"1,748"
Burlington,-,"Chittenden 3-6",75,58,2,58,193
Cabot,,,50,59,3,44,156
Calais,,,113,168,4,102,387
Cambridge,,,96,114,51,101,362
Canaan,,,25,25,10,15,75
Castleton,,,154,44,3,30,231
Cavendish,,,54,46,0,23,123
Charleston,,,30,26,5,20,81
Charlotte,,,204,417,19,188,828
Chelsea,,,65,40,8,37,150
Chester,,,194,110,1,73,378
Chittenden,,,107,25,1,19,152
Clarendon,,,126,34,1,14,175
Colchester,-,"Chittenden 7-1",241,265,6,181,693
Colchester,-,"Chittenden 7-2",320,278,5,205,808
Concord,,,28,20,15,20,83
Corinth,,,66,49,8,54,177
Cornwall,,,54,186,2,27,269
Coventry,,,28,25,3,27,83
Craftsbury,,,62,61,17,55,195
Danby,,,77,15,4,15,111
Danville,,,75,112,5,44,236
Derby,,,164,124,14,90,392
Dorset,,,97,72,2,68,239
Dover,,,47,42,2,46,137
Dummerston,,,197,108,2,144,451
Duxbury,,,66,87,10,64,227
"E. Haven",,,9,11,0,6,26
"E. Montpelier",,,160,240,11,131,542
Eden,,,18,21,15,17,71
Elmore,,,49,43,6,38,136
Enosburgh,,,69,67,32,61,229
Essex,-,"Chittenden 6-1",288,258,5,224,775
Essex,-,"Chittenden 6-2",321,330,10,240,901
Essex,-,"Chittenden 6-3",101,94,2,92,289
"Fair Haven",,,103,48,4,18,173
Fairfax,,,144,140,8,91,383
Fairfield,,,78,86,31,59,254
Fairlee,,,49,35,6,19,109
Fayston,,,39,77,1,53,170
Ferrisburgh,,,52,233,1,44,330
Fletcher,,,46,52,2,34,134
Franklin,,,31,59,20,15,125
Georgia,,,95,119,17,60,291
Glover,,,40,49,13,40,142
Goshen,,,18,22,0,7,47
Grafton,,,29,43,1,31,104
Granby,,,3,6,0,1,10
"Grand Isle",,,122,83,63,60,328
Granville,,,13,21,3,16,53
Greensboro,,,43,41,2,38,124
Groton,,,27,33,5,26,91
Guildhall,,,12,13,5,3,33
Guilford,,,162,88,4,128,382
Halifax,,,33,22,0,36,91
Hancock,,,10,13,2,8,33
Hardwick,,,96,108,7,58,269
Hartford,-,"Windsor 6-1",96,51,6,77,230
Hartford,-,"Windsor 6-2",297,220,7,175,699
Hartland,,,324,195,7,215,741
Highgate,,,102,86,13,34,235
Hinesburg,-,"Chittenden 1-1",205,277,2,134,618
Hinesburg,-,"Chittenden 1-2",7,17,0,5,29
Holland,,,19,27,1,8,55
Hubbardton,,,28,15,1,4,48
Huntington,,,83,203,4,75,365
"Hyde Park",,,103,112,19,93,327
Ira,-,"Rutland 1-1",1,0,0,0,1
Ira,-,"Rutland 1-2",26,6,0,8,40
Irasburg,,,26,34,6,23,89
"Isle La Motte",,,35,34,3,28,100
Jamaica,,,49,29,8,30,116
Jay,,,14,11,10,13,48
Jericho,,,265,303,24,220,812
Johnson,,,78,97,4,65,244
Killington,,,58,19,1,14,92
Kirby,,,13,11,0,15,39
Landgrove,,,12,14,0,13,39
Leicester,,,19,68,1,6,94
Lemington,,,0,0,0,4,4
Lincoln,,,33,206,3,46,288
Londonderry,,,59,40,6,40,145
Lowell,,,20,29,11,18,78
Ludlow,,,139,51,3,48,241
Lunenburg,,,50,46,7,30,133
Lyndon,,,135,108,7,56,306
Maidstone,,,5,8,4,4,21
Manchester,,,175,99,2,85,361
Marlboro,,,100,62,3,100,265
Marshfield,,,112,105,2,76,295
Mendon,,,86,27,1,13,127
Middlebury,,,161,863,9,144,"1,177"
Middlesex,,,151,166,13,117,447
"Middletown Springs",,,80,21,0,12,113
Milton,-,"Chittenden 9",239,201,5,157,602
Milton,-,"Grand Isle-Chittenden 1-1",39,46,0,27,112
Monkton,,,51,216,6,38,311
Montgomery,,,39,54,1,43,137
Montpelier,,,682,909,34,503,"2,128"
Moretown,,,87,96,4,96,283
Morgan,,,28,25,1,12,66
Morristown,,,211,168,18,134,531
"Mount Holly",,,113,30,1,18,162
"Mount Tabor",,,13,1,0,1,15
"New Haven",,,22,243,4,3,272
Newark,,,12,18,1,21,52
Newbury,,,59,72,4,69,204
Newfane,,,161,97,8,131,397
"Newport City",,,119,86,24,55,284
"Newport Town",,,40,28,7,22,97
