City/Town,Ward,Pct,"Phil Scott","Mark Snelling",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Addison,,,49,62,0,2,113
Albany,,,55,40,1,6,102
Alburgh,,,44,42,0,3,89
Andover,,,10,21,0,1,32
Arlington,,,36,56,0,1,93
Athens,,,7,4,0,1,12
Bakersfield,,,23,27,0,3,53
Baltimore,,,6,9,0,2,17
Barnard,,,16,28,0,3,47
Barnet,,,90,39,0,3,132
"Barre City",-,"Washington 3-1",186,54,0,4,244
"Barre City",-,"Washington 3-2",164,23,0,5,192
"Barre City",-,"Washington 3-3",21,3,0,0,24
"Barre Town",,,661,119,0,9,789
Barton,,,88,86,0,7,181
Belvidere,,,16,6,0,0,22
Bennington,-,"Bennington 2-1",50,84,1,14,149
Bennington,-,"Bennington 2-2",71,101,0,20,192
Benson,,,19,31,1,3,54
Berkshire,,,36,24,0,6,66
Berlin,,,144,24,0,2,170
Bethel,,,49,38,0,5,92
Bloomfield,,,9,7,0,1,17
Bolton,,,47,14,0,3,64
Bradford,,,87,74,2,10,173
Braintree,,,60,38,0,2,100
Brandon,,,90,117,1,8,216
Brattleboro,-,"Windham 3-1",54,73,1,3,131
Brattleboro,-,"Windham 3-2",28,26,0,15,69
Brattleboro,-,"Windham 3-3",18,37,0,5,60
Bridgewater,,,22,20,0,3,45
Bridport,,,43,69,5,4,121
Brighton,,,55,42,0,11,108
Bristol,,,80,137,5,7,229
Brookfield,,,53,21,0,3,77
Brookline,,,7,14,0,5,26
Brownington,,,25,11,0,4,40
Brunswick,,,6,4,0,3,13
Burke,,,41,36,0,3,80
Burlington,-,"Chittenden 3-1",151,138,0,19,308
Burlington,-,"Chittenden 3-2",72,70,0,8,150
Burlington,-,"Chittenden 3-3",37,47,0,4,88
Burlington,-,"Chittenden 3-4",23,29,1,3,56
Burlington,-,"Chittenden 3-5",76,107,0,9,192
Burlington,-,"Chittenden 3-6",8,10,0,1,19
Cabot,,,45,8,1,3,57
Calais,,,101,15,0,2,118
Cambridge,,,95,58,3,7,163
Canaan,,,9,18,0,46,73
Castleton,,,99,86,0,9,194
Cavendish,,,29,47,0,1,77
Charleston,,,34,17,0,1,52
Charlotte,,,77,99,0,13,189
Chelsea,,,61,27,0,3,91
Chester,,,40,88,0,5,133
Chittenden,,,74,69,0,16,159
Clarendon,,,79,75,3,8,165
Colchester,-,"Chittenden 7-1",162,110,0,8,280
Colchester,-,"Chittenden 7-2",245,119,0,7,371
Concord,,,34,36,0,3,73
Corinth,,,48,24,0,5,77
Cornwall,,,30,32,0,3,65
Coventry,,,23,21,0,4,48
Craftsbury,,,43,23,0,6,72
Danby,,,37,36,1,6,80
Danville,,,113,54,0,15,182
Derby,,,135,124,1,13,273
Dorset,,,58,44,0,2,104
Dover,,,22,31,0,1,54
Dummerston,,,21,42,0,4,67
Duxbury,,,60,16,0,1,77
"E. Haven",,,26,27,0,11,64
"E. Montpelier",,,166,15,0,0,181
Eden,,,31,11,0,3,45
Elmore,,,42,3,0,0,45
Enosburgh,,,50,48,2,15,115
Essex,-,"Chittenden 6-1",234,134,0,15,383
Essex,-,"Chittenden 6-2",267,151,1,13,432
Essex,-,"Chittenden 6-3",62,48,0,7,117
"Fair Haven",,,67,75,1,12,155
Fairfax,,,99,60,0,5,164
Fairfield,,,67,39,3,12,121
Fairlee,,,17,18,0,0,35
Fayston,,,47,12,0,0,59
Ferrisburgh,,,63,68,0,5,136
Fletcher,,,39,12,0,5,56
Franklin,,,35,49,4,10,98
Georgia,,,106,79,0,11,196
Glover,,,49,50,0,9,108
Goshen,,,12,14,0,1,27
Grafton,,,13,23,0,3,39
Granby,,,8,11,0,2,21
"Grand Isle",,,80,48,2,4,134
Granville,,,5,6,0,0,11
Greensboro,,,26,22,0,1,49
Groton,,,58,21,0,5,84
Guildhall,,,18,21,0,10,49
Guilford,,,16,29,0,2,47
Halifax,,,6,19,0,2,27
Hancock,,,12,4,0,1,17
Hardwick,,,78,20,0,7,105
Hartford,-,"Windsor 6-1",38,36,1,2,77
Hartford,-,"Windsor 6-2",78,105,0,10,193
Hartland,,,43,90,1,13,147
Highgate,,,70,64,1,9,144
Hinesburg,-,"Chittenden 1-1",70,83,1,4,158
Hinesburg,-,"Chittenden 1-2",1,5,0,0,6
Holland,,,15,15,0,4,34
Hubbardton,,,11,16,0,0,27
Huntington,,,38,24,0,9,71
"Hyde Park",,,127,36,1,4,168
Ira,-,"Rutland 1-1",5,1,0,0,6
Ira,-,"Rutland 1-2",14,18,1,5,38
Irasburg,,,37,23,0,6,66
"Isle La Motte",,,13,11,0,5,29
Jamaica,,,35,16,1,7,59
Jay,,,4,11,0,3,18
Jericho,,,177,102,1,4,284
Johnson,,,73,15,0,2,90
Killington,,,32,65,0,4,101
Kirby,,,23,10,0,0,33
Landgrove,,,3,6,0,1,10
Leicester,,,25,26,0,2,53
Lemington,,,3,6,0,1,10
Lincoln,,,15,54,0,2,71
Londonderry,,,47,51,0,9,107
Lowell,,,23,11,0,4,38
Ludlow,,,37,40,0,7,84
Lunenburg,,,84,72,0,27,183
Lyndon,,,137,109,1,6,253
Maidstone,,,10,16,1,10,37
Manchester,,,74,114,0,10,198
Marlboro,,,9,13,0,0,22
Marshfield,,,73,11,0,2,86
Mendon,,,41,71,1,11,124
Middlebury,,,73,102,0,9,184
Middlesex,,,93,11,0,0,104
"Middletown Springs",,,18,23,0,1,42
Milton,-,"Chittenden 9",297,162,1,16,476
Milton,-,"Grand Isle-Chittenden 1-1",45,31,0,3,79
Monkton,,,33,25,0,2,60
Montgomery,,,12,20,1,4,37
Montpelier,,,319,56,0,7,382
Moretown,,,98,29,1,1,129
Morgan,,,26,37,0,4,67
Morristown,,,222,52,0,11,285
"Mount Holly",,,51,41,0,4,96
"Mount Tabor",,,5,5,0,0,10
"New Haven",,,55,46,0,8,109
Newark,,,23,12,0,2,37
Newbury,,,75,54,2,3,134
Newfane,,,18,22,0,3,43
"Newport City",,,87,99,0,12,198
"Newport Town",,,37,27,1,4,69
"N. Hero",,,43,23,0,1,67
Northfield,,,242,39,0,5,286
Norton,,,10,7,0,0,17
Norwich,,,12,42,0,7,61
Orange,,,80,13,0,0,93
Orwell,,,57,88,0,17,162
Panton,,,18,26,0,2,46
Pawlet,,,24,36,0,4,64
Peacham,,,35,8,0,4,47
Peru,,,5,13,0,4,22
Pittsfield,,,22,20,1,2,45
Pittsford,,,119,87,3,17,226
Plainfield,,,56,9,0,1,66
Plymouth,,,20,19,0,6,45
Pomfret,,,11,32,0,1,44
Poultney,,,60,68,2,9,139
Pownal,,,44,34,0,12,90
Proctor,,,49,84,2,15,150
Putney,,,12,29,1,3,45
Randolph,,,194,109,0,20,323
Reading,,,11,14,0,4,29
Readsboro,,,9,18,0,3,30
Richford,,,30,37,0,1,68
Richmond,,,103,66,0,6,175
Ripton,,,7,6,0,0,13
Rochester,,,46,29,0,1,76
Rockingham,,,53,119,0,29,201
Roxbury,,,23,7,0,1,31
Royalton,,,37,53,0,10,100
Rupert,-,"Bennington 5",2,5,0,0,7
Rupert,-,"Rutland 8",5,12,0,1,18
"Rutland City",-,"Rutland 5-1",125,188,1,33,347
"Rutland City",-,"Rutland 5-2",105,114,4,19,242
"Rutland City",-,"Rutland 5-3",45,78,2,6,131
"Rutland City",-,"Rutland 5-4",83,109,3,13,208
"Rutland Town",,,149,207,2,36,394
Ryegate,,,42,21,0,0,63
Salisbury,,,13,29,0,3,45
Sandgate,,,16,8,0,1,25
Searsburg,,,3,6,0,1,10
Shaftsbury,,,37,82,1,13,133
Sharon,,,21,20,1,3,45
Sheffield,,,20,13,1,1,35
Shelburne,-,"Chittenden 5-1",98,165,0,10,273
Shelburne,-,"Chittenden 5-2",91,93,0,4,188
Sheldon,,,53,45,3,7,108
Shoreham,,,28,51,1,5,85
Shrewsbury,,,50,23,0,3,76
"S. Burlington",-,"Chittenden 3-10",79,90,0,6,175
"S. Burlington",-,"Chittenden 3-7",75,76,0,8,159
"S. Burlington",-,"Chittenden 3-8",123,115,0,6,244
"S. Burlington",-,"Chittenden 3-9",99,106,0,9,214
"S. Hero",,,84,32,0,6,122
Springfield,-,"Windsor 1-1",4,2,0,1,7
Springfield,-,"Windsor 1-2",163,206,0,24,393
"St. Albans City",,,143,148,3,12,306
"St. Albans Town",,,235,250,6,29,520
"St. George",,,15,7,0,0,22
"St. Johnsbury",,,247,189,0,21,457
Stamford,,,15,14,0,2,31
Stannard,,,8,5,0,0,13
Starksboro,,,27,77,0,1,105
Stockbridge,,,25,12,0,1,38
Stowe,,,163,58,0,5,226
Strafford,,,18,18,1,2,39
Stratton,,,6,10,0,1,17
Sudbury,,,10,26,0,1,37
Sunderland,,,18,14,0,4,36
Sutton,,,30,17,0,4,51
Swanton,,,188,176,1,19,384
Thetford,,,27,33,1,3,64
Tinmouth,,,19,14,0,2,35
Topsham,,,49,29,0,1,79
Townshend,,,18,27,0,2,47
Troy,,,27,23,0,1,51
Tunbridge,,,43,39,0,3,85
Underhill,,,97,46,0,2,145
Vergennes,,,68,62,0,7,137
Vernon,,,96,66,0,22,184
Vershire,,,9,12,0,1,22
Victory,,,7,4,0,0,11
Waitsfield,,,68,25,0,0,93
Walden,,,39,17,0,3,59
Wallingford,,,64,64,0,11,139
Waltham,,,7,9,1,1,18
Wardsboro,,,16,10,0,1,27
Warren,,,49,13,0,1,63
Washington,,,30,10,0,1,41
Waterbury,,,216,38,0,6,260
Waterford,,,60,31,0,1,92
Waterville,,,38,8,0,1,47
Weathersfield,,,54,55,0,8,117
Wells,,,22,22,0,3,47
"W. Fairlee",,,9,17,0,2,28
"W. Haven",,,4,13,0,0,17
"W. Rutland",,,74,59,0,12,145
"W. Windsor",,,10,40,1,2,53
Westfield,,,21,9,2,1,33
Westford,,,95,90,0,11,196
Westminster,-,"Windham 4",2,3,0,0,5
Westminster,-,"Windham 5",23,36,0,5,64
Westmore,,,7,11,0,0,18
Weston,,,8,29,0,3,40
Weybridge,,,23,24,0,0,47
Wheelock,,,26,29,0,1,56
Whiting,,,7,17,0,1,25
Whitingham,,,16,20,1,2,39
Williamstown,,,134,19,0,5,158
Williston,,,235,207,1,18,461
Wilmington,,,27,33,1,3,64
Windham,,,2,9,0,1,12
Windsor,,,24,62,0,3,89
Winhall,,,24,22,1,1,48
Winooski,,,86,63,0,13,162
Wolcott,,,62,9,0,2,73
Woodbury,,,64,11,0,1,76
Woodford,,,2,8,0,2,12
Woodstock,,,61,111,0,12,184
Worcester,,,41,11,0,0,52
TOTALS,,,"15,981","12,389",105,"1,562","30,037"
