City/Town,Ward,Pct,"Paul D. Beaudry","John M. Mitchell","Keith Stern",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Addison,,,35,44,11,2,21,113
Albany,,,52,22,5,3,20,102
Alburgh,,,71,8,0,1,9,89
Andover,,,9,2,17,0,4,32
Arlington,,,16,54,13,1,9,93
Athens,,,3,3,4,0,2,12
Bakersfield,,,35,5,2,2,9,53
Baltimore,,,0,2,12,0,2,16
Barnard,,,10,22,8,1,6,47
Barnet,,,45,43,19,4,21,132
"Barre City",-,"Washington 3-1",105,83,20,1,35,244
"Barre City",-,"Washington 3-2",74,62,0,5,51,192
"Barre City",-,"Washington 3-3",9,7,1,0,7,24
"Barre Town",,,315,269,60,24,121,789
Barton,,,79,38,25,9,30,181
Belvidere,,,13,1,2,1,5,22
Bennington,-,"Bennington 2-1",21,74,20,2,32,149
Bennington,-,"Bennington 2-2",43,78,29,0,42,192
Benson,,,10,27,9,1,6,53
Berkshire,,,39,6,3,12,7,67
Berlin,,,62,56,6,4,42,170
Bethel,,,28,36,14,1,13,92
Bloomfield,,,6,6,2,1,2,17
Bolton,,,30,8,11,0,14,63
Bradford,,,47,51,40,3,31,172
Braintree,,,42,26,13,2,17,100
Brandon,,,23,147,13,2,31,216
Brattleboro,-,"Windham 3-1",21,50,36,1,23,131
Brattleboro,-,"Windham 3-2",10,23,24,1,11,69
Brattleboro,-,"Windham 3-3",5,25,16,0,14,60
Bridgewater,,,8,23,8,1,5,45
Bridport,,,38,41,15,7,20,121
Brighton,,,37,23,14,0,25,99
Bristol,,,74,78,20,23,34,229
Brookfield,,,37,21,6,2,10,76
Brookline,,,5,8,9,1,3,26
Brownington,,,14,11,5,0,10,40
Brunswick,,,6,2,1,2,2,13
Burke,,,30,24,12,0,3,69
Burlington,-,"Chittenden 3-1",140,73,25,5,65,308
Burlington,-,"Chittenden 3-2",72,35,10,4,29,150
Burlington,-,"Chittenden 3-3",43,22,13,0,10,88
Burlington,-,"Chittenden 3-4",25,11,9,0,11,56
Burlington,-,"Chittenden 3-5",68,58,16,2,48,192
Burlington,-,"Chittenden 3-6",7,4,2,1,5,19
Cabot,,,22,21,5,1,8,57
Calais,,,48,34,5,1,30,118
Cambridge,,,70,44,6,14,29,163
Canaan,,,10,7,3,5,48,73
Castleton,,,49,107,12,0,26,194
Cavendish,,,14,16,45,1,1,77
Charleston,,,29,9,3,1,10,52
Charlotte,,,56,59,13,2,59,189
Chelsea,,,26,26,12,3,24,91
Chester,,,21,25,71,1,15,133
Chittenden,,,25,98,5,1,30,159
Clarendon,,,30,105,9,3,18,165
Colchester,-,"Chittenden 7-1",130,66,19,0,65,280
Colchester,-,"Chittenden 7-2",162,94,34,3,78,371
Concord,,,25,14,12,6,16,73
Corinth,,,38,15,5,3,16,77
Cornwall,,,27,23,7,0,8,65
Coventry,,,28,7,2,2,9,48
Craftsbury,,,22,16,10,5,20,73
Danby,,,6,57,4,2,11,80
Danville,,,63,46,31,0,41,181
Derby,,,149,45,27,6,46,273
Dorset,,,15,62,7,2,18,104
Dover,,,12,23,13,0,6,54
Dummerston,,,13,20,24,0,10,67
Duxbury,,,33,21,10,0,13,77
"E. Haven",,,18,16,12,2,16,64
"E. Montpelier",,,63,77,7,1,33,181
Eden,,,26,5,2,2,10,45
Elmore,,,18,8,3,0,16,45
Enosburgh,,,66,14,2,12,21,115
Essex,-,"Chittenden 6-1",148,113,28,0,89,378
Essex,-,"Chittenden 6-2",191,107,44,6,84,432
Essex,-,"Chittenden 6-3",63,25,6,0,23,117
"Fair Haven",,,30,91,8,5,21,155
Fairfax,,,99,28,8,2,27,164
Fairfield,,,59,17,4,15,27,122
Fairlee,,,10,6,14,1,4,35
Fayston,,,26,17,5,0,11,59
Ferrisburgh,,,53,48,11,0,24,136
Fletcher,,,37,7,4,1,7,56
Franklin,,,62,10,4,4,16,96
Georgia,,,137,26,10,2,21,196
Glover,,,41,19,12,7,29,108
Goshen,,,6,21,0,0,0,27
Grafton,,,11,11,14,0,3,39
Granby,,,3,8,3,0,7,21
"Grand Isle",,,73,36,1,8,16,134
Granville,,,1,7,1,0,2,11
Greensboro,,,22,11,3,3,10,49
Groton,,,32,21,11,2,18,84
Guildhall,,,6,11,8,3,21,49
Guilford,,,11,12,14,0,9,46
Halifax,,,6,8,6,0,6,26
Hancock,,,4,5,2,0,6,17
Hardwick,,,47,24,7,0,27,105
Hartford,-,"Windsor 6-1",12,20,31,4,9,76
Hartford,-,"Windsor 6-2",32,46,87,3,25,193
Hartland,,,21,56,34,1,26,138
Highgate,,,96,16,8,7,17,144
Hinesburg,-,"Chittenden 1-1",64,50,12,0,31,157
Hinesburg,-,"Chittenden 1-2",4,0,2,0,0,6
Holland,,,13,6,6,1,7,33
Hubbardton,,,9,14,1,0,3,27
Huntington,,,37,10,6,0,18,71
"Hyde Park",,,80,33,7,6,41,167
Ira,-,"Rutland 1-1",1,2,1,0,2,6
Ira,-,"Rutland 1-2",9,20,2,1,6,38
Irasburg,,,43,6,6,2,8,65
"Isle La Motte",,,19,2,2,0,6,29
Jamaica,,,2,21,16,4,15,58
Jay,,,11,1,0,1,5,18
Jericho,,,155,65,24,3,37,284
Johnson,,,49,15,5,2,19,90
Killington,,,13,72,3,3,10,101
Kirby,,,22,7,2,1,1,33
Landgrove,,,0,7,1,0,2,10
Leicester,,,17,27,2,0,7,53
Lemington,,,2,4,2,0,2,10
Lincoln,,,26,28,4,0,0,58
Londonderry,,,12,51,27,3,14,107
Lowell,,,18,5,3,2,10,38
Ludlow,,,19,46,13,0,6,84
Lunenburg,,,54,35,33,12,49,183
Lyndon,,,93,82,45,1,33,254
Maidstone,,,12,4,6,6,9,37
Manchester,,,45,109,17,2,25,198
Marlboro,,,5,13,2,0,2,22
Marshfield,,,40,23,8,0,15,86
Mendon,,,13,84,5,2,19,123
Middlebury,,,50,82,12,3,37,184
Middlesex,,,51,17,6,1,29,104
"Middletown Springs",,,8,29,2,0,3,42
Milton,-,"Chittenden 9",292,66,29,3,86,476
Milton,-,"Grand Isle-Chittenden 1-1",50,18,1,0,10,79
Monkton,,,24,17,8,1,10,60
Montgomery,,,26,5,2,0,4,37
Montpelier,,,115,132,35,1,99,382
Moretown,,,75,24,6,0,24,129
Morgan,,,35,14,6,0,12,67
Morristown,,,134,47,25,3,76,285
"Mount Holly",,,18,48,15,0,15,96
"Mount Tabor",,,4,6,0,0,0,10
"New Haven",,,44,38,6,3,18,109
Newark,,,12,13,5,0,7,37
Newbury,,,35,37,38,3,20,133
Newfane,,,10,6,16,1,10,43
"Newport City",,,110,43,12,14,19,198
"Newport Town",,,36,9,9,1,13,68
"N. Hero",,,41,10,5,0,11,67
Northfield,,,97,78,25,4,82,286
Norton,,,6,7,0,2,2,17
Norwich,,,6,21,19,1,14,61
Orange,,,46,26,6,1,14,93
Orwell,,,49,67,5,9,30,160
Panton,,,13,17,7,1,8,46
Pawlet,,,6,44,6,0,8,64
Peacham,,,22,10,4,0,11,47
Peru,,,2,12,6,0,2,22
Pittsfield,,,6,27,2,2,6,43
Pittsford,,,21,160,4,6,35,226
Plainfield,,,23,18,5,0,19,65
Plymouth,,,14,17,7,0,7,45
Pomfret,,,10,16,11,1,6,44
Poultney,,,27,84,8,2,18,139
Pownal,,,14,42,17,0,17,90
Proctor,,,20,105,5,1,19,150
Putney,,,7,14,16,0,7,44
Randolph,,,106,101,52,2,61,322
Reading,,,3,10,13,1,2,29
Readsboro,,,6,13,7,0,4,30
Richford,,,47,9,2,4,6,68
Richmond,,,86,42,22,0,25,175
Ripton,,,2,7,0,0,4,13
Rochester,,,16,38,9,0,10,73
Rockingham,,,23,42,90,3,43,201
Roxbury,,,14,7,0,0,10,31
Royalton,,,17,32,25,3,23,100
Rupert,-,"Bennington 5",5,1,0,0,1,7
Rupert,-,"Rutland 8",7,8,0,0,0,15
"Rutland City",-,"Rutland 5-1",52,220,8,5,62,347
"Rutland City",-,"Rutland 5-2",32,167,12,4,28,243
"Rutland City",-,"Rutland 5-3",20,87,5,1,18,131
"Rutland City",-,"Rutland 5-4",27,150,6,3,22,208
"Rutland Town",,,63,269,11,5,46,394
Ryegate,,,24,24,5,2,8,63
Salisbury,,,10,19,5,1,9,44
Sandgate,,,11,12,2,0,0,25
Searsburg,,,2,4,3,0,1,10
Shaftsbury,,,20,66,15,7,25,133
Sharon,,,8,8,16,1,12,45
Sheffield,,,9,9,3,3,0,24
Shelburne,-,"Chittenden 5-1",89,90,22,2,70,273
Shelburne,-,"Chittenden 5-2",69,59,13,2,45,188
Sheldon,,,69,14,3,13,9,108
Shoreham,,,28,31,9,5,13,86
Shrewsbury,,,9,51,6,2,7,75
"S. Burlington",-,"Chittenden 3-10",73,52,11,2,37,175
