City/Town,Ward,Pct,"Jim Condos","Charles Merriman",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Addison,,,80,34,2,34,150
Albany,,,37,36,0,23,96
Alburgh,,,77,47,2,43,169
Andover,,,26,13,0,21,60
Arlington,,,81,75,1,49,206
Athens,,,8,11,0,8,27
Bakersfield,,,80,34,2,41,157
Baltimore,,,5,5,0,3,13
Barnard,,,53,47,0,56,156
Barnet,,,88,53,2,42,185
"Barre City",-,"Washington 3-1",188,109,7,65,369
"Barre City",-,"Washington 3-2",167,83,4,58,312
"Barre City",-,"Washington 3-3",22,32,1,6,61
"Barre Town",,,357,213,18,149,737
Barton,,,57,47,11,37,152
Belvidere,,,14,5,0,7,26
Bennington,-,"Bennington 2-1",375,218,5,341,939
Bennington,-,"Bennington 2-2",262,171,4,148,585
Benson,,,30,33,0,22,85
Berkshire,,,54,17,5,23,99
Berlin,,,114,135,3,69,321
Bethel,,,118,72,2,72,264
Bloomfield,,,13,2,0,3,18
Bolton,,,94,30,0,25,149
Bradford,,,124,81,2,118,325
Braintree,,,69,25,0,26,120
Brandon,,,148,125,11,95,379
Brattleboro,-,"Windham 3-1",298,166,8,287,759
Brattleboro,-,"Windham 3-2",240,163,13,194,610
Brattleboro,-,"Windham 3-3",247,125,9,252,633
Bridgewater,,,47,27,7,31,112
Bridport,,,52,47,6,45,150
Brighton,,,54,37,1,37,129
Bristol,,,220,75,16,115,426
Brookfield,,,86,50,2,51,189
Brookline,,,28,17,0,24,69
Brownington,,,30,16,1,13,60
Brunswick,,,9,3,1,10,23
Burke,,,46,37,1,36,120
Burlington,-,"Chittenden 3-1",858,141,2,160,"1,161"
Burlington,-,"Chittenden 3-2",486,93,2,116,697
Burlington,-,"Chittenden 3-3",554,136,3,240,933
Burlington,-,"Chittenden 3-4",432,85,5,192,714
Burlington,-,"Chittenden 3-5","1,163",206,2,377,"1,748"
Burlington,-,"Chittenden 3-6",120,28,5,42,195
Cabot,,,71,47,1,38,157
Calais,,,138,140,0,109,387
Cambridge,,,167,63,28,104,362
Canaan,,,27,27,6,15,75
Castleton,,,71,81,3,76,231
Cavendish,,,41,54,0,28,123
Charleston,,,31,25,4,21,81
Charlotte,,,502,125,16,185,828
Chelsea,,,62,42,3,43,150
Chester,,,138,131,0,108,377
Chittenden,,,63,45,2,42,152
Clarendon,,,70,58,1,46,175
Colchester,-,"Chittenden 7-1",461,115,0,117,693
Colchester,-,"Chittenden 7-2",535,137,0,141,813
Concord,,,37,14,11,21,83
Corinth,,,69,44,6,59,178
Cornwall,,,117,59,2,91,269
Coventry,,,34,19,2,28,83
Craftsbury,,,75,44,10,66,195
Danby,,,40,36,0,34,110
Danville,,,100,67,2,67,236
Derby,,,185,102,7,97,391
Dorset,,,75,77,1,86,239
Dover,,,47,48,0,42,137
Dummerston,,,152,129,3,167,451
Duxbury,,,84,63,5,75,227
"E. Haven",,,11,8,0,7,26
"E. Montpelier",,,226,183,3,130,542
Eden,,,35,13,3,20,71
Elmore,,,67,30,2,37,136
Enosburgh,,,108,42,10,69,229
Essex,-,"Chittenden 6-1",505,120,2,148,775
Essex,-,"Chittenden 6-2",596,155,5,145,901
Essex,-,"Chittenden 6-3",192,35,0,62,289
"Fair Haven",,,79,58,3,33,173
Fairfax,,,205,91,6,81,383
Fairfield,,,117,55,12,70,254
Fairlee,,,42,34,3,30,109
Fayston,,,58,50,1,61,170
Ferrisburgh,,,196,52,1,82,331
Fletcher,,,62,34,0,38,134
Franklin,,,60,31,11,22,124
Georgia,,,157,56,6,72,291
Glover,,,47,45,7,43,142
Goshen,,,21,11,0,15,47
Grafton,,,38,28,0,37,103
Granby,,,4,4,0,1,9
"Grand Isle",,,184,62,23,59,328
Granville,,,18,13,5,17,53
Greensboro,,,57,25,2,40,124
Groton,,,41,20,3,27,91
Guildhall,,,16,9,3,7,35
Guilford,,,135,100,2,145,382
Halifax,,,35,20,0,36,91
Hancock,,,13,8,1,11,33
Hardwick,,,125,75,4,65,269
Hartford,-,"Windsor 6-1",83,51,3,94,231
Hartford,-,"Windsor 6-2",333,168,3,195,699
Hartland,,,275,175,4,294,748
Highgate,,,127,63,3,42,235
Hinesburg,-,"Chittenden 1-1",402,92,1,127,622
Hinesburg,-,"Chittenden 1-2",22,3,0,4,29
Holland,,,21,19,1,14,55
Hubbardton,,,16,18,0,14,48
Huntington,,,222,73,1,70,366
"Hyde Park",,,145,76,3,102,326
Ira,-,"Rutland 1-1",1,0,0,0,1
Ira,-,"Rutland 1-2",14,14,1,11,40
Irasburg,,,40,22,3,24,89
"Isle La Motte",,,57,20,1,22,100
Jamaica,,,42,38,4,32,116
Jay,,,14,19,0,15,48
Jericho,,,515,131,7,159,812
Johnson,,,115,55,0,74,244
Killington,,,45,21,3,23,92
Kirby,,,16,7,0,16,39
Landgrove,,,16,11,0,12,39
Leicester,,,46,27,1,20,94
Lemington,,,0,1,0,3,4
Lincoln,,,139,56,3,90,288
Londonderry,,,48,46,3,49,146
Lowell,,,27,21,5,25,78
Ludlow,,,89,77,1,74,241
Lunenburg,,,53,38,6,36,133
Lyndon,,,154,87,4,61,306
Maidstone,,,9,4,3,5,21
Manchester,,,131,113,1,116,361
