City/Town,Ward,Pct,"Jason Gibbs","Chris Roy",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Addison,,,64,37,0,12,113
Albany,,,43,43,0,16,102
Alburgh,,,41,36,1,11,89
Andover,,,18,13,0,1,32
Arlington,,,46,41,0,6,93
Athens,,,8,2,0,2,12
Bakersfield,,,26,21,1,5,53
Baltimore,,,8,8,0,1,17
Barnard,,,24,19,0,4,47
Barnet,,,73,45,1,13,132
"Barre City",-,"Washington 3-1",121,98,2,23,244
"Barre City",-,"Washington 3-2",101,71,1,19,192
"Barre City",-,"Washington 3-3",12,10,0,2,24
"Barre Town",,,363,364,0,62,789
Barton,,,77,83,2,19,181
Belvidere,,,9,7,0,6,22
Bennington,-,"Bennington 2-1",63,58,0,28,149
Bennington,-,"Bennington 2-2",88,71,1,32,192
Benson,,,28,19,0,7,54
Berkshire,,,32,18,6,11,67
Berlin,,,93,48,1,28,170
Bethel,,,49,29,0,14,92
Bloomfield,,,10,5,0,2,17
Bolton,,,39,16,0,9,64
Bradford,,,89,52,0,32,173
Braintree,,,59,27,0,14,100
Brandon,,,146,46,2,22,216
Brattleboro,-,"Windham 3-1",56,51,2,22,131
Brattleboro,-,"Windham 3-2",27,28,0,14,69
Brattleboro,-,"Windham 3-3",26,21,0,13,60
Bridgewater,,,17,22,1,5,45
Bridport,,,65,45,1,0,111
Brighton,,,48,44,0,16,108
Bristol,,,104,97,7,21,229
Brookfield,,,45,22,1,9,77
Brookline,,,11,11,0,4,26
Brownington,,,24,9,0,7,40
Brunswick,,,6,4,1,2,13
Burke,,,43,34,0,3,80
Burlington,-,"Chittenden 3-1",91,161,0,50,302
Burlington,-,"Chittenden 3-2",45,85,0,20,150
Burlington,-,"Chittenden 3-3",37,44,0,7,88
Burlington,-,"Chittenden 3-4",25,23,1,7,56
Burlington,-,"Chittenden 3-5",65,111,0,16,192
Burlington,-,"Chittenden 3-6",7,8,0,4,19
Cabot,,,35,17,1,4,57
Calais,,,83,20,0,15,118
Cambridge,,,78,65,5,15,163
Canaan,,,10,10,2,51,73
Castleton,,,122,51,0,21,194
Cavendish,,,41,31,0,5,77
Charleston,,,24,22,0,6,52
Charlotte,,,47,107,1,34,189
Chelsea,,,45,24,0,22,91
Chester,,,56,55,0,22,133
Chittenden,,,90,44,0,25,159
Clarendon,,,101,48,3,13,165
Colchester,-,"Chittenden 7-1",94,145,0,41,280
Colchester,-,"Chittenden 7-2",116,200,2,53,371
Concord,,,33,28,2,10,73
Corinth,,,39,25,0,13,77
Cornwall,,,34,21,0,10,65
