City/Town,Ward,Pct,"Claire Ayer",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,129,35,136,300
Brandon,,,322,71,365,758
Bridport,,,116,81,102,299
Bristol,,,352,168,332,852
Cornwall,,,231,135,172,538
Ferrisburgh,,,278,58,324,660
Goshen,,,39,8,46,93
Granville,,,40,4,62,106
Hancock,,,25,1,40,66
Leicester,,,83,25,80,188
Lincoln,,,255,56,265,576
Middlebury,,,"1,018",564,772,"2,354"
Monkton,,,268,43,310,621
"New Haven",,,231,76,235,542
Orwell,,,84,53,78,215
Panton,,,55,12,61,128
Ripton,,,128,109,63,300
Salisbury,,,99,52,81,232
Shoreham,,,129,56,165,350
Starksboro,,,222,57,243,522
Vergennes,,,237,44,265,546
Waltham,,,65,20,73,158
Weybridge,,,192,95,126,413
Whiting,,,29,12,0,41
TOTALS,,,"4,627","1,835","4,396","10,858"
