City/Town,Ward,Pct,"Virginia Lyons","Tim Ashe","Hinda Miller","Sally Fox","Philip Baruth","Andy Montroll","Frank Geier",Write-Ins,Blanks,"Total Votes Cast"
,,,,,,,,,
Bolton,,,110,92,95,87,82,73,63,0,286,888
Burlington,-,"Chittenden 3-1",789,832,702,650,789,820,358,7,"2,019","6,966"
Burlington,-,"Chittenden 3-2",483,516,384,378,454,470,215,10,"1,272","4,182"
Burlington,-,"Chittenden 3-3",575,672,504,451,558,552,277,18,"1,990","5,597"
Burlington,-,"Chittenden 3-4",421,471,367,365,465,453,191,14,"1,537","4,284"
Burlington,-,"Chittenden 3-5","1,219","1,179","1,093",955,"1,104","1,207",466,15,"3,250","10,488"
Burlington,-,"Chittenden 3-6",137,136,114,101,110,123,61,19,364,"1,165"
Charlotte,,,566,443,513,440,468,326,228,47,"1,931","4,962"
Essex,-,"Chittenden 6-1",520,467,421,533,432,372,270,6,"1,627","4,648"
Essex,-,"Chittenden 6-2",642,565,535,603,508,435,306,5,"1,807","5,406"
Essex,-,"Chittenden 6-3",204,161,168,199,162,120,78,0,637,"1,729"
Hinesburg,-,"Chittenden 1-1",482,396,391,402,372,309,183,6,"1,191","3,732"
Hinesburg,-,"Chittenden 1-2",24,20,24,19,21,9,11,0,46,174
Huntington,,,281,224,229,208,225,176,97,2,754,"2,196"
Jericho,,,612,489,500,536,480,408,249,20,"1,578","4,872"
Milton,-,"Chittenden 9",412,356,352,332,281,287,224,4,"1,364","3,612"
Milton,-,"Grand Isle-Chittenden 1-1",74,58,62,61,51,63,46,0,257,672
Richmond,,,593,470,485,447,480,384,204,6,"1,539","4,608"
Shelburne,-,"Chittenden 5-1",591,494,528,539,525,416,250,26,"1,761","5,130"
Shelburne,-,"Chittenden 5-2",398,306,366,310,338,270,164,7,"1,171","3,330"
"S. Burlington",-,"Chittenden 3-10",381,337,343,369,308,288,260,4,"1,052","3,342"
"S. Burlington",-,"Chittenden 3-7",468,433,441,471,401,365,328,13,"1,292","4,212"
"S. Burlington",-,"Chittenden 3-8",561,485,514,541,408,391,383,55,"1,756","5,094"
"S. Burlington",-,"Chittenden 3-9",348,309,283,347,237,248,261,19,"1,050","3,102"
"St. George",,,58,37,43,45,41,32,27,0,161,444
Underhill,,,347,283,298,296,297,239,149,7,939,"2,855"
Westford,,,255,232,198,217,216,183,116,4,"1,165","2,586"
Williston,,,"1,064",789,773,744,656,630,418,6,"2,766","7,846"
Winooski,,,430,389,382,387,324,334,222,8,"1,328","3,804"
TOTALS,,,"13,045","11,641","11,108","11,033","10,793","9,983","6,105",328,"37,890","111,926"
