City/Town,Ward,Pct,"Bill Carris","Cheryl Mazzariello Hooker","Bob Baird",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Benson,,,57,53,50,0,95,255
Castleton,,,176,142,117,4,254,693
Chittenden,,,103,90,119,4,140,456
Clarendon,,,134,119,95,5,172,525
Danby,,,65,64,44,1,159,333
"Fair Haven",,,116,113,93,14,183,519
Hubbardton,,,36,24,23,2,59,144
Ira,-,"Rutland 1-1",1,1,1,0,0,3
Ira,-,"Rutland 1-2",31,30,23,0,36,120
Killington,,,55,54,38,3,126,276
Mendon,,,98,77,71,4,131,381
"Middletown Springs",,,87,68,46,1,137,339
"Mount Holly",,,104,109,92,2,179,486
"Mount Tabor",,,13,8,6,0,18,45
Pawlet,,,73,67,57,1,183,381
Pittsfield,,,51,51,43,11,111,267
Pittsford,,,158,150,173,14,213,708
Poultney,,,162,136,108,5,288,699
Proctor,,,195,161,131,16,0,503
"Rutland City",-,"Rutland 5-1",335,320,238,30,487,"1,410"
"Rutland City",-,"Rutland 5-2",268,277,194,20,430,"1,189"
"Rutland City",-,"Rutland 5-3",167,168,106,8,308,757
"Rutland City",-,"Rutland 5-4",263,239,175,36,319,"1,032"
"Rutland Town",,,359,299,250,40,519,"1,467"
Shrewsbury,,,114,108,87,10,167,486
Sudbury,,,48,49,45,2,81,225
Tinmouth,,,66,60,51,0,96,273
Wallingford,,,172,151,130,2,232,687
Wells,,,39,37,27,0,80,183
"W. Haven",,,13,12,12,4,25,66
"W. Rutland",,,134,105,97,5,130,471
TOTALS,,,"3,693","3,342","2,742",244,"5,358","15,379"
