City/Town,Ward,Pct,"Peter W. Galbraith","Jeanette White","Toby Young",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Athens,,,17,12,9,0,16,54
Brattleboro,-,"Windham 3-1",468,438,276,6,330,"1,518"
Brattleboro,-,"Windham 3-2",353,378,237,3,249,"1,220"
Brattleboro,-,"Windham 3-3",369,384,260,3,250,"1,266"
Brookline,,,51,29,22,1,35,138
Dover,,,90,38,40,2,104,274
Dummerston,,,266,303,200,1,132,902
Grafton,,,69,37,52,0,50,208
Guilford,,,221,224,159,0,160,764
Halifax,,,52,45,24,0,61,182
Jamaica,,,72,46,31,3,79,231
Londonderry,,,90,55,38,2,107,292
Marlboro,,,172,174,86,0,98,530
Newfane,,,288,187,114,1,204,794
Putney,,,259,458,310,1,118,"1,146"
Rockingham,,,421,414,483,2,362,"1,682"
Stratton,,,8,2,1,0,13,24
Townshend,,,130,73,51,3,87,344
Vernon,,,105,91,50,5,155,406
Wardsboro,,,60,28,19,2,45,154
Westminster,-,"Windham 4",21,18,17,0,8,64
Westminster,-,"Windham 5",244,381,435,4,187,"1,251"
Whitingham,,,63,52,29,0,76,220
Windham,,,51,38,18,0,39,146
TOTALS,,,"3,940","3,905","2,961",39,"2,965","13,810"
