City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
,,
Bolton,,,-,0,12,12
Burlington,-,"Chittenden 3-1",-,1,35,36
Burlington,-,"Chittenden 3-2",-,6,12,18
Burlington,-,"Chittenden 3-3",-,6,42,48
Burlington,-,"Chittenden 3-4",-,9,63,72
Burlington,-,"Chittenden 3-5",-,7,29,36
Burlington,-,"Chittenden 3-6",-,2,10,12
Charlotte,,,-,5,7,12
Essex,-,"Chittenden 6-1",-,0,18,18
Essex,-,"Chittenden 6-2",-,0,18,18
Essex,-,"Chittenden 6-3",-,0,6,6
Hinesburg,-,"Chittenden 1-1",-,1,11,12
Hinesburg,-,"Chittenden 1-2",-,0,6,6
Huntington,,,-,4,44,48
Jericho,,,-,0,24,24
Milton,-,"Chittenden 9",-,0,24,24
Milton,-,"Grand Isle-Chittenden 1-1",-,1,11,12
Richmond,,,-,0,6,6
Shelburne,-,"Chittenden 5-1",-,0,6,6
Shelburne,-,"Chittenden 5-2",-,0,1,1
"S. Burlington",-,"Chittenden 3-10",-,2,16,18
"S. Burlington",-,"Chittenden 3-7",-,0,0,0
"S. Burlington",-,"Chittenden 3-8",-,1,11,12
"S. Burlington",-,"Chittenden 3-9",-,1,23,24
Underhill,,,-,1,23,24
Westford,,,-,6,12,18
Winooski,,,-,1,23,24
TOTALS,,,-,54,493,547
