City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
,,
Albany,,,-,0,2,2
Barton,,,-,0,4,4
Brighton,,,-,2,6,8
Brownington,,,-,1,1,2
Canaan,,,-,1,3,4
Concord,,,-,0,2,2
Craftsbury,,,-,1,4,5
Derby,,,-,1,3,4
"E. Haven",,,-,0,3,3
Eden,,,-,0,2,2
Greensboro,,,-,2,4,6
Guildhall,,,-,0,2,2
Irasburg,,,-,1,1,2
Jay,,,-,2,0,2
Lowell,,,-,0,1,1
Lunenburg,,,-,0,2,2
Maidstone,,,-,2,6,8
Montgomery,,,-,0,8,8
"Newport City",,,-,0,6,6
"Newport Town",,,-,0,6,6
Richford,,,-,2,2,4
Troy,,,-,0,2,2
Westfield,,,-,0,2,2
Wolcott,,,-,0,6,6
TOTALS,,,-,15,78,93
