City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
,,
Andover,,,-,0,3,3
Baltimore,,,-,0,3,3
Barnard,,,-,0,6,6
Bethel,,,-,0,6,6
Bridgewater,,,-,1,5,6
Chester,,,-,0,3,3
Hartford,-,"Windsor 6-1",-,0,3,3
Hartford,-,"Windsor 6-2",-,1,8,9
Hartland,,,-,0,30,30
Norwich,,,-,4,2,6
Plymouth,,,-,0,1,1
Pomfret,,,-,0,9,9
Reading,,,-,0,3,3
Rochester,,,-,4,38,42
Sharon,,,-,0,6,6
Springfield,-,"Windsor 1-1",-,0,0,0
Springfield,-,"Windsor 1-2",-,0,1,1
Stockbridge,,,-,3,3,6
"W. Windsor",,,-,0,3,3
Weston,,,-,0,15,15
Windsor,,,-,9,9,18
Woodstock,,,-,1,5,6
TOTALS,,,-,23,162,185
