City/Town,Ward,Pct,"Gerald Woodard","Patricia M. Blair",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Arlington,,,78,35,1,72,186
Bennington,-,"Bennington 2-1",101,77,2,118,298
Bennington,-,"Bennington 2-2",121,109,3,151,384
Dorset,,,91,60,0,57,208
Landgrove,,,7,6,0,7,20
Manchester,,,161,101,4,130,396
Peru,,,17,9,0,18,44
Pownal,,,51,62,0,67,180
Readsboro,,,15,17,0,28,60
Rupert,-,"Bennington 5",6,3,0,5,14
Rupert,-,"Rutland 8",15,11,0,10,36
Sandgate,,,22,10,1,17,50
Searsburg,,,8,5,0,7,20
Shaftsbury,,,93,53,11,109,266
Stamford,,,14,18,0,30,62
Sunderland,,,29,10,0,33,72
Wilmington,,,43,40,1,44,128
Winhall,,,35,16,1,44,96
Woodford,,,7,6,1,10,24
TOTALS,,,914,648,25,957,"2,544"
