City/Town,Ward,Pct,"Diane B. Snelling","Charlie Smith","Mike Branon","Dennis B. Bedard","Shelley Palmer","Annette Roque Renaud",Write-Ins,Blanks,"Total Votes Cast"
,,,,,,,,
Bolton,,,44,37,35,36,34,35,1,162,384
Burlington,-,"Chittenden 3-1",213,224,198,203,192,186,1,630,"1,847"
Burlington,-,"Chittenden 3-2",100,108,94,86,96,90,6,320,900
Burlington,-,"Chittenden 3-3",63,68,59,56,57,58,2,165,528
Burlington,-,"Chittenden 3-4",35,39,39,29,35,35,0,19,231
Burlington,-,"Chittenden 3-5",145,156,118,112,110,109,4,398,"1,152"
Burlington,-,"Chittenden 3-6",12,11,11,10,8,10,1,51,114
Charlotte,,,126,113,113,106,106,103,10,457,"1,134"
Essex,-,"Chittenden 6-1",271,255,255,240,241,268,7,761,"2,298"
Essex,-,"Chittenden 6-2",299,285,276,271,280,303,3,875,"2,592"
Essex,-,"Chittenden 6-3",85,79,76,68,78,84,0,252,722
Hinesburg,-,"Chittenden 1-1",116,104,99,93,101,94,1,339,947
Hinesburg,-,"Chittenden 1-2",5,3,6,5,4,4,0,9,36
Huntington,,,52,37,37,38,32,35,0,195,426
Jericho,,,197,189,194,179,194,186,10,555,"1,704"
Milton,-,"Chittenden 9",331,320,331,318,316,310,16,914,"2,856"
Milton,-,"Grand Isle-Chittenden 1-1",54,56,60,61,59,56,0,128,474
Richmond,,,130,131,133,130,126,127,2,271,"1,050"
Shelburne,-,"Chittenden 5-1",209,198,180,171,173,70,1,536,"1,538"
Shelburne,-,"Chittenden 5-2",145,131,126,126,122,115,1,362,"1,128"
"S. Burlington",-,"Chittenden 3-10",127,114,119,114,105,105,0,366,"1,050"
"S. Burlington",-,"Chittenden 3-7",121,110,102,100,88,87,6,340,954
"S. Burlington",-,"Chittenden 3-8",190,177,186,182,163,164,6,396,"1,464"
"S. Burlington",-,"Chittenden 3-9",156,147,153,148,136,140,1,403,"1,284"
"St. George",,,11,11,10,8,13,9,0,70,132
Underhill,,,98,106,110,103,103,99,0,247,866
Westford,,,124,105,110,110,97,103,1,526,"1,176"
Williston,,,351,314,319,320,325,306,5,821,"2,761"
Winooski,,,86,90,89,86,74,87,0,460,972
TOTALS,,,"3,896","3,718","3,638","3,509","3,468","3,378",85,"11,028","32,720"
