City/Town,Ward,Pct,"Randy Brock","Judith McLaughlin",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Alburgh,,,79,34,3,64,180
Bakersfield,,,37,23,2,44,106
Berkshire,,,52,44,5,33,134
Enosburgh,,,89,55,12,74,230
Fairfax,,,138,89,0,101,328
Fairfield,,,96,55,14,81,246
Fletcher,,,43,27,0,42,112
Franklin,,,67,64,6,59,196
Georgia,,,172,119,0,101,392
Highgate,,,116,73,2,97,288
Sheldon,,,79,70,14,53,216
"St. Albans City",,,265,170,34,142,611
"St. Albans Town",,,442,284,29,285,"1,040"
Swanton,,,349,206,12,201,768
TOTALS,,,"2,024","1,313",133,"1,377","4,847"
