City/Town,Ward,Pct,"Hilary Cooke",Write-Ins,Blanks,"Total Votes Cast"
,,,
Athens,,,10,2,12,24
Brattleboro,-,"Windham 3-1",106,27,129,262
Brattleboro,-,"Windham 3-2",56,12,70,138
Brattleboro,-,"Windham 3-3",47,18,55,120
Brookline,,,21,6,25,52
Dover,,,48,3,57,108
Dummerston,,,58,16,60,134
Grafton,,,34,1,43,78
Guilford,,,38,5,50,93
Halifax,,,20,2,32,54
Jamaica,,,43,8,67,118
Londonderry,,,85,7,122,214
Marlboro,,,19,1,24,44
Newfane,,,35,16,31,82
Putney,,,34,3,53,90
Rockingham,,,144,13,245,402
Stratton,,,15,2,17,34
Townshend,,,35,10,49,94
Vernon,,,141,58,169,368
Wardsboro,,,20,0,34,54
Westminster,-,"Windham 4",5,2,3,10
Westminster,-,"Windham 5",55,7,66,128
Whitingham,,,27,3,48,78
Windham,,,9,0,15,24
TOTALS,,,"1,105",222,"1,476","2,803"
