City/Town,Ward,Pct,"Jeb Spaulding",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,128,2,20,150
Albany,,,87,0,9,96
Alburgh,,,147,1,21,169
Andover,,,45,0,15,60
Arlington,,,176,0,28,204
Athens,,,21,0,6,27
Bakersfield,,,132,1,24,157
Baltimore,,,13,0,0,13
Barnard,,,127,2,27,156
Barnet,,,163,0,22,185
"Barre City",-,"Washington 3-1",324,0,45,369
"Barre City",-,"Washington 3-2",274,4,34,312
"Barre City",-,"Washington 3-3",54,0,7,61
"Barre Town",,,656,4,77,737
Barton,,,130,5,17,152
Belvidere,,,23,1,2,26
Bennington,-,"Bennington 2-1",681,3,255,939
Bennington,-,"Bennington 2-2",468,3,114,585
Benson,,,67,0,18,85
Berkshire,,,86,2,11,99
Berlin,,,285,1,35,321
Bethel,,,228,2,34,264
Bloomfield,,,15,0,3,18
Bolton,,,134,0,15,149
Bradford,,,264,2,59,325
Braintree,,,99,1,20,120
Brandon,,,322,3,54,379
Brattleboro,-,"Windham 3-1",579,4,176,759
Brattleboro,-,"Windham 3-2",491,2,117,610
Brattleboro,-,"Windham 3-3",471,2,160,633
Bridgewater,,,92,3,17,112
Bridport,,,124,1,25,150
Brighton,,,104,1,24,129
Bristol,,,360,7,59,426
Brookfield,,,170,0,20,190
Brookline,,,52,0,17,69
Brownington,,,53,0,7,60
Brunswick,,,20,0,3,23
Burke,,,103,0,17,120
Burlington,-,"Chittenden 3-1","1,004",5,152,"1,161"
Burlington,-,"Chittenden 3-2",585,2,110,697
Burlington,-,"Chittenden 3-3",717,9,207,933
Burlington,-,"Chittenden 3-4",561,5,148,714
Burlington,-,"Chittenden 3-5","1,437",1,310,"1,748"
Burlington,-,"Chittenden 3-6",160,5,30,195
Cabot,,,134,0,23,157
Calais,,,333,0,55,388
Cambridge,,,310,3,49,362
Canaan,,,59,1,15,75
Castleton,,,183,1,47,231
Cavendish,,,97,2,24,123
Charleston,,,63,2,15,80
Charlotte,,,647,6,175,828
Chelsea,,,129,0,21,150
Chester,,,314,0,64,378
Chittenden,,,132,0,20,152
Clarendon,,,137,3,34,174
Colchester,-,"Chittenden 7-1",554,8,131,693
Colchester,-,"Chittenden 7-2",668,1,144,813
Concord,,,73,1,9,83
Corinth,,,147,1,30,178
Cornwall,,,236,2,31,269
Coventry,,,71,1,11,83
Craftsbury,,,154,2,0,156
Danby,,,88,0,23,111
Danville,,,201,1,34,236
Derby,,,352,2,38,392
Dorset,,,191,1,47,239
Dover,,,97,0,40,137
Dummerston,,,362,0,0,362
Duxbury,,,184,6,37,227
"E. Haven",,,23,0,3,26
"E. Montpelier",,,482,0,60,542
Eden,,,54,3,14,71
Elmore,,,121,0,15,136
Enosburgh,,,191,4,34,229
Essex,-,"Chittenden 6-1",654,2,119,775
Essex,-,"Chittenden 6-2",774,7,120,901
Essex,-,"Chittenden 6-3",250,0,39,289
"Fair Haven",,,150,2,19,171
Fairfax,,,330,2,50,382
Fairfield,,,216,5,33,254
Fairlee,,,96,0,13,109
Fayston,,,144,2,24,170
Ferrisburgh,,,291,0,41,332
Fletcher,,,108,0,26,134
Franklin,,,112,2,11,125
Georgia,,,241,1,49,291
Glover,,,118,4,20,142
Goshen,,,41,0,6,47
Grafton,,,85,0,19,104
Granby,,,9,0,0,9
"Grand Isle",,,289,0,33,322
Granville,,,46,2,5,53
Greensboro,,,108,1,15,124
Groton,,,81,1,9,91
Guildhall,,,29,0,6,35
Guilford,,,304,0,77,381
Halifax,,,58,0,33,91
Hancock,,,28,0,5,33
Hardwick,,,236,1,32,269
Hartford,-,"Windsor 6-1",184,0,47,231
Hartford,-,"Windsor 6-2",581,2,116,699
Hartland,,,592,1,157,750
Highgate,,,217,0,18,235
Hinesburg,-,"Chittenden 1-1",531,2,87,620
Hinesburg,-,"Chittenden 1-2",27,0,2,29
Holland,,,49,0,6,55
Hubbardton,,,40,0,9,49
Huntington,,,317,2,45,364
"Hyde Park",,,267,2,58,327
Ira,-,"Rutland 1-1",1,0,0,1
Ira,-,"Rutland 1-2",34,0,6,40
Irasburg,,,76,1,12,89
"Isle La Motte",,,83,1,16,100
Jamaica,,,91,1,24,116
Jay,,,41,0,7,48
Jericho,,,704,3,105,812
Johnson,,,207,0,37,244
Killington,,,75,0,17,92
Kirby,,,33,0,6,39
Landgrove,,,32,0,7,39
Leicester,,,86,0,8,94
Lemington,,,0,0,4,4
Lincoln,,,248,1,39,288
Londonderry,,,120,1,25,146
Lowell,,,59,2,17,78
Ludlow,,,191,2,48,241
Lunenburg,,,104,1,28,133
Lyndon,,,261,0,45,306
Maidstone,,,19,0,2,21
Manchester,,,295,1,65,361
Marlboro,,,206,2,57,265
Marshfield,,,252,0,44,296
Mendon,,,102,0,25,127
Middlebury,,,"1,000",4,173,"1,177"
Middlesex,,,389,0,58,447
"Middletown Springs",,,92,2,19,113
Milton,-,"Chittenden 9",514,1,87,602
Milton,-,"Grand Isle-Chittenden 1-1",96,0,16,112
Monkton,,,261,4,45,310
Montgomery,,,113,1,23,137
Montpelier,,,"1,815",8,305,"2,128"
Moretown,,,238,1,44,283
Morgan,,,57,0,9,66
Morristown,,,453,2,75,530
"Mount Holly",,,132,1,29,162
"Mount Tabor",,,13,0,2,15
"New Haven",,,237,0,35,272
Newark,,,43,0,9,52
Newbury,,,172,1,31,204
Newfane,,,288,1,109,398
"Newport City",,,247,2,35,284
"Newport Town",,,81,3,13,97
"N. Hero",,,113,1,17,131
Northfield,,,392,5,42,439
Norton,,,7,2,2,11
Norwich,,,721,2,175,898
Orange,,,60,0,5,65
Orwell,,,94,2,11,107
Panton,,,59,0,5,64
Pawlet,,,109,1,17,127
Peacham,,,142,0,32,174
Peru,,,40,0,11,51
Pittsfield,,,72,2,15,89
