City/Town,Ward,Pct,"William H. Sorrell","Jack McMullen","Ed Stanak","Rosemarie Jackowski",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,Progressive,"Liberty Union"
Addison,,,356,331,0,15,0,0,702
Albany,,,210,175,41,10,0,0,436
Alburgh,,,497,336,24,22,0,0,879
Andover,,,1,0,0,0,0,0,1
Arlington,,,626,424,27,105,0,0,"1,182"
Athens,,,65,54,6,13,0,0,138
Bakersfield,,,309,215,26,16,0,0,566
Baltimore,,,53,53,4,5,0,0,115
Barnard,,,297,174,26,12,0,0,509
Barnet,,,484,369,32,30,0,0,915
"Barre City",,,"1,380","1,009",543,57,0,0,"2,989"
"Barre Town",,,"1,709","1,656",425,43,0,0,"3,833"
Barton,,,564,420,28,29,0,0,"1,041"
Belvidere,,,68,58,3,3,0,0,132
Bennington,-,"Bennington 2-1","1,862",728,109,464,0,0,"3,163"
Bennington,-,"Bennington 2-2","1,571",697,90,435,0,0,"2,793"
Benson,,,241,179,12,19,0,0,451
Berkshire,,,307,220,15,12,0,0,554
Berlin,,,644,412,132,22,0,0,"1,210"
Bethel,,,545,329,45,17,0,0,936
Bloomfield,,,48,37,3,4,0,0,92
Bolton,,,342,180,46,12,0,0,580
Bradford,,,587,451,62,37,0,0,"1,137"
Braintree,,,296,212,23,6,0,0,537
Brandon,,,996,642,60,36,0,0,"1,734"
Brattleboro,-,"Windham 2-1","1,330",419,78,75,0,0,"1,902"
Brattleboro,-,"Windham 2-2","1,224",273,100,77,0,0,"1,674"
Brattleboro,-,"Windham 2-3","1,255",233,129,90,0,0,"1,707"
Bridgewater,,,262,166,16,13,0,0,457
Bridport,,,309,284,18,11,0,0,622
Brighton,,,237,242,20,22,0,0,521
Bristol,,,"1,050",561,76,44,0,0,"1,731"
Brookfield,,,362,225,62,20,0,0,669
Brookline,,,160,67,6,8,0,0,241
Brownington,,,181,149,15,17,0,0,362
Brunswick,,,30,16,3,0,0,0,49
Burke,,,372,305,38,12,0,0,727
Burlington,-,"Chittenden 6-1","2,734","1,009",203,62,0,0,"4,008"
Burlington,-,"Chittenden 6-2","1,364",303,235,34,0,0,"1,936"
Burlington,-,"Chittenden 6-3","2,038",332,496,91,0,0,"2,957"
Burlington,-,"Chittenden 6-4","1,593",256,268,41,0,0,"2,158"
Burlington,-,"Chittenden 6-5","3,050",611,386,56,0,0,"4,103"
Burlington,-,"Chittenden 6-6",655,129,94,15,0,0,893
Burlington,-,"Chittenden 6-7",36,8,16,4,0,0,64
Cabot,,,363,217,111,11,0,0,702
Calais,,,549,211,197,13,0,0,970
Cambridge,,,"1,106",552,104,52,0,0,"1,814"
Canaan,,,192,165,8,19,0,0,384
Castleton,,,778,733,53,59,0,0,"1,623"
Cavendish,,,311,273,25,27,0,0,636
Charleston,,,190,189,26,19,0,0,424
Charlotte,,,"1,434",683,107,41,0,0,"2,265"
Chelsea,,,259,283,46,13,0,0,601
Chester,,,842,456,58,55,0,0,"1,411"
Chittenden,,,348,299,16,20,0,0,683
Clarendon,,,537,591,29,38,0,0,"1,195"
Colchester,-,"Chittenden 9-1","1,858","1,009",85,51,0,0,"3,003"
Colchester,-,"Chittenden 9-2","2,351","1,429",108,55,0,0,"3,943"
Concord,,,240,219,12,17,0,0,488
Corinth,,,310,255,46,17,0,0,628
Cornwall,,,438,206,17,9,0,0,670
Coventry,,,257,181,19,12,0,0,469
Craftsbury,,,288,173,108,16,0,0,585
Danby,,,277,269,20,33,0,0,599
Danville,,,578,471,51,27,0,0,"1,127"
