City/Town,Ward,Pct,"Peter Shumlin","Randy Brock","Emily Peyton","Cris Ericson","Dave Eagle",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,Independent,"U.S. Marijuana","Liberty Union"
Addison,,,322,393,14,7,1,0,0,737
Albany,,,177,241,9,8,7,0,0,442
Alburgh,,,431,440,14,23,3,0,0,911
Andover,,,1,0,0,0,0,0,0,1
Arlington,,,741,423,32,25,6,0,0,"1,227"
Athens,,,76,54,4,6,4,0,0,144
Bakersfield,,,280,290,4,12,1,0,0,587
Baltimore,,,52,55,4,4,0,0,0,115
Barnard,,,332,197,7,4,0,0,0,540
Barnet,,,492,430,19,5,2,0,0,948
"Barre City",,,"1,657","1,287",53,42,17,0,0,"3,056"
"Barre Town",,,"1,697","2,094",51,40,15,0,0,"3,897"
Barton,,,496,522,28,18,4,0,0,"1,068"
Belvidere,,,65,72,1,2,0,0,0,140
Bennington,-,"Bennington 2-1","2,327",733,108,119,36,0,0,"3,323"
Bennington,-,"Bennington 2-2","2,012",690,96,109,17,0,0,"2,924"
Benson,,,224,214,15,11,6,0,0,470
Berkshire,,,254,295,7,7,1,0,0,564
Berlin,,,675,520,20,16,10,0,0,"1,241"
Bethel,,,565,371,14,14,2,0,0,966
Bloomfield,,,58,39,1,3,0,0,0,101
Bolton,,,377,201,9,10,5,0,0,602
Bradford,,,657,463,33,23,5,0,0,"1,181"
Braintree,,,304,239,3,5,1,0,0,552
Brandon,,,949,773,34,31,6,0,0,"1,793"
Brattleboro,-,"Windham 2-1","1,456",440,49,36,30,0,0,"2,011"
Brattleboro,-,"Windham 2-2","1,365",278,53,46,39,0,0,"1,781"
Brattleboro,-,"Windham 2-3","1,418",247,56,35,35,0,0,"1,791"
Bridgewater,,,279,174,11,19,2,0,0,485
Bridport,,,276,341,6,8,3,0,0,634
Brighton,,,212,279,20,13,3,0,0,527
Bristol,,,"1,052",661,39,25,3,0,0,"1,780"
Brookfield,,,391,269,6,10,4,0,0,680
Brookline,,,172,71,10,6,1,0,0,260
Brownington,,,157,204,8,7,1,0,0,377
Brunswick,,,36,16,3,1,0,0,0,56
Burke,,,368,353,19,11,2,0,0,753
Burlington,-,"Chittenden 6-1","2,794","1,213",56,65,4,0,0,"4,132"
Burlington,-,"Chittenden 6-2","1,534",381,36,48,8,0,0,"2,007"
Burlington,-,"Chittenden 6-3","2,553",324,107,160,24,0,0,"3,168"
Burlington,-,"Chittenden 6-4","1,892",255,90,102,14,0,0,"2,353"
Burlington,-,"Chittenden 6-5","3,404",724,83,99,17,0,0,"4,327"
Burlington,-,"Chittenden 6-6",714,136,38,60,4,0,0,952
Burlington,-,"Chittenden 6-7",57,6,0,2,1,0,0,66
Cabot,,,418,260,23,18,2,0,0,721
Calais,,,661,287,10,10,3,0,0,971
Cambridge,,,"1,120",661,37,48,5,0,0,"1,871"
Canaan,,,204,170,17,11,0,0,0,402
Castleton,,,755,862,36,25,13,0,0,"1,691"
Cavendish,,,348,276,11,24,3,0,0,662
Charleston,,,189,212,14,7,2,0,0,424
Charlotte,,,"1,517",780,34,29,5,0,0,"2,365"
Chelsea,,,292,315,6,6,1,0,0,620
Chester,,,929,462,31,30,9,0,0,"1,461"
Chittenden,,,350,337,9,13,3,0,0,712
Clarendon,,,494,668,23,26,5,0,0,"1,216"
Colchester,-,"Chittenden 9-1","1,765","1,269",36,47,7,0,0,"3,124"
Colchester,-,"Chittenden 9-2","2,214","1,759",71,51,8,0,0,"4,103"
Concord,,,197,277,13,9,5,0,0,501
Corinth,,,347,272,14,18,0,0,0,651
Cornwall,,,444,240,3,6,1,0,0,694
Coventry,,,237,225,13,10,2,0,0,487
Craftsbury,,,220,278,41,15,8,0,0,562
Danby,,,312,261,23,11,2,0,0,609
Danville,,,564,570,18,14,0,0,0,"1,166"
Derby,,,936,"1,095",41,24,3,0,0,"2,099"
Dorset,,,670,456,23,22,5,0,0,"1,176"
Dover,,,410,262,34,24,5,0,0,735
