City/Town,Ward,Pct,"Phil Scott","Cassandra Gekas","Ben Mitchell",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Progressive,"Liberty Union"
Addison,,,544,169,11,0,0,724
Albany,,,291,137,12,0,0,440
Alburgh,,,556,303,29,0,0,888
Andover,,,0,1,0,0,0,1
Arlington,,,591,567,35,0,0,"1,193"
Athens,,,63,52,24,0,0,139
Bakersfield,,,363,189,9,0,0,561
Baltimore,,,67,45,3,0,0,115
Barnard,,,277,228,15,0,0,520
Barnet,,,566,339,16,0,0,921
"Barre City",,,"2,307",680,53,0,0,"3,040"
"Barre Town",,,"3,346",511,31,0,0,"3,888"
Barton,,,720,296,28,0,0,"1,044"
Belvidere,,,98,39,0,0,0,137
Bennington,-,"Bennington 2-1","1,160","1,882",110,0,0,"3,152"
Bennington,-,"Bennington 2-2","1,145","1,519",100,0,0,"2,764"
Benson,,,266,176,15,0,0,457
Berkshire,,,362,170,16,0,0,548
Berlin,,,"1,012",218,15,0,0,"1,245"
Bethel,,,579,354,18,0,0,951
Bloomfield,,,54,33,0,0,0,87
Bolton,,,343,237,10,0,0,590
Bradford,,,665,443,41,0,0,"1,149"
Braintree,,,376,161,8,0,0,545
Brandon,,,"1,090",586,41,0,0,"1,717"
Brattleboro,-,"Windham 2-1",631,"1,187",84,0,0,"1,902"
Brattleboro,-,"Windham 2-2",387,"1,169",126,0,0,"1,682"
Brattleboro,-,"Windham 2-3",378,"1,213",98,0,0,"1,689"
Bridgewater,,,241,213,6,0,0,460
Bridport,,,446,155,9,0,0,610
Brighton,,,345,162,13,0,0,520
Bristol,,,"1,012",702,26,0,0,"1,740"
Brookfield,,,463,201,8,0,0,672
Brookline,,,84,137,18,0,0,239
Brownington,,,250,104,9,0,0,363
Brunswick,,,30,19,0,0,0,49
Burke,,,467,244,12,0,0,723
Burlington,-,"Chittenden 6-1","2,124","1,808",62,0,0,"3,994"
Burlington,-,"Chittenden 6-2",756,"1,157",33,0,0,"1,946"
Burlington,-,"Chittenden 6-3",683,"2,232",89,0,0,"3,004"
Burlington,-,"Chittenden 6-4",518,"1,627",41,0,0,"2,186"
Burlington,-,"Chittenden 6-5","1,444","2,602",58,0,0,"4,104"
Burlington,-,"Chittenden 6-6",206,673,22,0,0,901
Burlington,-,"Chittenden 6-7",14,48,2,0,0,64
Cabot,,,451,241,20,0,0,712
Calais,,,554,414,13,0,0,981
Cambridge,,,"1,095",688,36,0,0,"1,819"
Canaan,,,225,141,14,0,0,380
Castleton,,,"1,052",541,41,0,0,"1,634"
Cavendish,,,347,255,34,0,0,636
Charleston,,,266,145,11,0,0,422
Charlotte,,,"1,223","1,016",29,0,0,"2,268"
