City/Town,Ward,Pct,"Barack Obama","Mitt Romney","Gary Johnson","Ross C. Anderson","Peta Lindsay",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Democratic,Republican,Libertarian,Justice,"Socialism and Liberation"
Addison,,,386,336,10,1,3,0,0,0,736
Albany,,,290,149,7,1,2,0,0,0,449
Alburgh,,,591,314,8,2,0,0,0,0,915
Andover,,,1,0,0,0,0,0,0,0,1
Arlington,,,749,468,14,6,4,0,0,0,"1,241"
Athens,,,84,55,2,2,2,0,0,0,145
Bakersfield,,,386,190,6,1,0,0,0,0,583
Baltimore,,,63,46,5,0,1,0,0,0,115
Barnard,,,355,184,5,2,0,0,0,0,546
Barnet,,,582,363,14,4,0,0,0,0,963
"Barre City",,,"1,946","1,048",42,14,8,0,0,0,"3,058"
"Barre Town",,,"2,127","1,734",27,7,8,0,0,0,"3,903"
Barton,,,671,390,8,2,1,0,0,0,"1,072"
Belvidere,,,82,57,3,0,0,0,0,0,142
Bennington,-,"Bennington 2-1","2,446",904,37,8,8,0,0,0,"3,403"
Bennington,-,"Bennington 2-2","2,057",849,41,12,14,0,0,0,"2,973"
Benson,,,301,159,5,3,2,0,0,0,470
Berkshire,,,342,219,5,1,0,0,0,0,567
Berlin,,,795,426,18,7,4,0,0,0,"1,250"
Bethel,,,646,306,12,4,3,0,0,0,971
Bloomfield,,,58,40,0,0,0,0,0,0,98
Bolton,,,433,161,4,5,1,0,0,0,604
Bradford,,,754,416,17,6,1,0,0,0,"1,194"
Braintree,,,358,185,8,1,1,0,0,0,553
Brandon,,,"1,204",568,16,5,5,0,0,0,"1,798"
Brattleboro,-,"Windham 2-1","1,580",432,13,6,5,0,0,0,"2,036"
Brattleboro,-,"Windham 2-2","1,512",242,18,6,8,0,0,0,"1,786"
Brattleboro,-,"Windham 2-3","1,529",241,15,14,9,0,0,0,"1,808"
Bridgewater,,,317,158,7,2,1,0,0,0,485
Bridport,,,340,277,10,4,4,0,0,0,635
Brighton,,,299,223,7,2,0,0,0,0,531
Bristol,,,"1,238",507,32,5,5,0,0,0,"1,787"
Brookfield,,,456,216,7,5,5,0,0,0,689
Brookline,,,179,76,3,0,0,0,0,0,258
Brownington,,,229,150,3,2,1,0,0,0,385
Brunswick,,,38,22,0,0,0,0,0,0,60
Burke,,,455,287,5,5,1,0,0,0,753
Burlington,-,"Chittenden 6-1","3,065","1,045",42,13,15,0,0,0,"4,180"
Burlington,-,"Chittenden 6-2","1,651",329,32,7,12,0,0,0,"2,031"
Burlington,-,"Chittenden 6-3","2,839",264,83,29,31,0,0,0,"3,246"
Burlington,-,"Chittenden 6-4","2,147",242,48,10,11,0,0,0,"2,458"
Burlington,-,"Chittenden 6-5","3,692",596,69,22,14,0,0,0,"4,393"
Burlington,-,"Chittenden 6-6",875,112,18,5,3,0,0,0,"1,013"
Burlington,-,"Chittenden 6-7",57,4,1,1,0,0,0,0,63
Cabot,,,487,221,15,4,2,0,0,0,729
Calais,,,753,208,11,10,8,0,0,0,990
Cambridge,,,"1,332",512,24,7,6,0,0,0,"1,881"
Canaan,,,249,151,6,1,2,0,0,0,409
Castleton,,,987,696,18,4,6,0,0,0,"1,711"
Cavendish,,,392,261,9,5,2,0,0,0,669
Charleston,,,256,169,4,1,1,0,0,0,431
Charlotte,,,"1,677",657,46,6,6,0,0,0,"2,392"
Chelsea,,,331,279,8,0,1,0,0,0,619
Chester,,,971,489,19,4,3,0,0,0,"1,486"
Chittenden,,,412,288,6,4,1,0,0,0,711
Clarendon,,,648,558,12,7,2,0,0,0,"1,227"
Colchester,-,"Chittenden 9-1","2,068","1,027",51,7,4,0,0,0,"3,157"
Colchester,-,"Chittenden 9-2","2,550","1,524",42,18,4,0,0,0,"4,138"
Concord,,,275,222,6,4,2,0,0,0,509
Corinth,,,408,240,6,4,3,0,0,0,661
Cornwall,,,509,181,4,4,0,0,0,0,698
Coventry,,,297,183,3,2,0,0,0,0,485
Craftsbury,,,435,151,10,4,19,0,0,0,619
