City/Town,Ward,Pct,"Bernie Sanders","John Macgovern","Cris Ericson","Pete Diamondstone","Peter Moss","Laurel Laframboise",Write-Ins,Blanks,"Total Votes Cast"
,,,Independent,Republican,"U.S. Marijuana","Liberty Union","Peace and Prosperity",VoteKISS
Addison,,,440,283,6,2,5,3,0,0,739
Albany,,,323,112,4,6,6,1,0,0,452
Alburgh,,,629,236,21,5,17,3,0,0,911
Andover,,,1,0,0,0,0,0,0,0,1
Arlington,,,815,360,35,7,11,3,0,0,"1,231"
Athens,,,80,40,12,2,2,3,0,0,139
Bakersfield,,,418,143,11,2,7,1,0,0,582
Baltimore,,,63,43,4,4,2,0,0,0,116
Barnard,,,346,167,6,2,19,3,0,0,543
Barnet,,,630,294,16,9,5,3,0,0,957
"Barre City",,,"2,140",765,71,35,22,17,0,0,"3,050"
"Barre Town",,,"2,397","1,377",47,36,20,16,0,0,"3,893"
Barton,,,752,294,14,7,2,1,0,0,"1,070"
Belvidere,,,89,47,1,0,3,0,0,0,140
Bennington,-,"Bennington 2-1","2,401",643,139,46,48,13,0,0,"3,290"
Bennington,-,"Bennington 2-2","2,070",623,107,53,42,11,0,0,"2,906"
Benson,,,318,123,14,6,4,5,0,0,470
Berkshire,,,373,166,12,5,8,3,0,0,567
Berlin,,,872,334,16,10,8,2,0,0,"1,242"
Bethel,,,680,243,26,7,5,3,0,0,964
Bloomfield,,,60,31,5,0,0,0,0,0,96
Bolton,,,464,120,11,3,5,2,0,0,605
Bradford,,,839,291,28,10,5,10,0,0,"1,183"
Braintree,,,381,153,7,7,3,1,0,0,552
Brandon,,,"1,275",454,28,8,8,5,0,0,"1,778"
Brattleboro,-,"Windham 2-1","1,593",314,33,55,15,5,0,0,"2,015"
Brattleboro,-,"Windham 2-2","1,459",189,37,69,20,2,0,0,"1,776"
Brattleboro,-,"Windham 2-3","1,504",189,35,49,19,4,0,0,"1,800"
Bridgewater,,,313,148,19,4,0,0,0,0,484
Bridport,,,390,219,12,7,3,2,0,0,633
Brighton,,,344,151,16,4,5,7,0,0,527
Bristol,,,"1,318",416,18,11,13,4,0,0,"1,780"
Brookfield,,,479,184,6,11,1,6,0,0,687
Brookline,,,175,63,13,8,0,0,0,0,259
Brownington,,,257,107,8,4,1,1,0,0,378
Brunswick,,,42,11,2,0,0,0,0,0,55
Burke,,,498,221,16,7,8,3,0,0,753
Burlington,-,"Chittenden 6-1","3,233",787,66,22,23,11,0,0,"4,142"
Burlington,-,"Chittenden 6-2","1,696",261,35,11,9,4,0,0,"2,016"
Burlington,-,"Chittenden 6-3","2,820",193,120,30,27,11,0,0,"3,201"
Burlington,-,"Chittenden 6-4","2,052",172,95,15,35,7,0,0,"2,376"
Burlington,-,"Chittenden 6-5","3,660",516,83,19,23,6,0,0,"4,307"
Burlington,-,"Chittenden 6-6",284,104,57,5,14,1,0,0,465
Burlington,-,"Chittenden 6-7",61,3,3,0,2,0,0,0,69
Cabot,,,502,189,18,10,6,2,0,0,727
Calais,,,778,185,22,7,5,0,0,0,997
Cambridge,,,"1,427",377,34,9,23,6,0,0,"1,876"
Canaan,,,262,105,10,3,8,4,0,0,392
Castleton,,,"1,056",566,35,15,10,5,0,0,"1,687"
Cavendish,,,414,219,21,6,2,3,0,0,665
Charleston,,,273,120,24,5,2,1,0,0,425
Charlotte,,,"1,691",600,26,19,17,3,0,0,"2,356"
Chelsea,,,353,220,13,1,4,27,0,0,618
Chester,,,"1,050",349,60,7,8,3,0,0,"1,477"
Chittenden,,,443,239,20,5,5,5,0,0,717
Clarendon,,,716,446,27,11,12,2,0,0,"1,214"
Colchester,-,"Chittenden 9-1","2,248",771,44,22,25,6,0,0,"3,116"
Colchester,-,"Chittenden 9-2","2,788","1,146",57,31,38,14,0,0,"4,074"
Concord,,,323,159,14,4,5,0,0,0,505
Corinth,,,437,188,19,3,4,3,0,0,654
Cornwall,,,510,170,8,3,0,3,0,0,694
Coventry,,,360,108,9,7,3,2,0,0,489
Craftsbury,,,459,131,5,5,7,2,0,0,609
Danby,,,388,196,18,11,6,2,0,0,621
Danville,,,732,378,19,27,5,0,0,0,"1,161"
Derby,,,"1,436",591,31,23,13,6,0,0,"2,100"
Dorset,,,741,386,27,10,15,1,0,0,"1,180"
Dover,,,444,234,31,12,4,2,0,0,727
Dummerston,,,921,182,19,26,5,3,0,0,"1,156"
Duxbury,,,522,144,13,8,4,1,0,0,692
"E. Haven",,,79,40,8,2,0,1,0,0,130
"E. Montpelier",,,"1,203",319,21,11,8,5,0,0,"1,567"
Eden,,,344,111,12,1,6,0,0,0,474
Elmore,,,359,121,9,3,1,1,0,0,494
Enosburgh,,,927,246,30,9,14,1,0,0,"1,227"
Essex,-,"Chittenden 8-1","2,893","1,229",46,13,20,8,0,0,"4,209"
Essex,-,"Chittenden 8-2","3,266","1,283",65,15,37,10,0,0,"4,676"
Essex,-,"Chittenden 8-3",889,453,13,5,7,2,0,0,"1,369"
"Fair Haven",,,726,324,25,10,12,3,0,16,"1,116"
Fairfax,,,"1,391",614,30,14,79,2,3,27,"2,160"
Fairfield,,,620,224,7,8,7,3,0,10,879
Fairlee,,,384,117,11,1,4,1,0,16,534
Fayston,,,565,147,7,5,1,1,0,17,743
Ferrisburgh,,,"1,020",431,9,7,11,4,2,17,"1,501"
Fletcher,,,452,149,6,0,13,1,0,6,627
Franklin,,,361,179,4,3,7,1,0,16,571
