City/Town,Ward,Pct,"Dick Sears","Bob Hartwell",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic
Arlington,,,946,806,0,0,"1,752"
Bennington,-,"Bennington 2-1","2,801","1,910",0,0,"4,711"
Bennington,-,"Bennington 2-2","2,455","1,712",0,0,"4,167"
Dorset,,,681,913,0,0,"1,594"
Landgrove,,,70,68,0,0,138
Manchester,,,"1,402","1,576",0,0,"2,978"
Peru,,,137,162,0,0,299
Pownal,,,"1,297",746,0,0,"2,043"
Readsboro,,,273,148,0,0,421
Rupert,,,214,223,0,0,437
Sandgate,,,139,130,0,0,269
Searsburg,,,39,27,0,0,66
Shaftsbury,,,"1,487","1,147",0,0,"2,634"
Stamford,,,339,194,0,0,533
Sunderland,-,"Bennington 3",66,75,0,0,141
Sunderland,-,"Bennington 4",246,236,0,0,482
Wilmington,,,721,577,0,0,"1,298"
Winhall,,,270,303,0,0,573
Woodford,,,135,95,0,0,230
TOTALS,,,"13,718","11,048",0,0,"24,766"
