City/Town,Ward,Pct,"Tim Ashe","Virginia Lyons","Sally Fox","David Zuckerman","Diane B. Snelling","Philip Baruth","Debbie Ingram","Bob Kiss","Patrick N. Brown","Shelley Palmer","Robert Letovsky","Sean Selby","Larkin Forney","Richard Jeroloman",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic/Progressive,Democratic,Democratic,Progressive,Republican,Democratic,Democratic,Independent,Independent,"Tea Party",Independent,Independent,Green,Progressive
Bolton,,,335,307,302,299,262,280,224,114,99,76,97,61,56,30,0,0,"2,542"
Burlington,-,"Chittenden 6-1","2,573","2,254","2,252","1,955","1,921","2,231","1,465",638,"1,426",417,322,406,311,190,0,0,"18,361"
Burlington,-,"Chittenden 6-2","1,414","1,131","1,096","1,122",735,"1,147",760,404,449,136,156,176,244,182,0,0,"9,152"
Burlington,-,"Chittenden 6-3","2,164","1,467","1,532","1,990",637,"1,752","1,085",910,666,177,202,271,590,393,0,0,"13,836"
Burlington,-,"Chittenden 6-4","1,553","1,211","1,219","1,483",516,"1,291",810,614,431,115,150,174,352,198,0,0,"10,117"
Burlington,-,"Chittenden 6-5","2,983","2,492","2,552","2,508","1,483","2,469","1,557",893,749,232,263,301,486,293,0,0,"19,261"
Burlington,-,"Chittenden 6-6",620,487,536,560,230,516,356,190,198,44,70,71,142,75,0,0,"4,095"
Burlington,-,"Chittenden 6-7",47,37,36,47,19,35,18,23,15,2,7,7,14,8,0,0,315
Charlotte,,,"1,273","1,276","1,177","1,226","1,201","1,131",801,424,343,275,218,180,198,88,0,0,"9,811"
Essex,-,"Chittenden 8-1","2,040","2,035","2,211","1,655","2,270","1,615","1,415",719,707,662,816,444,222,152,0,0,"16,963"
Essex,-,"Chittenden 8-2","2,488","2,304","2,360","1,915","2,474","1,997","1,616",775,815,753,694,489,319,180,0,0,"19,179"
Essex,-,"Chittenden 8-3",692,685,771,556,751,560,423,217,210,220,249,114,65,45,0,0,"5,558"
Hinesburg,-,"Chittenden 4-1",13,12,11,13,7,11,9,4,1,0,0,0,2,0,0,0,83
Hinesburg,-,"Chittenden 4-2","1,296","1,306","1,247","1,507","1,248","1,069",860,424,321,325,214,195,168,99,0,0,"10,279"
Jericho,,,"1,516","1,475","1,503","1,330","1,523","1,342","1,022",498,496,462,"1,029",297,208,109,0,0,"12,810"
Milton,-,"Chittenden 10","1,692","1,747","1,578","1,381","2,274","1,309","1,084",707,790,715,546,519,255,172,0,0,"14,769"
Milton,-,"Grand Isle-Chittenden",264,273,247,209,390,197,173,117,126,133,89,97,45,25,0,0,"2,385"
Richmond,,,"1,395","1,373","1,268","1,204","1,191","1,119",915,420,355,299,364,193,197,104,0,0,"10,397"
Shelburne,-,"Chittenden 5-1","1,373","1,373","1,315","1,185","1,307","1,204",806,374,296,264,216,167,174,83,0,0,"10,137"
Shelburne,-,"Chittenden 5-2","1,014","1,059","1,002",879,"1,198",895,605,306,294,271,196,171,138,64,0,0,"8,092"
"S. Burlington",-,"Chittenden 7-1","1,250","1,167","1,346","1,089","1,192","1,056",742,417,351,251,232,201,140,83,0,0,"9,517"
"S. Burlington",-,"Chittenden 7-2","1,297","1,288","1,452","1,135","1,344","1,087",812,442,409,311,254,207,140,85,0,0,"10,263"
"S. Burlington",-,"Chittenden 7-3","1,254","1,128","1,261","1,106",911,"1,021",789,401,402,229,186,191,172,114,0,0,"9,165"
"S. Burlington",-,"Chittenden 7-4","1,181","1,104","1,252","1,010","1,096",935,739,380,432,292,237,200,148,95,0,0,"9,101"
"St. George",,,163,199,155,160,165,130,129,55,45,34,27,26,19,9,0,0,"1,316"
Underhill,,,928,918,944,854,864,840,615,310,302,257,458,184,126,60,0,0,"7,660"
Westford,,,572,553,515,488,606,482,334,223,224,177,176,127,104,52,0,0,"4,633"
Williston,,,"2,480","3,024","2,436","2,023","2,760","2,033","2,414",781,788,967,605,469,292,157,0,0,"21,229"
Winooski,,,"1,487","1,272","1,333","1,364",948,"1,188",863,544,477,266,248,219,291,177,0,0,"10,677"
TOTALS,,,"37,357","34,957","34,909","32,253","31,523","30,942","23,441","12,324","12,217","8,362","8,321","6,157","5,618","3,322",0,0,"281,703"
