City/Town,Ward,Pct,"Doug Hoffer",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,50,0,19,69
Albany,,,24,2,13,39
Alburgh,,,108,1,62,171
Andover,,,28,0,8,36
Arlington,,,79,1,25,105
Athens,,,18,1,16,35
Bakersfield,,,72,1,19,92
Baltimore,,,3,0,0,3
Barnard,,,60,1,31,92
Barnet,,,62,0,14,76
"Barre City",,,307,7,102,416
"Barre Town",,,265,11,127,403
Barton,,,52,12,26,90
Belvidere,,,4,0,5,9
Bennington,-,"Bennington 2-1",368,0,211,579
Bennington,-,"Bennington 2-2",136,3,79,218
Benson,,,30,0,18,48
Berkshire,,,30,5,9,44
Berlin,,,86,4,60,150
Bethel,,,89,1,30,120
Bloomfield,,,6,0,3,9
Bolton,,,74,1,27,102
Bradford,,,73,4,30,107
Braintree,,,74,1,43,118
Brandon,,,135,3,51,189
Brattleboro,-,"Windham 2-1",249,9,97,355
Brattleboro,-,"Windham 2-2",251,6,103,360
Brattleboro,-,"Windham 2-3",467,9,211,687
Bridgewater,,,35,5,18,58
Bridport,,,51,1,21,73
Brighton,,,34,1,19,54
Bristol,,,147,3,56,206
Brookfield,,,114,0,45,159
Brookline,,,44,0,13,57
Brownington,,,19,2,8,29
Brunswick,,,4,3,4,11
Burke,,,32,0,20,52
Burlington,-,"Chittenden 6-1",876,18,303,"1,197"
Burlington,-,"Chittenden 6-2",441,8,169,618
Burlington,-,"Chittenden 6-3",389,6,148,543
Burlington,-,"Chittenden 6-4",382,4,127,513
Burlington,-,"Chittenden 6-5",999,8,374,"1,381"
Burlington,-,"Chittenden 6-6",114,1,41,156
Burlington,-,"Chittenden 6-7",12,0,7,19
Cabot,,,49,2,33,84
Calais,,,120,2,56,178
Cambridge,,,121,3,73,197
Canaan,,,19,0,8,27
Castleton,,,60,5,44,109
Cavendish,,,51,0,29,80
Charleston,,,17,0,10,27
Charlotte,,,290,3,145,438
Chelsea,,,64,0,51,115
Chester,,,147,2,37,186
Chittenden,,,42,3,35,80
Clarendon,,,44,0,32,76
Colchester,-,"Chittenden 9-1",282,6,174,462
Colchester,-,"Chittenden 9-2",398,7,270,675
Concord,,,31,7,10,48
Corinth,,,91,1,36,128
Cornwall,,,99,0,42,141
Coventry,,,27,2,7,36
Craftsbury,,,51,4,23,78
Danby,,,116,0,51,167
Danville,,,86,2,42,130
Derby,,,81,15,67,163
Dorset,,,63,0,21,84
Dover,,,55,0,33,88
Dummerston,,,178,6,51,235
Duxbury,,,75,6,56,137
"E. Haven",,,13,0,4,17
"E. Montpelier",,,184,3,88,275
Eden,,,22,1,11,34
Elmore,,,41,2,25,68
Enosburgh,,,58,6,14,78
Essex,-,"Chittenden 8-1",360,7,175,542
Essex,-,"Chittenden 8-2",447,10,287,744
Essex,-,"Chittenden 8-3",125,1,49,175
"Fair Haven",,,43,3,30,76
Fairfax,,,120,2,54,176
Fairfield,,,118,13,68,199
Fairlee,,,38,1,21,60
Fayston,,,49,1,17,67
Ferrisburgh,,,130,0,58,188
Fletcher,,,46,2,27,75
Franklin,,,57,4,12,73
Georgia,,,115,2,52,169
Glover,,,75,6,32,113
Goshen,,,14,0,7,21
Grafton,,,88,1,50,139
Granby,,,4,1,2,7
"Grand Isle",,,135,7,42,184
Granville,,,16,0,5,21
Greensboro,,,47,3,26,76
Groton,,,22,1,13,36
Guildhall,,,17,1,5,23
Guilford,,,91,4,24,119
Halifax,,,14,0,9,23
Hancock,,,10,0,3,13
Hardwick,,,83,4,59,146
Hartford,-,"Windsor 4-1",49,0,20,69
Hartford,-,"Windsor 4-2",209,5,62,276
Hartland,,,163,0,55,218
Highgate,,,61,4,29,94
Hinesburg,-,"Chittenden 4-1",1,0,0,1
Hinesburg,-,"Chittenden 4-2",207,4,138,349
Holland,,,9,1,12,22
Hubbardton,,,8,0,9,17
Huntington,,,146,2,65,213
"Hyde Park",,,72,8,60,140
Ira,,,17,0,4,21
Irasburg,,,19,4,8,31
"Isle La Motte",,,29,1,18,48
Jamaica,,,29,5,22,56
Jay,,,14,1,10,25
Jericho,,,339,2,163,504
Johnson,,,59,2,31,92
Killington,,,30,3,44,77
Kirby,,,17,0,11,28
Landgrove,,,11,0,8,19
Leicester,,,29,1,13,43
Lemington,,,0,0,2,2
Lincoln,,,100,4,39,143
Londonderry,,,63,1,22,86
Lowell,,,31,2,9,42
Ludlow,,,70,1,19,90
Lunenburg,,,22,12,11,45
Lyndon,,,86,6,38,130
Maidstone,,,1,3,4,8
Manchester,,,107,1,43,151
Marlboro,,,106,1,30,137
Marshfield,,,70,0,32,102
Mendon,,,43,3,33,79
Middlebury,,,434,2,148,584
Middlesex,,,94,2,54,150
"Middletown Springs",,,31,0,12,43
Milton,-,"Chittenden 10",274,3,160,437
Milton,-,"Grand Isle-Chittenden",58,1,31,90
Monkton,,,111,1,46,158
Montgomery,,,60,2,24,86
Montpelier,,,769,13,384,"1,166"
Moretown,,,60,1,37,98
Morgan,,,26,2,13,41
Morristown,,,145,8,101,254
"Mount Holly",,,49,0,15,64
"Mount Tabor",,,11,0,4,15
"New Haven",,,91,1,41,133
Newark,,,16,1,15,32
Newbury,,,79,1,45,125
Newfane,,,126,5,35,166
"Newport City",,,95,24,40,159
"Newport Town",,,24,0,16,40
"N. Hero",,,54,4,30,88
Northfield,,,141,5,81,227
Norton,,,5,1,4,10
Norwich,,,306,1,152,459
Orange,,,25,3,13,41
Orwell,,,40,0,26,66
Panton,,,25,1,15,41
Pawlet,,,45,0,15,60
Peacham,,,64,1,24,89
Peru,,,22,0,8,30
Pittsfield,,,16,1,12,29
Pittsford,,,75,0,35,110
Plainfield,,,79,0,37,116
Plymouth,,,17,0,3,20
Pomfret,,,56,1,25,82
Poultney,,,42,4,26,72
Pownal,,,97,0,34,131
Proctor,,,45,0,34,79
Putney,,,164,4,58,226
Randolph,,,355,13,155,523
Reading,,,31,0,15,46
Readsboro,,,26,0,5,31
Richford,,,57,5,13,75
Richmond,,,355,2,145,502
Ripton,,,59,1,19,79
Rochester,,,53,1,23,77
Rockingham,,,593,10,312,915
Roxbury,,,28,1,21,50
Royalton,,,102,0,49,151
Rupert,,,31,0,4,35
"Rutland City",-,"Rutland 5-1",152,4,125,281
"Rutland City",-,"Rutland 5-2",90,5,65,160
"Rutland City",-,"Rutland 5-3",66,3,43,112
"Rutland City",-,"Rutland 5-4",98,5,71,174
"Rutland Town",,,136,5,79,220
Ryegate,,,60,5,21,86
Salisbury,,,35,0,20,55
Sandgate,,,19,0,6,25
Searsburg,,,1,0,9,10
Shaftsbury,,,137,3,41,181
Sharon,,,68,1,17,86
Sheffield,,,11,0,8,19
Shelburne,-,"Chittenden 5-1",362,8,162,532
Shelburne,-,"Chittenden 5-2",233,2,132,367
Sheldon,,,47,8,15,70
Shoreham,,,53,0,24,77
Shrewsbury,,,56,1,18,75
"S. Burlington",-,"Chittenden 7-1",427,11,242,680
"S. Burlington",-,"Chittenden 7-2",359,11,185,555
"S. Burlington",-,"Chittenden 7-3",348,3,121,472
