City/Town,Ward,Pct,"Vincent Illuzzi",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,33,0,2,35
Albany,,,20,1,8,29
Alburgh,,,82,1,22,105
Andover,,,18,0,0,18
Arlington,,,24,0,3,27
Athens,,,10,0,1,11
Bakersfield,,,28,0,8,36
Baltimore,,,9,0,1,10
Barnard,,,25,0,5,30
Barnet,,,45,0,4,49
"Barre City",,,115,3,18,136
"Barre Town",,,166,3,18,187
Barton,,,19,6,10,35
Belvidere,,,7,1,1,9
Bennington,-,"Bennington 2-1",24,1,6,31
Bennington,-,"Bennington 2-2",35,0,8,43
Benson,,,22,0,2,24
Berkshire,,,50,1,22,73
Berlin,,,53,1,20,74
Bethel,,,20,0,2,22
Bloomfield,,,1,0,0,1
Bolton,,,12,0,2,14
Bradford,,,31,1,6,38
Braintree,,,13,0,2,15
Brandon,,,68,0,24,92
Brattleboro,-,"Windham 2-1",39,0,2,41
Brattleboro,-,"Windham 2-2",25,1,4,30
Brattleboro,-,"Windham 2-3",17,1,2,20
Bridgewater,,,9,0,2,11
Bridport,,,30,0,4,34
Brighton,,,2,2,11,15
Bristol,,,41,1,7,49
Brookfield,,,5,0,0,5
Brookline,,,12,1,1,14
Brownington,,,9,0,6,15
Brunswick,,,8,0,3,11
Burke,,,24,1,3,28
Burlington,-,"Chittenden 6-1",112,0,19,131
Burlington,-,"Chittenden 6-2",16,1,5,22
Burlington,-,"Chittenden 6-3",23,0,3,26
Burlington,-,"Chittenden 6-4",16,0,3,19
Burlington,-,"Chittenden 6-5",37,2,3,42
Burlington,-,"Chittenden 6-6",3,0,2,5
Burlington,-,"Chittenden 6-7",0,0,0,0
Cabot,,,11,0,3,14
Calais,,,20,1,1,22
Cambridge,,,42,1,5,48
Canaan,,,25,1,2,28
Castleton,,,39,0,10,49
Cavendish,,,39,0,15,54
Charleston,,,24,0,2,26
Charlotte,,,27,0,10,37
Chelsea,,,34,0,5,39
Chester,,,42,2,6,50
Chittenden,,,14,0,3,17
Clarendon,,,28,0,3,31
Colchester,-,"Chittenden 9-1",49,0,13,62
Colchester,-,"Chittenden 9-2",70,1,18,89
Concord,,,130,4,52,186
Corinth,,,21,0,4,25
Cornwall,,,11,0,2,13
Coventry,,,24,1,5,30
Craftsbury,,,23,2,2,27
Danby,,,82,1,27,110
Danville,,,28,0,6,34
Derby,,,56,0,10,66
Dorset,,,25,0,3,28
Dover,,,46,0,44,90
Dummerston,,,21,0,2,23
Duxbury,,,14,0,5,19
"E. Haven",,,4,0,3,7
"E. Montpelier",,,37,0,9,46
Eden,,,7,0,4,11
Elmore,,,10,0,3,13
Enosburgh,,,57,1,21,79
Essex,-,"Chittenden 8-1",65,0,13,78
Essex,-,"Chittenden 8-2",62,1,14,77
Essex,-,"Chittenden 8-3",18,0,8,26
"Fair Haven",,,44,0,9,53
Fairfax,,,85,1,26,112
Fairfield,,,26,0,7,33
Fairlee,,,17,0,5,22
Fayston,,,9,0,3,12
Ferrisburgh,,,28,0,4,32
Fletcher,,,12,0,4,16
Franklin,,,54,1,19,74
Georgia,,,110,1,37,148
Glover,,,19,2,6,27
Goshen,,,11,0,0,11
Grafton,,,23,0,4,27
Granby,,,13,1,5,19
"Grand Isle",,,34,1,3,38
Granville,,,2,0,0,2
Greensboro,,,13,0,0,13
Groton,,,25,1,0,26
Guildhall,,,27,2,18,47
Guilford,,,17,0,2,19
Halifax,,,17,0,0,17
Hancock,,,2,0,0,2
Hardwick,,,15,2,2,19
Hartford,-,"Windsor 4-1",13,0,1,14
Hartford,-,"Windsor 4-2",58,0,6,64
Hartland,,,44,0,6,50
Highgate,,,105,1,31,137
Hinesburg,-,"Chittenden 4-1",0,0,0,0
Hinesburg,-,"Chittenden 4-2",23,0,8,31
Holland,,,11,0,0,11
Hubbardton,,,12,0,4,16
Huntington,,,19,0,1,20
"Hyde Park",,,27,1,9,37
Ira,,,12,0,0,12
Irasburg,,,19,0,7,26
"Isle La Motte",,,5,0,4,9
Jamaica,,,9,0,1,10
Jay,,,10,0,0,10
Jericho,,,78,1,12,91
Johnson,,,21,1,13,35
Killington,,,12,0,4,16
Kirby,,,26,0,14,40
Landgrove,,,0,0,2,2
Leicester,,,12,0,4,16
Lemington,,,3,0,2,5
Lincoln,,,20,0,4,24
Londonderry,,,15,0,0,15
Lowell,,,21,0,6,27
Ludlow,,,24,1,8,33
Lunenburg,,,122,13,45,180
Lyndon,,,78,4,15,97
Maidstone,,,14,2,4,20
Manchester,,,45,0,9,54
Marlboro,,,10,0,0,10
Marshfield,,,14,0,3,17
Mendon,,,16,0,7,23
Middlebury,,,40,0,9,49
Middlesex,,,16,1,11,28
"Middletown Springs",,,16,0,5,21
Milton,-,"Chittenden 10",136,1,299,436
Milton,-,"Grand Isle-Chittenden",23,1,4,28
Monkton,,,14,0,2,16
Montgomery,,,14,0,4,18
Montpelier,,,58,2,18,78
Moretown,,,26,0,4,30
Morgan,,,19,0,3,22
Morristown,,,60,2,10,72
"Mount Holly",,,28,0,7,35
"Mount Tabor",,,0,0,1,1
"New Haven",,,32,1,3,36
Newark,,,10,0,6,16
Newbury,,,35,0,15,50
Newfane,,,18,0,1,19
"Newport City",,,74,2,4,80
"Newport Town",,,11,2,3,16
"N. Hero",,,20,0,3,23
Northfield,,,38,1,19,58
Norton,,,10,2,0,12
Norwich,,,30,0,7,37
Orange,,,24,1,3,28
Orwell,,,34,1,2,37
Panton,,,14,0,0,14
Pawlet,,,22,2,1,25
Peacham,,,17,0,0,17
Peru,,,13,0,3,16
Pittsfield,,,5,0,0,5
Pittsford,,,41,1,14,56
Plainfield,,,7,1,2,10
Plymouth,,,18,0,2,20
Pomfret,,,12,0,3,15
Poultney,,,35,0,5,40
Pownal,,,24,0,2,26
Proctor,,,10,1,2,13
Putney,,,17,0,1,18
Randolph,,,54,0,2,56
Reading,,,9,0,1,10
Readsboro,,,13,0,4,17
Richford,,,34,1,3,38
Richmond,,,48,1,0,49
Ripton,,,8,0,1,9
Rochester,,,16,0,3,19
Rockingham,,,47,0,5,52
Roxbury,,,7,0,3,10
Royalton,,,27,0,14,41
Rupert,,,9,0,4,13
"Rutland City",-,"Rutland 5-1",38,1,4,43
"Rutland City",-,"Rutland 5-2",44,0,17,61
"Rutland City",-,"Rutland 5-3",16,0,10,26
"Rutland City",-,"Rutland 5-4",37,0,14,51
"Rutland Town",,,108,3,31,142
Ryegate,,,17,0,0,17
Salisbury,,,10,0,1,11
Sandgate,,,5,0,1,6
Searsburg,,,2,0,1,3
Shaftsbury,,,26,0,7,33
Sharon,,,17,1,8,26
Sheffield,,,9,0,3,12
Shelburne,-,"Chittenden 5-1",81,3,12,96
Shelburne,-,"Chittenden 5-2",57,0,13,70
Sheldon,,,35,1,10,46
Shoreham,,,13,0,2,15
Shrewsbury,,,25,0,3,28
"S. Burlington",-,"Chittenden 7-1",39,0,11,50
"S. Burlington",-,"Chittenden 7-2",66,1,16,83
"S. Burlington",-,"Chittenden 7-3",42,1,9,52
"S. Burlington",-,"Chittenden 7-4",72,0,7,79
"S. Hero",,,35,0,3,38
Springfield,-,"Windsor 3-1",2,0,0,2
Springfield,-,"Windsor 3-2",73,1,10,84
"St. Albans City",,,235,8,65,308
"St. Albans Town",-,"Franklin 3-1",108,0,15,123
"St. Albans Town",-,"Franklin 3-2",170,5,35,210
