City/Town,Ward,Pct,"Jack McMullen",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,31,1,3,35
Albany,,,18,4,7,29
Alburgh,,,83,1,21,105
Andover,,,160,0,2,162
Arlington,,,24,1,2,27
Athens,,,9,0,2,11
Bakersfield,,,26,0,10,36
Baltimore,,,9,1,0,10
Barnard,,,27,0,3,30
Barnet,,,37,3,9,49
"Barre City",,,104,13,19,136
"Barre Town",,,151,14,22,187
Barton,,,21,9,5,35
Belvidere,,,7,2,0,9
Bennington,-,"Bennington 2-1",24,0,7,31
Bennington,-,"Bennington 2-2",33,1,9,43
Benson,,,22,1,1,24
Berkshire,,,41,9,23,73
Berlin,,,48,11,16,75
Bethel,,,17,3,2,22
Bloomfield,,,1,0,0,1
Bolton,,,7,5,2,14
Bradford,,,33,1,4,38
Braintree,,,12,1,2,15
Brandon,,,72,4,16,92
Brattleboro,-,"Windham 2-1",36,2,3,41
Brattleboro,-,"Windham 2-2",25,3,2,30
Brattleboro,-,"Windham 2-3",16,2,2,20
Bridgewater,,,7,3,1,11
Bridport,,,28,3,3,34
Brighton,,,19,6,7,32
Bristol,,,42,2,5,49
Brookfield,,,5,0,0,5
Brookline,,,12,0,2,14
Brownington,,,9,3,4,16
Brunswick,,,6,1,4,11
Burke,,,24,3,1,28
Burlington,-,"Chittenden 6-1",106,9,16,131
Burlington,-,"Chittenden 6-2",18,2,2,22
Burlington,-,"Chittenden 6-3",18,6,2,26
Burlington,-,"Chittenden 6-4",14,0,5,19
Burlington,-,"Chittenden 6-5",31,1,9,41
Burlington,-,"Chittenden 6-6",3,0,2,5
Burlington,-,"Chittenden 6-7",0,0,0,0
Cabot,,,10,2,2,14
Calais,,,17,3,2,22
Cambridge,,,38,4,6,48
Canaan,,,21,2,5,28
Castleton,,,38,4,7,49
Cavendish,,,36,2,16,54
Charleston,,,23,2,2,27
Charlotte,,,23,2,12,37
Chelsea,,,30,1,8,39
Chester,,,39,3,8,50
Chittenden,,,13,0,4,17
Clarendon,,,29,1,1,31
Colchester,-,"Chittenden 9-1",44,8,10,62
Colchester,-,"Chittenden 9-2",68,7,14,89
Concord,,,99,16,71,186
Corinth,,,19,2,5,26
Cornwall,,,11,0,2,13
Coventry,,,15,11,4,30
Craftsbury,,,20,3,4,27
Danby,,,85,5,20,110
Danville,,,26,3,5,34
Derby,,,38,9,18,65
Dorset,,,27,0,1,28
Dover,,,480,0,9,489
Dummerston,,,21,0,2,23
Duxbury,,,16,0,3,19
"E. Haven",,,6,0,1,7
"E. Montpelier",,,33,3,10,46
Eden,,,5,3,4,12
Elmore,,,7,2,4,13
Enosburgh,,,42,12,25,79
Essex,-,"Chittenden 8-1",57,5,16,78
Essex,-,"Chittenden 8-2",56,8,13,77
Essex,-,"Chittenden 8-3",20,1,5,26
"Fair Haven",,,40,2,11,53
Fairfax,,,80,4,28,112
Fairfield,,,17,3,13,33
Fairlee,,,14,2,6,22
Fayston,,,7,0,5,12
Ferrisburgh,,,27,3,2,32
Fletcher,,,12,0,4,16
Franklin,,,40,14,20,74
Georgia,,,106,4,38,148
Glover,,,17,5,5,27
Goshen,,,11,0,0,11
Grafton,,,19,1,7,27
Granby,,,15,0,4,19
"Grand Isle",,,22,14,2,38
Granville,,,2,0,0,2
Greensboro,,,13,0,0,13
Groton,,,22,2,2,26
Guildhall,,,22,6,20,48
