City/Town,Ward,Pct,"Peter Shumlin",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,59,0,10,69
Albany,,,23,6,8,37
Alburgh,,,134,4,33,171
Andover,,,33,0,3,36
Arlington,,,91,2,12,105
Athens,,,24,1,10,35
Bakersfield,,,69,5,17,91
Baltimore,,,3,0,0,3
Barnard,,,81,2,9,92
Barnet,,,68,1,7,76
"Barre City",,,325,15,76,416
"Barre Town",,,303,11,89,403
Barton,,,63,11,16,90
Belvidere,,,6,0,3,9
Bennington,-,"Bennington 2-1",458,2,119,579
Bennington,-,"Bennington 2-2",189,2,27,218
Benson,,,40,0,8,48
Berkshire,,,35,8,1,44
Berlin,,,106,6,38,150
Bethel,,,106,0,14,120
Bloomfield,,,8,0,1,9
Bolton,,,82,2,18,102
Bradford,,,88,5,14,107
Braintree,,,94,3,21,118
Brandon,,,146,11,29,186
Brattleboro,-,"Windham 2-1",310,5,40,355
Brattleboro,-,"Windham 2-2",314,6,40,360
Brattleboro,-,"Windham 2-3",578,11,98,687
Bridgewater,,,42,2,14,58
Bridport,,,58,4,11,73
Brighton,,,31,8,15,54
Bristol,,,172,4,31,207
Brookfield,,,137,4,18,159
Brookline,,,51,2,4,57
Brownington,,,24,1,4,29
Brunswick,,,8,1,2,11
Burke,,,33,2,17,52
Burlington,-,"Chittenden 6-1","1,000",22,175,"1,197"
Burlington,-,"Chittenden 6-2",511,13,94,618
Burlington,-,"Chittenden 6-3",456,10,77,543
Burlington,-,"Chittenden 6-4",445,14,54,513
Burlington,-,"Chittenden 6-5","1,167",16,197,"1,380"
Burlington,-,"Chittenden 6-6",130,0,26,156
Burlington,-,"Chittenden 6-7",14,2,3,19
Cabot,,,61,3,17,81
Calais,,,145,7,26,178
Cambridge,,,160,5,32,197
Canaan,,,24,0,3,27
Castleton,,,81,6,22,109
Cavendish,,,69,2,9,80
Charleston,,,19,0,7,26
Charlotte,,,349,6,82,437
Chelsea,,,85,2,27,114
Chester,,,168,2,16,186
Chittenden,,,57,4,19,80
Clarendon,,,56,5,15,76
Colchester,-,"Chittenden 9-1",359,10,96,465
Colchester,-,"Chittenden 9-2",486,15,171,672
Concord,,,35,5,8,48
Corinth,,,106,5,15,126
Cornwall,,,120,0,21,141
Coventry,,,29,0,8,37
Craftsbury,,,45,13,20,78
Danby,,,132,5,30,167
Danville,,,98,1,31,130
Derby,,,102,20,41,163
Dorset,,,71,2,11,84
Dover,,,66,3,19,88
Dummerston,,,214,6,14,234
Duxbury,,,96,11,30,137
"E. Haven",,,13,0,4,17
"E. Montpelier",,,215,10,50,275
Eden,,,23,6,6,35
Elmore,,,50,4,14,68
Enosburgh,,,63,2,13,78
Essex,-,"Chittenden 8-1",396,21,125,542
Essex,-,"Chittenden 8-2",543,15,186,744
