City/Town,Ward,Pct,"Cassandra Gekas",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,45,1,23,69
Albany,,,24,2,13,39
Alburgh,,,107,5,59,171
Andover,,,29,0,7,36
Arlington,,,75,1,28,104
Athens,,,18,1,16,35
Bakersfield,,,59,9,24,92
Baltimore,,,3,0,0,3
Barnard,,,63,6,23,92
Barnet,,,56,3,17,76
"Barre City",,,251,47,118,416
"Barre Town",,,216,46,141,403
Barton,,,44,16,30,90
Belvidere,,,4,0,5,9
Bennington,-,"Bennington 2-1",378,1,200,579
Bennington,-,"Bennington 2-2",150,1,67,218
Benson,,,32,0,16,48
Berkshire,,,27,7,10,44
Berlin,,,59,18,73,150
Bethel,,,75,6,39,120
Bloomfield,,,5,0,4,9
Bolton,,,75,3,24,102
Bradford,,,71,10,26,107
Braintree,,,77,5,36,118
Brandon,,,137,13,38,188
Brattleboro,-,"Windham 2-1",253,7,95,355
Brattleboro,-,"Windham 2-2",247,4,109,360
Brattleboro,-,"Windham 2-3",457,6,224,687
Bridgewater,,,33,6,19,58
Bridport,,,49,4,20,73
Brighton,,,33,5,15,53
Bristol,,,146,6,56,208
Brookfield,,,103,6,50,159
Brookline,,,44,1,12,57
Brownington,,,20,2,7,29
Brunswick,,,3,1,7,11
Burke,,,29,1,22,52
Burlington,-,"Chittenden 6-1",803,24,370,"1,197"
Burlington,-,"Chittenden 6-2",399,13,206,618
Burlington,-,"Chittenden 6-3",362,17,164,543
Burlington,-,"Chittenden 6-4",361,8,144,513
Burlington,-,"Chittenden 6-5",900,14,467,"1,381"
Burlington,-,"Chittenden 6-6",99,2,55,156
Burlington,-,"Chittenden 6-7",12,1,6,19
Cabot,,,40,6,38,84
Calais,,,105,18,55,178
Cambridge,,,111,18,68,197
Canaan,,,19,0,8,27
Castleton,,,67,5,37,109
Cavendish,,,57,0,23,80
Charleston,,,16,0,11,27
Charlotte,,,265,5,168,438
Chelsea,,,63,4,47,114
Chester,,,150,3,33,186
Chittenden,,,48,2,30,80
Clarendon,,,40,4,32,76
Colchester,-,"Chittenden 9-1",262,17,184,463
Colchester,-,"Chittenden 9-2",356,24,294,674
Concord,,,31,6,11,48
Corinth,,,88,7,33,128
Cornwall,,,98,2,41,141
Coventry,,,25,1,11,37
Craftsbury,,,50,7,21,78
Danby,,,111,5,51,167
Danville,,,78,7,45,130
Derby,,,80,17,67,164
Dorset,,,60,2,22,84
Dover,,,61,3,24,88
Dummerston,,,174,8,53,235
Duxbury,,,65,16,56,137
"E. Haven",,,12,0,5,17
"E. Montpelier",,,163,7,105,275
Eden,,,16,10,9,35
Elmore,,,36,9,23,68
Enosburgh,,,48,9,21,78
Essex,-,"Chittenden 8-1",314,15,213,542
Essex,-,"Chittenden 8-2",404,19,321,744
Essex,-,"Chittenden 8-3",108,4,63,175
"Fair Haven",,,47,4,25,76
Fairfax,,,119,8,49,176
Fairfield,,,110,28,62,200
Fairlee,,,37,2,21,60
Fayston,,,43,2,22,67
Ferrisburgh,,,116,2,70,188
Fletcher,,,51,2,22,75
Franklin,,,41,15,17,73
Georgia,,,108,7,53,168
Glover,,,61,9,43,113
Goshen,,,15,1,5,21
Grafton,,,96,0,43,139
Granby,,,4,1,2,7
"Grand Isle",,,105,34,45,184
Granville,,,18,0,3,21
Greensboro,,,36,2,38,76
Groton,,,21,3,12,36
Guildhall,,,17,2,4,23
Guilford,,,93,4,22,119
Halifax,,,15,0,8,23
Hancock,,,8,1,4,13
Hardwick,,,83,5,58,146
Hartford,-,"Windsor 4-1",49,0,20,69
Hartford,-,"Windsor 4-2",205,10,58,273
Hartland,,,156,7,55,218
Highgate,,,58,15,21,94
Hinesburg,-,"Chittenden 4-1",1,0,0,1
Hinesburg,-,"Chittenden 4-2",259,9,161,429
Holland,,,8,2,12,22
Hubbardton,,,8,2,7,17
Huntington,,,136,6,71,213
"Hyde Park",,,62,17,61,140
Ira,,,17,1,3,21
Irasburg,,,17,7,7,31
"Isle La Motte",,,31,1,16,48
Jamaica,,,33,3,20,56
Jay,,,13,4,8,25
Jericho,,,315,8,181,504
Johnson,,,56,5,31,92
Killington,,,31,5,41,77
Kirby,,,17,1,10,28
Landgrove,,,10,2,7,19
Leicester,,,27,1,15,43
Lemington,,,0,0,2,2
Lincoln,,,97,2,44,143
Londonderry,,,57,12,17,86
Lowell,,,24,7,11,42
Ludlow,,,66,3,21,90
Lunenburg,,,29,10,6,45
Lyndon,,,77,11,43,131
Maidstone,,,1,2,5,8
Manchester,,,103,2,46,151
Marlboro,,,105,2,30,137
Marshfield,,,64,8,29,101
Mendon,,,41,4,34,79
Middlebury,,,422,4,159,585
Middlesex,,,82,4,64,150
"Middletown Springs",,,35,0,8,43
Milton,-,"Chittenden 10",237,9,191,437
Milton,-,"Grand Isle-Chittenden",51,10,29,90
Monkton,,,101,4,53,158
Montgomery,,,62,5,19,86
Montpelier,,,718,41,402,"1,161"
Moretown,,,51,5,42,98
Morgan,,,25,1,15,41
Morristown,,,131,22,101,254
"Mount Holly",,,50,0,14,64
"Mount Tabor",,,10,0,5,15
"New Haven",,,83,3,47,133
Newark,,,17,1,14,32
Newbury,,,79,3,43,125
Newfane,,,122,5,39,166
"Newport City",,,97,21,41,159
"Newport Town",,,16,7,17,40
"N. Hero",,,54,4,30,88
Northfield,,,124,15,89,228
Norton,,,3,3,4,10
Norwich,,,316,4,139,459
Orange,,,16,11,14,41
Orwell,,,42,3,21,66
Panton,,,23,1,17,41
Pawlet,,,44,1,15,60
Peacham,,,59,1,29,89
Peru,,,25,0,5,30
Pittsfield,,,16,2,11,29
Pittsford,,,70,4,36,110
Plainfield,,,75,3,38,116
Plymouth,,,15,2,3,20
Pomfret,,,54,2,26,82
Poultney,,,42,1,29,72
Pownal,,,100,2,29,131
Proctor,,,45,2,32,79
Putney,,,166,4,56,226
Randolph,,,356,26,139,521
Reading,,,31,0,15,46
Readsboro,,,28,0,3,31
Richford,,,54,7,14,75
Richmond,,,325,9,168,502
Ripton,,,61,0,18,79
Rochester,,,48,10,19,77
Rockingham,,,603,10,301,914
Roxbury,,,26,5,19,50
Royalton,,,104,3,44,151
Rupert,,,30,1,4,35
"Rutland City",-,"Rutland 5-1",150,11,120,281
"Rutland City",-,"Rutland 5-2",86,12,62,160
"Rutland City",-,"Rutland 5-3",67,6,39,112
"Rutland City",-,"Rutland 5-4",95,7,72,174
"Rutland Town",,,128,7,85,220
Ryegate,,,57,5,24,86
Salisbury,,,30,3,22,55
Sandgate,,,19,0,6,25
Searsburg,,,1,0,9,10
Shaftsbury,,,137,6,38,181
Sharon,,,65,1,20,86
Sheffield,,,10,1,8,19
Shelburne,-,"Chittenden 5-1",339,10,184,533
Shelburne,-,"Chittenden 5-2",219,6,142,367
Sheldon,,,32,21,17,70
Shoreham,,,49,2,26,77
Shrewsbury,,,54,2,19,75
"S. Burlington",-,"Chittenden 7-1",390,12,278,680
"S. Burlington",-,"Chittenden 7-2",304,21,231,556
"S. Burlington",-,"Chittenden 7-3",337,7,128,472
"S. Burlington",-,"Chittenden 7-4",332,11,194,537
"S. Hero",,,124,12,79,215
Springfield,-,"Windsor 3-1",11,0,0,11
Springfield,-,"Windsor 3-2",206,4,52,262
"St. Albans City",,,264,39,86,389
"St. Albans Town",-,"Franklin 3-1",76,11,18,105
"St. Albans Town",-,"Franklin 3-2",111,19,52,182
"St. George",,,34,1,23,58
"St. Johnsbury",,,143,19,70,232
Stamford,,,34,0,11,45
Stannard,,,10,1,4,15
Starksboro,,,81,4,37,122
Stockbridge,,,22,1,14,37
Stowe,,,115,5,87,207
Strafford,,,188,7,61,256
Stratton,,,4,0,3,7
Sudbury,,,15,0,7,22
Sunderland,-,"Bennington 3",6,0,1,7
Sunderland,-,"Bennington 4",19,0,8,27
Sutton,,,11,3,9,23
Swanton,,,163,37,40,240
Thetford,,,413,11,205,629
Tinmouth,-,"Rutland 2",14,0,4,18
Tinmouth,-,Rutland-Bennington,27,1,8,36
Topsham,,,24,0,13,37
Townshend,,,40,0,23,63
Troy,-,"Orleans 2",8,0,6,14
Troy,-,Orleans-Lamoille,43,9,32,84
Tunbridge,,,88,15,53,156
Underhill,,,213,7,109,329
Vergennes,,,94,3,47,144
Vernon,,,48,2,35,85
Vershire,,,63,2,19,84
Victory,,,2,2,3,7
Waitsfield,,,99,10,65,174
Walden,,,33,1,15,49
Wallingford,,,79,2,27,108
Waltham,,,19,1,17,37
Wardsboro,,,28,2,13,43
Warren,,,67,3,27,97
Washington,,,36,8,17,61
Waterbury,,,216,6,176,398
Waterford,,,26,2,24,52
Waterville,,,10,2,15,27
Weathersfield,,,96,2,22,120
Wells,,,23,0,9,32
"W. Fairlee",,,37,1,13,51
"W. Haven",,,4,0,2,6
"W. Rutland",,,37,3,24,64
"W. Windsor",,,26,10,11,47
Westfield,,,22,10,8,40
Westford,,,101,5,54,160
Westminster,-,"Windham 3",19,1,5,25
Westminster,-,"Windham 4",178,7,48,233
Westmore,,,17,0,5,22
Weston,,,35,0,8,43
Weybridge,,,64,3,22,89
Wheelock,,,12,2,9,23
Whiting,,,22,13,1,36
Whitingham,-,"Windham 6",40,0,9,49
Whitingham,-,Windham-Bennington,1,0,0,1
Williamstown,,,72,56,55,183
Williston,,,532,17,295,844
Wilmington,,,54,1,20,75
Windham,,,52,0,22,74
Windsor,,,140,1,31,172
Winhall,,,33,2,9,44
Winooski,,,300,14,163,477
Wolcott,,,47,9,17,73
Woodbury,,,45,4,20,69
Woodford,,,25,0,3,28
Woodstock,,,195,6,80,281
Worcester,,,63,5,30,98
TOTALS,,,"27,335","1,746","14,033","43,114"
