City/Town,Ward,Pct,"Mitt Romney","Ron Paul","Rick Santorum","Newt Gingrich","Jon Huntsman","Rick Perry",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,,,,,
Addison,,,78,50,50,19,4,3,0,0,0,204
Albany,,,20,23,12,9,0,0,1,0,0,65
Alburgh,,,100,66,62,29,5,3,5,0,0,270
Andover,,,21,21,19,7,0,1,1,2,0,72
Arlington,,,103,55,75,29,8,3,1,1,0,275
Athens,,,9,6,10,1,1,0,0,0,0,27
Bakersfield,,,47,58,29,16,5,1,0,4,0,160
Baltimore,,,7,8,4,3,2,0,0,0,0,24
Barnard,,,49,33,18,10,2,0,2,0,0,114
Barnet,,,56,46,41,6,1,1,1,0,0,152
"Barre City",,,268,172,201,61,13,5,5,12,0,737
"Barre Town",,,370,183,229,78,10,7,4,2,0,883
Barton,,,85,28,59,19,2,2,5,0,0,200
Belvidere,,,10,11,9,2,0,0,0,0,0,32
Bennington,,,405,212,281,110,26,5,3,143,0,"1,185"
Benson,,,33,53,37,11,2,2,0,3,0,141
Berkshire,,,54,30,39,10,3,2,1,1,0,140
Berlin,,,121,87,59,22,3,2,1,2,0,297
Bethel,,,66,40,25,13,4,0,0,0,0,148
Bloomfield,,,8,10,5,4,0,0,0,0,0,27
Bolton,,,36,45,28,11,4,3,1,1,0,129
Bradford,,,50,27,37,13,2,0,1,0,0,130
Braintree,,,36,34,32,6,0,0,0,0,0,108
Brandon,,,165,111,132,29,9,5,3,0,0,454
Brattleboro,,,270,164,177,45,17,6,4,4,0,687
Bridgewater,,,26,19,13,4,1,0,1,0,0,64
Bridport,,,68,63,60,15,3,3,1,5,0,218
Brighton,,,108,48,56,22,4,2,0,1,0,241
Bristol,,,153,80,98,45,7,2,3,0,0,388
Brookfield,,,52,37,19,11,4,0,3,1,0,127
Brookline,,,14,11,10,4,1,0,1,0,0,41
Brownington,,,29,18,15,0,1,1,0,0,0,64
Brunswick,,,4,3,8,2,1,0,0,0,0,18
Burke,,,78,59,24,17,5,2,0,0,0,185
Burlington,,,"1,131",882,708,205,88,22,40,0,0,"3,076"
Cabot,,,26,49,47,6,2,3,0,2,0,135
Calais,,,52,60,48,10,4,1,1,3,0,179
Cambridge,,,97,102,65,24,7,3,2,0,0,300
