City/Town,Ward,Pct,"Bernie Sanders",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,65,0,4,69
Albany,,,34,0,5,39
Alburgh,,,153,0,18,171
Andover,,,34,0,2,36
Arlington,,,93,1,9,103
Athens,,,27,0,8,35
Bakersfield,,,83,1,8,92
Baltimore,,,3,0,0,3
Barnard,,,82,0,10,92
Barnet,,,71,2,3,76
"Barre City",,,363,6,47,416
"Barre Town",,,333,5,65,403
Barton,,,75,1,14,90
Belvidere,,,7,0,2,9
Bennington,-,"Bennington 2-1",475,1,103,579
Bennington,-,"Bennington 2-2",187,1,30,218
Benson,,,44,0,4,48
Berkshire,,,40,2,2,44
Berlin,,,118,1,29,148
Bethel,,,108,0,12,120
Bloomfield,,,8,0,1,9
Bolton,,,91,1,10,102
Bradford,,,94,1,12,107
Braintree,,,104,0,14,118
Brandon,,,169,1,20,190
Brattleboro,-,"Windham 2-1",325,1,29,355
Brattleboro,-,"Windham 2-2",339,1,20,360
Brattleboro,-,"Windham 2-3",609,5,73,687
Bridgewater,,,45,5,8,58
Bridport,,,63,0,10,73
Brighton,,,42,0,12,54
Bristol,,,182,3,22,207
Brookfield,,,141,2,16,159
Brookline,,,52,1,3,56
Brownington,,,25,0,4,29
Brunswick,,,9,0,2,11
Burke,,,45,0,7,52
Burlington,-,"Chittenden 6-1","1,035",16,146,"1,197"
Burlington,-,"Chittenden 6-2",516,18,84,618
Burlington,-,"Chittenden 6-3",479,10,54,543
Burlington,-,"Chittenden 6-4",457,5,51,513
Burlington,-,"Chittenden 6-5","1,187",16,178,"1,381"
Burlington,-,"Chittenden 6-6",131,0,25,156
Burlington,-,"Chittenden 6-7",17,0,2,19
Cabot,,,70,0,14,84
Calais,,,153,0,25,178
Cambridge,,,166,3,27,196
Canaan,,,26,0,1,27
Castleton,,,90,1,18,109
Cavendish,,,75,1,4,80
Charleston,,,22,0,5,27
Charlotte,,,359,5,74,438
Chelsea,,,86,2,26,114
Chester,,,172,3,11,186
Chittenden,,,60,1,19,80
Clarendon,,,65,1,10,76
Colchester,-,"Chittenden 9-1",384,8,73,465
Colchester,-,"Chittenden 9-2",499,8,164,671
Concord,,,43,0,5,48
Corinth,,,116,0,11,127
Cornwall,,,123,0,18,141
Coventry,,,34,0,3,37
Craftsbury,,,67,1,10,78
Danby,,,154,1,12,167
Danville,,,103,0,27,130
Derby,,,127,5,30,162
Dorset,,,74,1,9,84
