City/Town,Ward,Pct,"John Macgovern","H. Brooke Paige",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Addison,,,26,8,0,1,35
Albany,,,17,7,2,3,29
Alburgh,,,75,18,0,12,105
Andover,,,18,0,0,0,18
Arlington,,,16,9,0,2,27
Athens,,,8,1,0,2,11
Bakersfield,,,26,5,0,5,36
Baltimore,,,9,1,1,0,11
Barnard,,,26,3,0,1,30
Barnet,,,34,7,0,8,49
"Barre City",,,50,67,4,15,136
"Barre Town",,,57,116,2,12,187
Barton,,,15,7,6,7,35
Belvidere,,,5,4,0,0,9
Bennington,-,"Bennington 2-1",25,5,0,1,31
Bennington,-,"Bennington 2-2",19,8,1,15,43
Benson,,,18,4,0,1,23
Berkshire,,,49,7,1,16,73
Berlin,,,27,29,6,13,75
Bethel,,,18,1,1,2,22
Bloomfield,,,1,0,0,0,1
Bolton,,,6,5,3,0,14
Bradford,,,29,6,1,2,38
Braintree,,,11,2,0,2,15
Brandon,,,59,17,1,15,92
Brattleboro,-,"Windham 2-1",31,4,0,6,41
Brattleboro,-,"Windham 2-2",28,1,0,1,30
Brattleboro,-,"Windham 2-3",17,1,0,2,20
Bridgewater,,,10,0,0,1,11
Bridport,,,25,8,0,1,34
Brighton,,,18,8,0,7,33
Bristol,,,41,5,0,3,49
Brookfield,,,4,1,0,0,5
Brookline,,,13,1,0,0,14
Brownington,,,6,4,2,4,16
Brunswick,,,3,3,1,4,11
Burke,,,16,6,2,4,28
Burlington,-,"Chittenden 6-1",97,25,1,8,131
Burlington,-,"Chittenden 6-2",13,7,1,1,22
Burlington,-,"Chittenden 6-3",15,7,3,1,26
Burlington,-,"Chittenden 6-4",9,6,0,4,19
Burlington,-,"Chittenden 6-5",29,4,1,8,42
Burlington,-,"Chittenden 6-6",3,1,0,1,5
Burlington,-,"Chittenden 6-7",0,0,0,0,0
Cabot,,,7,5,0,2,14
Calais,,,13,7,0,2,22
Cambridge,,,28,13,2,5,48
Canaan,,,22,2,1,3,28
Castleton,,,37,6,1,5,49
Cavendish,,,37,7,1,9,54
Charleston,,,20,7,0,0,27
Charlotte,,,25,4,1,7,37
Chelsea,,,17,17,0,3,37
Chester,,,44,5,1,0,50
Chittenden,,,13,1,0,3,17
Clarendon,,,27,4,0,0,31
Colchester,-,"Chittenden 9-1",41,14,2,5,62
Colchester,-,"Chittenden 9-2",55,23,1,10,89
Concord,,,106,17,11,52,186
Corinth,,,13,8,0,5,26
Cornwall,,,9,3,0,1,13
Coventry,,,13,5,5,7,30
Craftsbury,,,14,4,1,7,26
Danby,,,69,22,1,17,109
Danville,,,15,12,0,6,33
Derby,,,30,15,8,13,66
Dorset,,,16,9,0,3,28
Dover,,,42,8,0,7,57
Dummerston,,,19,2,1,1,23
Duxbury,,,8,8,0,3,19
"E. Haven",,,5,2,0,0,7
