City/Town,Ward,Pct,"James C. Condos",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,56,0,13,69
Albany,,,28,0,11,39
Alburgh,,,118,0,52,170
Andover,,,30,0,6,36
Arlington,,,78,0,27,105
Athens,,,20,0,15,35
Bakersfield,,,71,0,21,92
Baltimore,,,3,0,0,3
Barnard,,,72,0,20,92
Barnet,,,64,0,12,76
"Barre City",,,334,2,80,416
"Barre Town",,,299,3,101,403
Barton,,,66,0,24,90
Belvidere,,,7,0,2,9
Bennington,-,"Bennington 2-1",395,1,183,579
Bennington,-,"Bennington 2-2",153,0,65,218
Benson,,,33,0,15,48
Berkshire,,,37,0,7,44
Berlin,,,98,0,52,150
Bethel,,,91,0,29,120
Bloomfield,,,6,0,3,9
Bolton,,,78,0,24,102
Bradford,,,84,0,23,107
Braintree,,,88,0,30,118
Brandon,,,149,0,41,190
Brattleboro,-,"Windham 2-1",265,0,90,355
Brattleboro,-,"Windham 2-2",267,1,92,360
Brattleboro,-,"Windham 2-3",489,1,197,687
Bridgewater,,,42,0,16,58
Bridport,,,54,0,19,73
Brighton,,,37,0,17,54
Bristol,,,163,0,44,207
Brookfield,,,121,0,37,158
Brookline,,,46,0,11,57
Brownington,,,21,0,8,29
Brunswick,,,5,0,6,11
Burke,,,33,0,19,52
Burlington,-,"Chittenden 6-1",939,5,253,"1,197"
Burlington,-,"Chittenden 6-2",472,1,145,618
Burlington,-,"Chittenden 6-3",411,3,129,543
Burlington,-,"Chittenden 6-4",418,1,44,463
Burlington,-,"Chittenden 6-5","1,061",6,314,"1,381"
Burlington,-,"Chittenden 6-6",123,0,33,156
Burlington,-,"Chittenden 6-7",15,0,4,19
Cabot,,,53,0,31,84
Calais,,,132,0,46,178
Cambridge,,,135,0,62,197
Canaan,,,19,0,8,27
Castleton,,,77,0,32,109
Cavendish,,,56,0,24,80
Charleston,,,18,0,9,27
Charlotte,,,323,0,115,438
Chelsea,,,77,0,38,115
Chester,,,158,1,27,186
Chittenden,,,53,0,27,80
Clarendon,,,53,0,23,76
Colchester,-,"Chittenden 9-1",338,2,125,465
Colchester,-,"Chittenden 9-2",462,0,213,675
