City/Town,Ward,Pct,"Dick Sears","Bob Hartwell",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Arlington,,,91,80,0,38,209
Bennington,-,"Bennington 2-1",467,329,1,361,"1,158"
Bennington,-,"Bennington 2-2",178,157,1,100,436
Dorset,,,65,69,0,33,167
Landgrove,,,11,14,0,13,38
Manchester,,,112,113,0,77,302
Peru,,,20,25,0,15,60
Pownal,,,110,84,2,66,262
Readsboro,,,19,20,0,13,52
Rupert,,,30,28,0,12,70
Sandgate,,,23,21,0,6,50
Searsburg,,,3,4,0,13,20
Shaftsbury,,,155,139,0,68,362
Stamford,,,36,29,0,25,90
Sunderland,-,"Bennington 3",5,7,0,2,14
Sunderland,-,"Bennington 4",21,24,0,11,56
Wilmington,,,54,45,0,51,150
Winhall,,,31,33,0,24,88
Woodford,,,23,21,0,12,56
TOTALS,,,"1,454","1,242",4,940,"3,640"
