City/Town,Ward,Pct,"Tim Ashe","Virginia Lyons","Sally Fox","David Zuckerman","Philip Baruth","Debbie Ingram","Peter D. Hunt","Ed Adrian","Loyal Ploof",Write-Ins,Blanks,"Total Votes Cast"
,,,,,,,,,,,
Bolton,,,72,69,65,60,42,44,36,25,14,0,179,606
Burlington,-,"Chittenden 6-1",913,716,733,603,722,365,410,550,253,22,"1,895","7,182"
Burlington,-,"Chittenden 6-2",459,388,371,351,354,204,179,229,98,27,"1,048","3,708"
Burlington,-,"Chittenden 6-3",419,309,288,358,301,177,110,200,103,18,972,"3,255"
Burlington,-,"Chittenden 6-4",386,324,308,350,301,179,124,198,85,10,813,"3,078"
Burlington,-,"Chittenden 6-5","1,054",910,893,877,831,430,246,459,212,18,"2,332","8,262"
Burlington,-,"Chittenden 6-6",115,100,104,95,100,52,31,63,14,2,260,936
Burlington,-,"Chittenden 6-7",12,11,11,12,7,2,1,6,0,2,50,114
Charlotte,,,300,323,281,279,261,162,85,73,31,5,816,"2,616"
Essex,-,"Chittenden 8-1",342,337,348,272,207,187,345,114,48,19,"1,033","3,252"
Essex,-,"Chittenden 8-2",450,454,451,326,305,250,626,103,54,14,"1,431","4,464"
Essex,-,"Chittenden 8-3",113,129,126,103,99,52,110,29,16,1,272,"1,050"
Hinesburg,-,"Chittenden 4-1",1,1,1,1,0,0,1,0,0,0,1,6
Hinesburg,-,"Chittenden 4-2",295,314,306,342,221,205,88,78,30,6,689,"2,574"
Jericho,,,324,361,334,303,263,198,226,88,46,4,876,"3,023"
Milton,-,"Chittenden 10",250,266,245,202,153,160,159,109,72,7,999,"2,622"
Milton,-,"Grand Isle-Chittenden",49,55,51,41,37,37,25,31,14,6,194,540
Richmond,,,353,372,322,335,270,225,178,117,44,6,793,"3,015"
Shelburne,-,"Chittenden 5-1",359,383,357,350,278,233,140,110,44,7,932,"3,193"
Shelburne,-,"Chittenden 5-2",235,259,234,209,176,144,99,82,41,8,715,"2,202"
"S. Burlington",-,"Chittenden 7-1",402,445,470,362,343,260,171,147,67,16,"1,396","4,079"
"S. Burlington",-,"Chittenden 7-2",350,359,379,308,257,198,158,134,63,19,"1,109","3,334"
"S. Burlington",-,"Chittenden 7-3",349,316,334,284,233,202,159,138,68,14,734,"2,831"
"S. Burlington",-,"Chittenden 7-4",360,341,375,307,242,205,198,152,75,11,962,"3,228"
"St. George",,,33,47,34,39,22,32,17,13,2,0,109,348
Underhill,,,206,232,211,203,175,126,142,63,32,8,580,"1,978"
Westford,,,114,114,104,100,68,62,86,32,21,4,249,954
Williston,,,541,671,535,454,375,527,271,171,80,10,"1,435","5,070"
Winooski,,,294,267,287,312,216,150,174,115,69,11,961,"2,856"
TOTALS,,,"9,150","8,873","8,558","7,838","6,859","5,068","4,595","3,629","1,696",275,"23,835","80,376"
