City/Town,Ward,Pct,"Robert A. Starr","John S. Rodgers","James Guyette",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Albany,,,24,27,5,4,18,78
Barton,,,44,71,18,13,34,180
Bloomfield,,,3,3,4,0,8,18
Brighton,,,27,24,21,1,35,108
Brownington,,,13,17,12,0,14,56
Brunswick,,,3,4,2,0,13,22
Canaan,,,12,10,18,0,14,54
Charleston,,,12,19,10,0,13,54
Concord,,,19,23,14,1,39,96
Coventry,,,26,23,11,1,13,74
Craftsbury,,,39,59,16,2,40,156
Derby,,,111,72,69,21,54,327
"E. Haven",,,7,7,6,0,14,34
Glover,,,59,94,19,4,50,226
Granby,,,2,2,2,0,8,14
Greensboro,,,28,60,14,0,50,152
Guildhall,,,8,10,7,1,20,46
Holland,,,11,13,8,1,11,44
Irasburg,,,24,18,3,5,12,62
Jay,,,20,7,9,1,13,50
Lemington,,,0,1,1,0,2,4
Lowell,,,29,19,11,5,20,84
Lunenburg,,,12,16,24,3,35,90
Maidstone,,,1,4,1,0,8,14
Montgomery,,,51,28,25,4,64,172
Morgan,,,27,19,18,2,16,82
"Newport City",,,117,74,63,8,57,319
"Newport Town",,,30,23,14,4,11,82
Norton,,,6,4,4,0,6,20
Richford,,,53,26,35,1,35,150
Troy,-,"Orleans 2",12,6,2,0,10,30
Troy,-,Orleans-Lamoille,67,28,16,8,49,168
Victory,,,6,5,1,0,2,14
Westfield,,,30,18,10,4,18,80
Westmore,,,15,16,4,0,9,44
Wolcott,,,28,35,25,2,56,146
TOTALS,,,976,885,522,96,871,"3,350"
