City/Town,Ward,Pct,"Donald Collins","Caroline Bright",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Alburgh,,,112,88,2,140,342
Bakersfield,,,64,51,6,63,184
Berkshire,,,29,25,14,20,88
Enosburgh,,,45,47,4,60,156
Fairfax,,,123,99,13,117,352
Fairfield,,,124,97,32,147,400
Fletcher,,,48,47,1,53,149
Franklin,,,47,41,19,39,146
Georgia,,,99,120,8,111,338
Highgate,,,59,48,15,66,188
Sheldon,,,38,35,23,44,140
"St. Albans City",,,266,250,65,197,778
"St. Albans Town",-,"Franklin 3-1",72,79,9,50,210
"St. Albans Town",-,"Franklin 3-2",112,112,23,115,362
Swanton,,,194,131,23,172,520
TOTALS,,,"1,432","1,270",257,"1,394","4,353"
