City/Town,Ward,Pct,"Bill Carris",Write-Ins,Blanks,"Total Votes Cast"
,,,
Benson,,,33,0,111,144
Brandon,,,152,17,401,570
Castleton,,,81,15,231,327
Chittenden,,,59,2,179,240
Clarendon,,,60,1,167,228
Danby,,,140,6,355,501
"Fair Haven",,,56,11,161,228
Hubbardton,,,10,0,41,51
Ira,,,20,3,40,63
Killington,,,45,3,183,231
Mendon,,,52,7,178,237
"Middletown Springs",,,36,0,93,129
"Mount Tabor",,,12,4,29,45
Pawlet,,,48,5,127,180
Pittsfield,,,20,0,67,87
Pittsford,,,88,17,225,330
Poultney,,,61,7,148,216
Proctor,,,62,5,67,134
"Rutland City",-,"Rutland 5-1",210,35,598,843
"Rutland City",-,"Rutland 5-2",125,21,334,480
"Rutland City",-,"Rutland 5-3",90,5,239,334
"Rutland City",-,"Rutland 5-4",136,9,377,522
"Rutland Town",,,169,23,468,660
Shrewsbury,,,63,1,161,225
Sudbury,,,16,0,50,66
Tinmouth,-,"Rutland 2",15,0,39,54
Tinmouth,-,Rutland-Bennington,32,1,75,108
Wallingford,,,94,5,225,324
Wells,,,22,1,73,96
"W. Haven",,,5,2,11,18
"W. Rutland",,,53,4,135,192
TOTALS,,,"2,065",210,"5,588","7,863"
