City/Town,Ward,Pct,"Jeanette White","Peter W. Galbraith","Mary Cain",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Athens,,,18,15,9,0,28,70
Brattleboro,-,"Windham 2-1",286,244,86,0,94,710
Brattleboro,-,"Windham 2-2",285,249,89,2,95,720
Brattleboro,-,"Windham 2-3",524,445,137,1,267,"1,374"
Brookline,,,39,46,7,0,20,112
Dover,,,54,50,21,0,51,176
Dummerston,,,208,182,33,3,44,470
Grafton,,,73,95,12,1,95,276
Guilford,,,104,88,24,0,22,238
Halifax,,,19,13,4,0,10,46
Jamaica,,,38,47,7,0,20,112
Marlboro,,,110,112,18,0,34,274
Newfane,,,124,133,22,0,53,332
Putney,,,208,166,34,0,40,448
Rockingham,,,565,492,205,1,567,"1,830"
Stratton,,,4,6,3,0,1,14
Townshend,,,44,50,9,1,22,126
Vernon,,,50,39,30,2,49,170
Wardsboro,,,29,38,6,0,13,86
Westminster,-,"Windham 3",19,12,8,0,11,50
Westminster,-,"Windham 4",204,147,55,0,60,466
Whitingham,-,"Windham 6",37,33,5,0,23,98
Whitingham,-,Windham-Bennington,1,1,0,0,0,2
Windham,,,41,55,14,0,38,148
TOTALS,,,"3,084","2,758",838,11,"1,657","8,348"
