City/Town,Ward,Pct,"Richard Jeroloman",Write-Ins,Blanks,"Total Votes Cast"
,,,
Burlington,-,"Chittenden 6-1",2,2,20,24
Burlington,-,"Chittenden 6-2",5,15,34,54
Burlington,-,"Chittenden 6-3",20,58,126,204
Burlington,-,"Chittenden 6-4",7,17,60,84
Burlington,-,"Chittenden 6-5",8,14,44,66
Burlington,-,"Chittenden 6-6",0,0,0,0
Burlington,-,"Chittenden 6-7",0,0,0,0
Charlotte,,,3,9,54,66
Essex,-,"Chittenden 8-1",2,4,6,12
Essex,-,"Chittenden 8-2",3,7,8,18
Essex,-,"Chittenden 8-3",0,0,24,24
Hinesburg,-,"Chittenden 4-1",0,0,0,0
Hinesburg,-,"Chittenden 4-2",3,13,14,30
Jericho,,,2,4,18,24
Milton,-,"Chittenden 10",1,1,17,19
Milton,-,"Grand Isle-Chittenden",0,0,0,0
Richmond,,,0,1,5,6
Shelburne,-,"Chittenden 5-1",1,7,4,12
Shelburne,-,"Chittenden 5-2",2,1,9,12
"S. Burlington",-,"Chittenden 7-1",1,2,21,24
"S. Burlington",-,"Chittenden 7-2",3,10,35,48
"S. Burlington",-,"Chittenden 7-3",1,2,0,3
"S. Burlington",-,"Chittenden 7-4",1,0,17,18
Underhill,,,3,6,21,30
Westford,,,1,2,3,6
Williston,,,2,4,35,41
Winooski,,,13,26,57,96
TOTALS,,,84,205,632,921
