City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
,,
Benson,,,-,0,3,3
Castleton,,,-,0,15,15
Clarendon,,,-,0,12,12
Danby,,,-,1,23,24
Hubbardton,,,-,0,12,12
Ira,,,-,3,18,21
Mendon,,,-,0,6,6
"Middletown Springs",,,-,1,11,12
Pawlet,,,-,0,3,3
Pittsfield,,,-,0,3,3
Pittsford,,,-,1,47,48
Poultney,,,-,4,8,12
Proctor,,,-,0,9,9
"Rutland City",-,"Rutland 5-1",-,0,9,9
"Rutland City",-,"Rutland 5-2",-,1,5,6
"Rutland City",-,"Rutland 5-3",-,4,2,6
"Rutland City",-,"Rutland 5-4",-,0,0,0
"Rutland Town",,,-,0,12,12
Tinmouth,-,"Rutland 2",-,0,0,0
Tinmouth,-,Rutland-Bennington,-,0,21,21
Wallingford,,,-,1,14,15
Wells,,,-,0,1,1
"W. Rutland",,,-,8,13,21
TOTALS,,,-,24,247,271
