City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
,,
Athens,,,-,0,4,4
Brattleboro,-,"Windham 2-1",-,5,7,12
Brattleboro,-,"Windham 2-2",-,0,12,12
Brattleboro,-,"Windham 2-3",-,11,15,26
Brookline,,,-,0,2,2
Dover,,,-,0,8,8
Dummerston,,,-,4,10,14
Grafton,,,-,0,1,1
Halifax,,,-,0,2,2
Marlboro,,,-,3,7,10
Newfane,,,-,0,1,1
Putney,,,-,7,5,12
Rockingham,,,-,2,6,8
Townshend,,,-,1,3,4
Vernon,,,-,0,6,6
Westminster,-,"Windham 3",-,0,0,0
Westminster,-,"Windham 4",-,3,11,14
Whitingham,-,"Windham 6",-,0,2,2
Whitingham,-,Windham-Bennington,-,0,0,0
Windham,,,-,0,1,1
TOTALS,,,-,36,103,139
