City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
,,
Addison,,,-,4,66,70
Bridport,,,-,5,63,68
Bristol,,,-,5,93,98
Cornwall,,,-,0,26,26
Ferrisburgh,,,-,2,62,64
Goshen,,,-,3,19,22
Granville,,,-,2,2,4
Hancock,,,-,0,4,4
Huntington,,,-,1,39,40
Leicester,,,-,5,27,32
Lincoln,,,-,2,46,48
Middlebury,,,-,6,92,98
Monkton,,,-,2,30,32
"New Haven",,,-,8,63,71
Orwell,,,-,10,64,74
Panton,,,-,4,24,28
Ripton,,,-,1,17,18
Salisbury,,,-,0,22,22
Shoreham,,,-,3,27,30
Starksboro,,,-,3,61,64
Vergennes,,,-,4,52,56
Waltham,,,-,2,2,4
Weybridge,,,-,2,20,22
Whiting,,,-,4,28,32
TOTALS,,,-,78,949,"1,027"
