City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
,,
Arlington,,,-,2,51,53
Bennington,-,"Bennington 2-1",-,7,55,62
Bennington,-,"Bennington 2-2",-,3,83,86
Dorset,,,-,3,53,56
Landgrove,,,-,0,4,4
Manchester,,,-,4,104,108
Peru,,,-,0,32,32
Pownal,,,-,2,49,51
Readsboro,,,-,0,34,34
Rupert,,,-,1,25,26
Sandgate,,,-,2,10,12
Searsburg,,,-,0,6,6
Shaftsbury,,,-,6,60,66
Stamford,,,-,2,20,22
Sunderland,-,"Bennington 3",-,0,0,0
Sunderland,-,"Bennington 4",-,0,14,14
Wilmington,,,-,1,57,58
Winhall,,,-,2,32,34
Woodford,,,-,0,2,2
TOTALS,,,-,35,691,726
