City/Town,Ward,Pct,"Diane B. Snelling","Shelley Palmer",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Bolton,,,11,11,9,53,84
Burlington,-,"Chittenden 6-1",95,95,18,578,786
Burlington,-,"Chittenden 6-2",19,13,4,96,132
Burlington,-,"Chittenden 6-3",17,17,12,111,157
Burlington,-,"Chittenden 6-4",13,7,7,87,114
Burlington,-,"Chittenden 6-5",32,27,12,175,246
Burlington,-,"Chittenden 6-6",3,3,0,24,30
Burlington,-,"Chittenden 6-7",0,0,0,0,0
Charlotte,,,27,28,1,166,222
Essex,-,"Chittenden 8-1",61,54,9,344,468
Essex,-,"Chittenden 8-2",57,57,7,341,462
Essex,-,"Chittenden 8-3",16,17,1,122,156
Hinesburg,-,"Chittenden 4-1",0,0,0,0,0
Hinesburg,-,"Chittenden 4-2",19,20,4,143,186
Jericho,,,68,64,20,394,546
Milton,-,"Chittenden 10",127,122,4,"2,369","2,622"
Milton,-,"Grand Isle-Chittenden",22,23,3,120,168
Richmond,,,43,36,0,275,354
Shelburne,-,"Chittenden 5-1",81,72,9,414,576
Shelburne,-,"Chittenden 5-2",55,48,5,312,420
"S. Burlington",-,"Chittenden 7-1",41,38,18,203,300
"S. Burlington",-,"Chittenden 7-2",64,60,19,355,498
"S. Burlington",-,"Chittenden 7-3",36,36,21,219,312
"S. Burlington",-,"Chittenden 7-4",59,59,11,345,474
"St. George",,,8,4,5,31,48
Underhill,,,34,37,3,198,272
Westford,,,14,17,6,77,114
Williston,,,91,85,10,504,690
Winooski,,,33,26,3,202,264
TOTALS,,,"1,146","1,076",221,"8,258","10,701"
