City/Town,Ward,Pct,"Norm McAllister","Dustin Allard Degree","Joe Sinagra",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Alburgh,,,68,52,27,1,62,210
Bakersfield,,,30,18,10,0,14,72
Berkshire,,,63,49,15,0,19,146
Enosburgh,,,65,50,15,0,28,158
Fairfax,,,77,80,31,3,33,224
Fairfield,,,25,18,12,0,11,66
Fletcher,,,11,10,6,0,5,32
Franklin,,,62,46,10,7,23,148
Georgia,,,102,100,44,1,47,294
Highgate,,,122,86,18,3,69,298
Sheldon,,,37,37,8,0,10,92
"St. Albans City",,,199,264,51,13,91,618
"St. Albans Town",-,"Franklin 3-1",70,77,52,2,45,246
"St. Albans Town",-,"Franklin 3-2",127,166,73,3,51,420
Swanton,,,186,183,53,6,54,482
TOTALS,,,"1,244","1,236",425,39,562,"3,506"
