City/Town,Ward,Pct,"Peg Flory","Kevin J. Mullin",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Benson,,,24,19,0,29,72
Brandon,,,74,59,2,141,276
Castleton,,,42,40,8,57,147
Chittenden,,,12,10,1,28,51
Clarendon,,,29,24,3,37,93
Danby,,,82,83,5,160,330
"Fair Haven",,,46,45,4,64,159
Hubbardton,,,14,14,0,20,48
Ira,,,9,6,0,21,36
Killington,,,11,10,0,27,48
Mendon,,,17,15,2,35,69
"Middletown Springs",,,17,15,2,29,63
"Mount Tabor",,,0,0,0,3,3
Pawlet,,,21,18,1,29,69
Pittsfield,,,4,5,0,6,15
Pittsford,,,54,34,5,75,168
Poultney,,,29,34,0,57,120
Proctor,,,8,7,1,23,39
"Rutland City",-,"Rutland 5-1",39,36,7,86,168
"Rutland City",-,"Rutland 5-2",45,39,1,98,183
"Rutland City",-,"Rutland 5-3",17,15,2,44,78
"Rutland City",-,"Rutland 5-4",44,40,3,66,153
"Rutland Town",,,108,100,14,204,426
Shrewsbury,,,23,20,3,38,84
Sudbury,,,15,11,1,30,57
Tinmouth,-,"Rutland 2",1,1,0,4,6
Tinmouth,-,Rutland-Bennington,7,5,1,11,24
Wallingford,,,24,27,1,59,111
Wells,,,9,8,0,22,39
"W. Haven",,,6,6,0,9,21
"W. Rutland",,,29,22,0,45,96
TOTALS,,,860,768,67,"1,557","3,252"
