City/Town,Ward,Pct,"William Bill Doyle","Bernard Barnett","Dexter Lefavour",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
"Barre City",,,114,103,88,2,101,408
"Barre Town",,,165,141,128,6,121,561
Berlin,,,63,48,47,4,63,225
Cabot,,,10,9,8,0,15,42
Calais,,,16,16,15,0,19,66
Duxbury,,,16,14,15,0,12,57
"E. Montpelier",,,37,34,34,1,32,138
Fayston,,,9,8,6,0,13,36
Marshfield,,,15,10,8,1,17,51
Middlesex,,,20,12,18,1,33,84
Montpelier,,,63,48,44,1,75,231
Moretown,,,26,20,19,2,23,90
Northfield,,,51,41,40,0,45,177
Plainfield,,,9,8,8,1,4,30
Roxbury,,,9,6,7,1,7,30
Waitsfield,,,22,17,21,0,21,81
Warren,,,7,8,8,0,25,48
Waterbury,,,43,34,35,0,35,147
Woodbury,,,21,17,16,0,27,81
Worcester,,,9,5,3,0,13,30
TOTALS,,,725,599,568,20,701,"2,613"
