City/Town,Ward,Pct,"Dick Tracy","Paul E. Gibbs","Jeff Whittemore",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Andover,,,17,16,16,0,5,54
Baltimore,,,9,10,10,0,1,30
Barnard,,,27,16,15,0,32,90
Bethel,,,20,16,16,4,10,66
Bridgewater,,,9,5,5,0,14,33
Cavendish,,,34,34,37,0,57,162
Chester,,,32,35,38,2,43,150
Hartford,-,"Windsor 4-1",13,12,12,0,5,42
Hartford,-,"Windsor 4-2",58,52,48,3,31,192
Hartland,,,39,33,34,2,42,150
Londonderry,,,9,11,7,1,17,45
Ludlow,,,28,25,23,3,20,99
"Mount Holly",,,23,23,18,0,41,105
Norwich,,,29,24,25,0,33,111
Plymouth,,,15,12,13,2,18,60
Pomfret,,,13,9,8,0,15,45
Reading,,,7,7,6,0,10,30
Rochester,,,13,9,8,0,27,57
Royalton,,,22,30,17,0,54,123
Sharon,,,27,10,11,1,32,81
Springfield,-,"Windsor 3-1",1,1,2,2,0,6
Springfield,-,"Windsor 3-2",64,70,72,6,40,252
Stockbridge,,,13,6,6,0,17,42
Weathersfield,,,29,29,34,1,36,129
"W. Windsor",,,14,13,14,5,17,63
Weston,,,11,12,12,0,19,54
Windsor,,,32,25,30,0,39,126
Woodstock,,,63,34,35,2,79,213
TOTALS,,,671,579,572,34,754,"2,610"
