City/Town,Ward,Pct,"Beth Pearce",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,53,0,16,69
Albany,,,25,0,14,39
Alburgh,,,109,1,61,171
Andover,,,29,0,7,36
Arlington,,,80,0,25,105
Athens,,,17,0,18,35
Bakersfield,,,68,1,23,92
Baltimore,,,3,0,0,3
Barnard,,,70,0,22,92
Barnet,,,59,1,16,76
"Barre City",,,321,8,87,416
"Barre Town",,,289,4,110,403
Barton,,,62,2,26,90
Belvidere,,,6,0,3,9
Bennington,-,"Bennington 2-1",392,0,187,579
Bennington,-,"Bennington 2-2",154,1,63,218
Benson,,,32,0,16,48
Berkshire,,,36,1,7,44
Berlin,,,93,3,54,150
Bethel,,,84,0,36,120
Bloomfield,,,6,0,3,9
Bolton,,,78,0,24,102
Bradford,,,80,0,27,107
Braintree,,,82,0,36,118
Brandon,,,145,5,40,190
Brattleboro,-,"Windham 2-1",251,5,99,355
Brattleboro,-,"Windham 2-2",255,8,97,360
Brattleboro,-,"Windham 2-3",459,4,223,686
Bridgewater,,,36,4,18,58
Bridport,,,50,0,23,73
Brighton,,,38,0,16,54
Bristol,,,149,2,56,207
Brookfield,,,114,1,44,159
Brookline,,,43,0,14,57
Brownington,,,20,1,8,29
Brunswick,,,3,0,8,11
Burke,,,29,0,23,52
Burlington,-,"Chittenden 6-1",856,8,333,"1,197"
Burlington,-,"Chittenden 6-2",416,8,194,618
Burlington,-,"Chittenden 6-3",370,9,164,543
Burlington,-,"Chittenden 6-4",377,4,132,513
Burlington,-,"Chittenden 6-5",965,7,409,"1,381"
Burlington,-,"Chittenden 6-6",102,2,52,156
Burlington,-,"Chittenden 6-7",10,2,7,19
Cabot,,,54,1,29,84
Calais,,,126,0,52,178
Cambridge,,,128,1,68,197
Canaan,,,19,0,8,27
Castleton,,,69,2,38,109
Cavendish,,,57,1,22,80
Charleston,,,17,0,10,27
Charlotte,,,291,1,146,438
Chelsea,,,73,1,40,114
Chester,,,155,3,28,186
Chittenden,,,46,2,32,80
Clarendon,,,54,0,22,76
Colchester,-,"Chittenden 9-1",298,3,164,465
Colchester,-,"Chittenden 9-2",406,1,268,675
Concord,,,36,1,11,48
Corinth,,,94,1,33,128
Cornwall,,,99,1,41,141
Coventry,,,26,0,11,37
Craftsbury,,,53,3,22,78
Danby,,,113,1,53,167
Danville,,,85,1,44,130
Derby,,,92,6,66,164
Dorset,,,65,0,19,84
Dover,,,57,0,31,88
Dummerston,,,177,5,53,235
Duxbury,,,83,1,53,137
"E. Haven",,,13,0,4,17
"E. Montpelier",,,193,2,80,275
Eden,,,23,1,11,35
Elmore,,,42,1,25,68
Enosburgh,,,54,0,21,75
Essex,-,"Chittenden 8-1",354,6,182,542
Essex,-,"Chittenden 8-2",450,4,290,744
Essex,-,"Chittenden 8-3",119,0,56,175
"Fair Haven",,,46,2,28,76
Fairfax,,,135,0,41,176
Fairfield,,,136,0,64,200
Fairlee,,,40,0,20,60
Fayston,,,50,1,16,67
Ferrisburgh,,,136,0,52,188
Fletcher,,,52,1,22,75
Franklin,,,54,2,17,73
Georgia,,,122,1,46,169
Glover,,,69,2,42,113
Goshen,,,16,0,5,21
Grafton,,,95,0,44,139
Granby,,,4,0,3,7
"Grand Isle",,,131,2,51,184
Granville,,,17,0,4,21
Greensboro,,,38,1,37,76
Groton,,,22,0,14,36
Guildhall,,,19,0,4,23
Guilford,,,96,0,23,119
Halifax,,,15,0,8,23
Hancock,,,8,0,5,13
Hardwick,,,87,1,58,146
Hartford,-,"Windsor 4-1",50,0,19,69
Hartford,-,"Windsor 4-2",224,3,49,276
Hartland,,,164,0,54,218
Highgate,,,71,0,23,94
Hinesburg,-,"Chittenden 4-1",1,0,0,1
Hinesburg,-,"Chittenden 4-2",286,2,141,429
Holland,,,11,1,10,22
Hubbardton,,,9,0,8,17
Huntington,,,149,2,62,213
"Hyde Park",,,71,6,63,140
Ira,,,17,0,4,21
Irasburg,,,22,1,8,31
"Isle La Motte",,,33,0,15,48
Jamaica,,,34,1,21,56
