City/Town,Ward,Pct,"Don Schramm",Write-Ins,Blanks,"Total Votes Cast"
,,,
Albany,,,3,1,3,7
Alburgh,,,1,0,1,2
Andover,,,1,0,0,1
Athens,,,0,0,2,2
Bakersfield,,,0,0,1,1
Barnard,,,1,0,0,1
Barnet,,,2,1,1,4
"Barre City",,,6,1,2,9
"Barre Town",,,0,1,0,1
Barton,,,1,0,2,3
Bennington,-,"Bennington 2-1",3,0,1,4
Bennington,-,"Bennington 2-2",2,0,1,3
Benson,,,0,0,1,1
Berlin,,,0,1,2,3
Bethel,,,0,0,2,2
Brattleboro,-,"Windham 2-1",3,2,1,6
Brattleboro,-,"Windham 2-2",4,0,2,6
Brattleboro,-,"Windham 2-3",6,3,4,13
Bridgewater,,,0,0,1,1
Bridport,,,1,0,1,2
Brighton,,,0,0,1,1
Bristol,,,2,0,1,3
Brookline,,,0,0,1,1
Burke,,,2,0,1,3
Burlington,-,"Chittenden 6-1",2,0,2,4
Burlington,-,"Chittenden 6-2",6,0,3,9
Burlington,-,"Chittenden 6-3",26,2,6,34
Burlington,-,"Chittenden 6-4",10,0,4,14
Burlington,-,"Chittenden 6-5",7,0,4,11
Burlington,-,"Chittenden 6-6",0,0,0,0
Burlington,-,"Chittenden 6-7",0,0,0,0
Cabot,,,2,0,2,4
Calais,,,9,2,3,14
Cambridge,,,0,1,0,1
Canaan,,,1,0,0,1
Castleton,,,3,0,2,5
Charleston,,,2,0,0,2
Charlotte,,,3,0,8,11
Chelsea,,,1,0,0,1
Chester,,,1,0,0,1
Clarendon,,,2,0,2,4
Colchester,-,"Chittenden 9-1",0,0,0,0
Colchester,-,"Chittenden 9-2",1,0,0,1
Concord,,,2,0,4,6
Corinth,,,4,0,4,8
Cornwall,,,0,0,2,2
Coventry,,,1,0,0,1
Craftsbury,,,9,1,26,36
Danby,,,4,0,4,8
Danville,,,0,0,2,2
Derby,,,7,2,1,10
Dorset,,,1,0,1,2
Dover,,,2,0,2,4
Dummerston,,,2,1,4,7
Duxbury,,,1,0,2,3
"E. Haven",,,0,0,1,1
"E. Montpelier",,,4,0,1,5
Eden,,,0,0,3,3
Elmore,,,3,0,1,4
Enosburgh,,,15,0,7,22
Essex,-,"Chittenden 8-1",2,0,0,2
Essex,-,"Chittenden 8-2",3,0,0,3
Essex,-,"Chittenden 8-3",1,0,3,4
Fairfax,,,2,0,1,3
Fairfield,,,0,0,2,2
Fayston,,,1,0,0,1
Ferrisburgh,,,2,0,1,3
Fletcher,,,2,0,1,3
Franklin,,,2,0,4,6
Glover,,,3,0,3,6
Grafton,,,1,0,0,1
"Grand Isle",,,3,0,0,3
Greensboro,,,4,0,2,6
Groton,,,1,0,0,1
Halifax,,,1,0,0,1
Hancock,,,2,0,0,2
Hardwick,,,4,0,6,10
Hartford,-,"Windsor 4-1",2,0,0,2
Hartford,-,"Windsor 4-2",7,1,1,9
Hartland,,,1,0,2,3
Highgate,,,1,0,0,1
Hinesburg,-,"Chittenden 4-1",0,0,0,0
Hinesburg,-,"Chittenden 4-2",4,0,1,5
Holland,,,0,0,1,1
Hubbardton,,,1,0,3,4
Huntington,,,2,0,2,4
"Hyde Park",,,1,0,0,1
Ira,,,1,0,6,7
Irasburg,,,1,0,4,5
