City/Town,Ward,Pct,"Wendy Wilton",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,32,0,3,35
Albany,,,21,1,9,31
Alburgh,,,83,0,22,105
Andover,,,17,0,1,18
Arlington,,,25,0,2,27
Athens,,,9,0,2,11
Bakersfield,,,26,0,10,36
Baltimore,,,10,0,0,10
Barnard,,,26,0,4,30
Barnet,,,41,0,8,49
"Barre City",,,115,2,19,136
"Barre Town",,,162,1,24,187
Barton,,,27,0,8,35
Belvidere,,,9,0,0,9
Bennington,-,"Bennington 2-1",25,0,6,31
Bennington,-,"Bennington 2-2",35,0,8,43
Benson,,,23,0,1,24
Berkshire,,,53,1,19,73
Berlin,,,55,4,16,75
Bethel,,,18,1,3,22
Bloomfield,,,1,0,0,1
Bolton,,,13,0,1,14
Bradford,,,34,0,4,38
Braintree,,,12,0,3,15
Brandon,,,77,0,15,92
Brattleboro,-,"Windham 2-1",34,1,6,41
Brattleboro,-,"Windham 2-2",27,1,2,30
Brattleboro,-,"Windham 2-3",18,0,2,20
Bridgewater,,,10,0,1,11
Bridport,,,30,0,4,34
Brighton,,,22,1,10,33
Bristol,,,45,1,2,48
Brookfield,,,5,0,0,5
Brookline,,,12,0,2,14
Brownington,,,10,1,5,16
Brunswick,,,8,0,3,11
Burke,,,26,0,2,28
Burlington,-,"Chittenden 6-1",107,0,24,131
Burlington,-,"Chittenden 6-2",19,0,3,22
Burlington,-,"Chittenden 6-3",19,0,7,26
Burlington,-,"Chittenden 6-4",14,0,5,19
Burlington,-,"Chittenden 6-5",31,0,11,42
Burlington,-,"Chittenden 6-6",3,0,2,5
Burlington,-,"Chittenden 6-7",0,0,0,0
Cabot,,,10,0,4,14
Calais,,,18,0,4,22
Cambridge,,,41,0,7,48
Canaan,,,19,0,9,28
Castleton,,,42,0,7,49
Cavendish,,,48,0,6,54
Charleston,,,25,0,2,27
Charlotte,,,29,1,7,37
Chelsea,,,34,0,6,40
Chester,,,43,0,7,50
Chittenden,,,17,0,0,17
Clarendon,,,30,0,1,31
Colchester,-,"Chittenden 9-1",51,0,11,62
Colchester,-,"Chittenden 9-2",71,0,18,89
Concord,,,99,1,86,186
Corinth,,,21,1,4,26
Cornwall,,,11,0,2,13
Coventry,,,21,0,9,30
Craftsbury,,,20,0,7,27
Danby,,,93,0,17,110
Danville,,,26,1,7,34
Derby,,,51,1,14,66
Dorset,,,27,0,1,28
Dover,,,47,0,10,57
Dummerston,,,20,0,3,23
Duxbury,,,16,0,3,19
"E. Haven",,,6,0,1,7
"E. Montpelier",,,36,0,10,46
Eden,,,8,0,4,12
Elmore,,,8,0,5,13
Enosburgh,,,46,3,30,79
Essex,-,"Chittenden 8-1",61,0,17,78
Essex,-,"Chittenden 8-2",61,2,14,77
Essex,-,"Chittenden 8-3",17,0,9,26
"Fair Haven",,,48,0,5,53
Fairfax,,,77,1,34,112
Fairfield,,,24,0,9,33
Fairlee,,,17,1,4,22
Fayston,,,9,0,3,12
Ferrisburgh,,,32,0,0,32
Fletcher,,,12,0,4,16
Franklin,,,46,0,28,74
Georgia,,,105,0,43,148
Glover,,,23,1,3,27
Goshen,,,11,0,0,11
Grafton,,,24,0,3,27
Granby,,,14,0,5,19
"Grand Isle",,,35,0,3,38
Granville,,,2,0,0,2
Greensboro,,,13,0,0,13
Groton,,,25,0,1,26
Guildhall,,,26,0,22,48
Guilford,,,16,1,2,19
Halifax,,,15,0,2,17
Hancock,,,2,0,0,2
Hardwick,,,16,1,2,19
Hartford,-,"Windsor 4-1",13,0,1,14
Hartford,-,"Windsor 4-2",57,2,5,64
Hartland,,,42,0,8,50
Highgate,,,108,3,26,137
Hinesburg,-,"Chittenden 4-1",0,0,0,0
Hinesburg,-,"Chittenden 4-2",22,0,9,31
Holland,,,8,0,3,11
Hubbardton,,,15,0,1,16
Huntington,,,17,0,3,20
"Hyde Park",,,26,1,10,37
Ira,,,12,0,0,12
Irasburg,,,18,2,6,26
"Isle La Motte",,,6,0,3,9
Jamaica,,,8,0,2,10
Jay,,,10,0,0,10
Jericho,,,77,0,14,91
Johnson,,,21,0,14,35
Killington,,,14,0,2,16
Kirby,,,28,0,12,40
Landgrove,,,1,0,1,2
Leicester,,,14,0,2,16
Lemington,,,2,0,3,5
Lincoln,,,20,0,4,24
Londonderry,,,14,0,1,15
Lowell,,,17,1,9,27
Ludlow,,,30,0,3,33
Lunenburg,,,121,3,56,180
Lyndon,,,84,0,13,97
Maidstone,,,16,0,4,20
