City/Town,Ward,Pct,"Doug Hoffer",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic/Progressive
Addison,,,427,0,0,427
Albany,,,249,0,0,249
Alburgh,,,475,0,0,475
Andover,,,148,0,0,148
Arlington,,,609,0,0,609
Athens,,,69,0,0,69
Bakersfield,,,286,0,0,286
Baltimore,,,55,0,0,55
Barnard,,,296,0,0,296
Barnet,,,485,0,0,485
"Barre City",,,"1,704",0,0,"1,704"
"Barre Town",,,"2,289",0,0,"2,289"
Barton,,,531,0,0,531
Belvidere,,,83,0,0,83
Bennington,-,"Bennington 2-1","1,435",0,0,"1,435"
Bennington,-,"Bennington 2-2","1,304",0,0,"1,304"
Benson,,,192,0,0,192
Berkshire,,,325,0,0,325
Berlin,,,650,0,0,650
Bethel,,,481,0,0,481
Bloomfield,,,47,0,0,47
Bolton,,,344,0,0,344
Bradford,,,477,0,0,477
Braintree,,,304,0,0,304
Brandon,,,976,0,0,976
Brattleboro,-,"Windham 2-1",852,0,0,852
Brattleboro,-,"Windham 2-2",735,0,0,735
Brattleboro,-,"Windham 2-3",833,0,0,833
Bridgewater,,,225,0,0,225
Bridport,,,331,0,0,331
Brighton,,,260,0,0,260
Bristol,,,"1,259",0,0,"1,259"
Brookfield,,,379,0,0,379
Brookline,,,139,0,0,139
Brownington,,,269,0,0,269
Brunswick,,,25,0,0,25
Burke,,,345,0,0,345
Burlington,-,"Chittenden 6-1","2,135",0,0,"2,135"
Burlington,-,"Chittenden 6-2","1,131",0,0,"1,131"
Burlington,-,"Chittenden 6-3","1,166",0,0,"1,166"
Burlington,-,"Chittenden 6-4",869,0,0,869
Burlington,-,"Chittenden 6-5","2,092",0,0,"2,092"
Burlington,-,"Chittenden 6-6",282,0,0,282
Burlington,-,"Chittenden 6-7",34,0,0,34
Cabot,,,339,0,0,339
Calais,,,594,0,0,594
Cambridge,,,900,0,0,900
Canaan,,,153,0,0,153
Castleton,,,732,0,0,732
Cavendish,,,325,0,0,325
Charleston,,,214,0,0,214
Charlotte,,,"1,061",0,0,"1,061"
Chelsea,,,359,0,0,359
Chester,,,656,0,0,656
Chittenden,,,387,0,0,387
Clarendon,,,550,0,0,550
Colchester,-,"Chittenden 9-1","1,411",0,0,"1,411"
Colchester,-,"Chittenden 9-2","1,901",0,0,"1,901"
Concord,,,221,0,0,221
Corinth,,,346,0,0,346
Cornwall,,,377,0,0,377
Coventry,,,257,0,0,257
Craftsbury,,,323,0,0,323
Danby,,,315,0,0,315
Danville,,,675,0,0,675
Derby,,,"1,088",0,0,"1,088"
Dorset,,,613,0,0,613
Dover,,,331,0,0,331
Dummerston,,,568,0,0,568
Duxbury,,,389,0,0,389
"E. Haven",,,56,0,0,56
"E. Montpelier",,,849,0,0,849
Eden,,,206,0,0,206
Elmore,,,295,0,0,295
Enosburgh,,,806,0,0,806
Essex,-,"Chittenden 8-1","1,801",0,0,"1,801"
Essex,-,"Chittenden 8-2","2,135",0,0,"2,135"
Essex,-,"Chittenden 8-3",618,0,0,618
"Fair Haven",,,520,0,0,520
Fairfax,,,"1,038",0,0,"1,038"
Fairfield,,,504,0,0,504
Fairlee,,,277,0,0,277
Fayston,,,405,0,0,405
Ferrisburgh,,,765,0,0,765
Fletcher,,,286,0,0,286
Franklin,,,345,0,0,345
Georgia,,,"1,057",0,0,"1,057"
Glover,,,364,0,0,364
Goshen,,,63,0,0,63
Grafton,,,168,0,0,168
Granby,,,22,0,0,22
"Grand Isle",,,714,0,0,714
Granville,,,77,0,0,77
Greensboro,,,241,0,0,241
Groton,,,222,0,0,222
Guildhall,,,57,0,0,57
Guilford,,,518,0,0,518
Halifax,,,146,0,0,146
Hancock,,,80,0,0,80
Hardwick,,,729,0,0,729
Hartford,-,"Windsor 4-1",518,0,0,518
Hartford,-,"Windsor 4-2","1,765",0,0,"1,765"
Hartland,,,853,0,0,853
Highgate,,,772,0,0,772
Hinesburg,-,"Chittenden 4-1",9,0,0,9
Hinesburg,-,"Chittenden 4-2","1,210",0,0,"1,210"
Holland,,,133,0,0,133
Hubbardton,,,151,0,0,151
Huntington,,,662,0,0,662
"Hyde Park",,,973,0,0,973
Ira,,,109,0,0,109
Irasburg,,,265,0,0,265
"Isle La Motte",,,163,0,0,163
Jamaica,,,198,0,0,198
Jay,,,101,0,0,101
Jericho,,,"1,616",0,0,"1,616"
Johnson,,,600,0,0,600
Killington,,,262,0,0,262
Kirby,,,116,0,0,116
Landgrove,,,51,0,0,51
Leicester,,,213,0,0,213
Lemington,,,23,0,0,23
Lincoln,,,510,0,0,510
Londonderry,,,342,0,0,342
Lowell,,,184,0,0,184
Ludlow,,,444,0,0,444
Lunenburg,,,225,0,0,225
Lyndon,,,963,0,0,963
Maidstone,,,43,0,0,43
Manchester,,,"1,055",0,0,"1,055"
Marlboro,,,282,0,0,282
Marshfield,,,452,0,0,452
Mendon,,,309,0,0,309
Middlebury,,,"1,793",0,0,"1,793"
Middlesex,,,691,0,0,691
"Middletown Springs",,,258,0,0,258
Milton,-,"Chittenden 10","1,680",0,0,"1,680"
Milton,-,"Grand Isle-Chittenden",279,0,0,279
Monkton,,,670,0,0,670
Montgomery,,,338,0,0,338
Montpelier,,,"2,549",0,0,"2,549"
Moretown,,,513,0,0,513
Morgan,,,158,0,0,158
Morristown,,,"1,312",0,0,"1,312"
"Mount Holly",,,349,0,0,349
"Mount Tabor",,,47,0,0,47
"New Haven",,,607,0,0,607
Newark,,,123,0,0,123
Newbury,,,476,0,0,476
Newfane,,,471,0,0,471
"Newport City",,,817,0,0,817
"Newport Town",,,333,0,0,333
"N. Hero",,,318,0,0,318
Northfield,,,"1,026",0,0,"1,026"
Norton,,,35,0,0,35
Norwich,,,"1,058",0,0,"1,058"
Orange,,,254,0,0,254
Orwell,,,300,0,0,300
Panton,,,183,0,0,183
Pawlet,,,382,0,0,382
Peacham,,,226,0,0,226
Peru,,,100,0,0,100
Pittsfield,,,136,0,0,136
Pittsford,,,730,0,0,730
Plainfield,,,368,0,0,368
Plymouth,,,152,0,0,152
Pomfret,,,344,0,0,344
Poultney,,,642,0,0,642
Pownal,,,937,0,0,937
Proctor,,,399,0,0,399
Putney,,,644,0,0,644
Randolph,,,"1,176",0,0,"1,176"
Reading,,,192,0,0,192
Readsboro,,,161,0,0,161
Richford,,,398,0,0,398
Richmond,,,"1,261",0,0,"1,261"
Ripton,,,199,0,0,199
Rochester,,,314,0,0,314
Rockingham,,,920,0,0,920
Roxbury,,,180,0,0,180
Royalton,,,636,0,0,636
Rupert,,,199,0,0,199
"Rutland City",-,"Rutland 5-1","1,009",0,0,"1,009"
"Rutland City",-,"Rutland 5-2",850,0,0,850
"Rutland City",-,"Rutland 5-3",502,0,0,502
"Rutland City",-,"Rutland 5-4",806,0,0,806
"Rutland Town",,,"1,157",0,0,"1,157"
Ryegate,,,292,0,0,292
Salisbury,,,234,1,80,315
Sandgate,,,96,2,32,130
Searsburg,,,20,1,11,32
Shaftsbury,,,755,9,344,"1,108"
Sharon,,,363,5,95,463
Sheffield,,,138,3,41,182
Shelburne,-,"Chittenden 5-1","1,192",5,464,"1,661"
Shelburne,-,"Chittenden 5-2",909,7,418,"1,334"
Sheldon,,,395,6,77,478
Shoreham,,,305,1,111,417
Shrewsbury,,,343,2,2,347
"S. Burlington",-,"Chittenden 7-1","1,100",13,364,"1,477"
"S. Burlington",-,"Chittenden 7-2","1,200",21,434,"1,655"
"S. Burlington",-,"Chittenden 7-3",965,8,261,"1,234"
"S. Burlington",-,"Chittenden 7-4","1,003",14,351,"1,368"
"S. Hero",,,618,5,172,795
Springfield,-,"Windsor 3-1",61,1,22,84
Springfield,-,"Windsor 3-2","1,556",11,458,"2,025"
"St. Albans City",,,"1,316",0,0,"1,316"
"St. Albans Town",-,"Franklin 3-1",481,0,0,481
"St. Albans Town",-,"Franklin 3-2","1,011",0,283,"1,294"
"St. George",,,166,1,39,206
"St. Johnsbury",,,"1,555",15,390,"1,960"
Stamford,,,169,1,88,258
Stannard,,,74,0,13,87
Starksboro,,,551,4,157,712
Stockbridge,,,183,1,51,235
Stowe,,,"1,072",5,420,"1,497"
Strafford,,,376,0,99,475
Stratton,,,52,0,31,83
Sudbury,,,177,1,39,217
Sunderland,-,"Bennington 3",57,0,20,77
Sunderland,-,"Bennington 4",149,0,82,231
Sutton,,,188,3,59,250
Swanton,,,"1,310",19,270,"1,599"
Thetford,,,813,4,264,"1,081"
Tinmouth,-,"Rutland 2",51,0,5,56
Tinmouth,-,Rutland-Bennington,119,0,33,152
Topsham,,,214,1,76,291
Townshend,,,250,1,108,359
Troy,-,"Orleans 2",81,1,25,107
Troy,-,Orleans-Lamoille,215,1,72,288
Tunbridge,,,454,2,134,590
Underhill,,,964,4,381,"1,349"
Vergennes,,,629,2,170,801
Vernon,,,360,4,202,566
Vershire,,,158,2,55,215
Victory,,,18,0,13,31
Waitsfield,,,599,5,207,811
Walden,,,282,3,81,366
Wallingford,,,495,1,228,724
Waltham,,,160,0,36,196
Wardsboro,,,207,0,64,271
Warren,,,502,3,207,712
Washington,,,268,1,104,373
Waterbury,,,"1,386",10,396,"1,792"
Waterford,,,368,3,124,495
Waterville,,,159,0,43,202
Weathersfield,,,678,5,210,893
Wells,,,263,0,105,368
"W. Fairlee",,,141,0,21,162
"W. Haven",,,71,0,21,92
"W. Rutland",,,484,8,126,618
"W. Windsor",,,353,2,122,477
Westfield,,,152,0,37,189
Westford,,,584,11,237,832
Westminster,-,"Windham 3",32,1,10,43
Westminster,-,"Windham 4",754,7,176,937
Westmore,,,107,1,36,144
Weston,,,209,0,63,272
Weybridge,,,324,0,80,404
Wheelock,,,171,2,0,173
Whiting,,,85,2,32,119
Whitingham,-,"Windham 6",223,2,115,340
Whitingham,-,Windham-Bennington,6,0,2,8
Williamstown,,,825,11,179,"1,015"
Williston,,,"2,229",26,901,"3,156"
Wilmington,,,404,6,161,571
Windham,,,109,0,36,145
Windsor,,,734,8,171,913
Winhall,,,188,0,109,297
Winooski,,,"1,171",11,319,"1,501"
Wolcott,,,441,1,117,559
Woodbury,,,293,4,69,366
Woodford,,,85,0,29,114
Woodstock,,,918,2,299,"1,219"
Worcester,,,337,0,73,410
TOTALS,,,"146,836",323,"12,662","159,821"
