City/Town,Ward,Pct,"William H. Sorrell","Shane McCormack","Rosemarie Jackowski",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,"Liberty Union"
Addison,,,261,264,14,0,0,539
Albany,,,166,130,24,0,0,320
Alburgh,,,351,218,24,0,0,593
Andover,,,99,102,3,0,0,204
Arlington,,,400,292,66,0,0,758
Athens,,,45,45,5,0,0,95
Bakersfield,,,216,131,15,0,0,362
Baltimore,,,25,38,1,0,0,64
Barnard,,,238,146,11,0,0,395
Barnet,,,312,259,22,0,0,593
"Barre City",,,"1,147",825,98,0,0,"2,070"
"Barre Town",,,"1,354","1,414",60,0,0,"2,828"
Barton,,,346,281,18,0,0,645
Belvidere,,,47,54,3,0,0,104
Bennington,-,"Bennington 2-1","1,159",492,236,0,0,"1,887"
Bennington,-,"Bennington 2-2",991,508,255,0,0,"1,754"
Benson,,,123,110,13,0,0,246
Berkshire,,,200,174,11,0,0,385
Berlin,,,474,349,25,0,0,848
Bethel,,,385,212,15,0,0,612
Bloomfield,,,32,28,2,0,0,62
Bolton,,,259,157,15,0,0,431
Bradford,,,334,248,18,0,0,600
Braintree,,,215,164,13,0,0,392
Brandon,,,714,515,39,0,0,"1,268"
Brattleboro,-,"Windham 2-1",764,243,44,0,0,"1,051"
Brattleboro,-,"Windham 2-2",681,131,73,0,0,885
Brattleboro,-,"Windham 2-3",782,155,58,0,0,995
Bridgewater,,,149,117,6,0,0,272
Bridport,,,230,191,7,0,0,428
Brighton,,,163,159,11,0,0,333
Bristol,,,910,488,69,0,0,"1,467"
Brookfield,,,271,199,12,0,0,482
Brookline,,,115,50,7,0,0,172
Brownington,,,168,144,24,0,0,336
Brunswick,,,19,12,1,0,0,32
Burke,,,214,209,12,0,0,435
Burlington,-,"Chittenden 6-1","1,828",752,51,0,0,"2,631"
Burlington,-,"Chittenden 6-2","1,060",246,38,0,0,"1,344"
Burlington,-,"Chittenden 6-3","1,082",178,87,0,0,"1,347"
Burlington,-,"Chittenden 6-4",808,133,56,0,0,997
Burlington,-,"Chittenden 6-5","1,957",420,75,0,0,"2,452"
Burlington,-,"Chittenden 6-6",274,70,13,0,0,357
Burlington,-,"Chittenden 6-7",29,4,2,0,0,35
Cabot,,,237,172,32,0,0,441
Calais,,,453,204,49,0,0,706
Cambridge,,,637,413,32,0,0,"1,082"
Canaan,,,98,77,10,0,0,185
Castleton,,,456,524,47,0,0,"1,027"
Cavendish,,,213,206,27,0,0,446
Charleston,,,136,124,15,0,0,275
Charlotte,,,907,491,33,0,0,"1,431"
Chelsea,,,198,248,32,0,0,478
Chester,,,499,325,39,0,0,863
Chittenden,,,255,247,19,0,0,521
Clarendon,,,328,407,25,0,0,760
Colchester,-,"Chittenden 9-1","1,094",700,41,0,0,"1,835"
Colchester,-,"Chittenden 9-2","1,424","1,083",48,0,0,"2,555"
Concord,,,128,146,14,0,0,288
Corinth,,,229,195,20,0,0,444
Cornwall,,,313,148,13,0,0,474
Coventry,,,171,126,12,0,0,309
Craftsbury,,,267,123,21,0,0,411
