City/Town,Ward,Pct,"Peter Shumlin","Scott Milne","Dan Feliciano","Emily Peyton","Pete Diamondstone","Bernard Peters","Cris Ericson",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,Libertarian,Independent,"Liberty Union",Independent,Independent
Addison,,,166,335,31,8,5,4,3,0,0,552
Albany,,,88,167,13,9,7,52,1,0,0,337
Alburgh,,,257,317,29,8,5,2,4,0,0,622
Andover,,,99,96,9,2,0,0,3,0,0,209
Arlington,,,400,327,13,17,6,5,12,0,0,780
Athens,,,44,40,4,3,4,2,1,0,0,98
Bakersfield,,,151,179,24,7,1,6,1,0,0,369
Baltimore,,,23,40,1,2,1,0,1,0,0,68
Barnard,,,200,199,12,5,3,1,1,0,0,421
Barnet,,,252,323,21,8,3,6,2,0,0,615
"Barre City",,,769,"1,174",98,33,19,12,11,0,0,"2,116"
"Barre Town",,,771,"1,980",93,22,13,4,4,0,0,"2,887"
Barton,,,185,411,21,6,3,26,1,0,0,653
Belvidere,,,30,63,6,3,0,1,1,0,0,104
Bennington,-,"Bennington 2-1","1,282",552,31,52,28,14,18,0,0,"1,977"
Bennington,-,"Bennington 2-2","1,111",596,24,49,22,17,24,0,0,"1,843"
Benson,,,88,128,15,7,7,3,2,0,0,250
Berkshire,,,123,227,26,6,1,6,2,0,0,391
Berlin,,,304,484,46,23,10,3,6,0,0,876
Bethel,,,302,300,17,8,5,2,4,0,0,638
Bloomfield,,,29,31,1,1,0,2,0,0,0,64
Bolton,,,212,180,36,8,2,1,3,0,0,442
Bradford,,,308,283,22,8,3,3,3,0,0,630
Braintree,,,162,205,9,9,5,3,0,0,0,393
Brandon,,,552,675,50,18,6,10,9,0,0,"1,320"
Brattleboro,-,"Windham 2-1",730,290,10,32,22,2,5,0,0,"1,091"
Brattleboro,-,"Windham 2-2",696,159,5,27,32,5,3,0,0,927
Brattleboro,-,"Windham 2-3",794,175,4,34,22,3,4,0,0,"1,036"
Bridgewater,,,134,146,5,3,4,1,1,0,0,294
Bridport,,,154,269,12,4,4,1,1,0,0,445
Brighton,,,103,221,12,7,2,10,0,0,0,355
Bristol,,,718,665,76,39,11,14,4,0,0,"1,527"
Brookfield,,,191,249,19,6,6,3,3,0,0,477
Brookline,,,103,56,4,4,2,2,3,0,0,174
Brownington,,,102,202,16,4,2,27,2,0,0,355
Brunswick,,,14,16,2,1,0,0,0,0,0,33
Burke,,,138,271,19,8,4,5,4,0,0,449
Burlington,-,"Chittenden 6-1","1,498","1,007",135,44,14,3,5,0,0,"2,706"
Burlington,-,"Chittenden 6-2",924,335,57,42,19,4,9,0,0,"1,390"
Burlington,-,"Chittenden 6-3","1,053",200,52,65,31,6,14,0,0,"1,421"
Burlington,-,"Chittenden 6-4",798,149,33,32,21,2,4,0,0,"1,039"
Burlington,-,"Chittenden 6-5","1,849",498,103,58,29,5,9,0,0,"2,551"
Burlington,-,"Chittenden 6-6",249,84,17,8,10,2,2,0,0,372
Burlington,-,"Chittenden 6-7",30,3,1,1,1,0,1,0,0,37
